BQMall__QP_32_nF_5_SR_32_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComDataCU::setSkipFlagSubParts	2834136	1417068	826623	58084	8597	40573	4	0	5	2776048	1408471	786045	2.11220271979 %	2.04944293428 %	2.19147823831 %	0.000177241170288 %	0.000141136487452 %	0.00022284708545 %
TEncEntropy::encodePUWise	2785350	900228	1212876	135803	76211	0	5	6	0	2649542	824011	1212876	4.32818191209 %	4.87561706787 %	3.60659011577 %	0.000224560647094 %	0.000179510653957 %	0.00028394248461 %
TEncSearch::xSetResidualQTData	2700630	1033154	717413	77406	67367	21533	6	0	13	2623218	965787	695867	3.73620848504 %	2.8662201042 %	5.07835461311 %	0.000426851473884 %	0.000222170382466 %	0.0007426165351 %
TComDataCU::isDiffMER	2657967	1402268	172093	43345	41772	0	1	0	0	2614621	1360496	172093	2.01111539559 %	1.63075764297 %	2.65326694449 %	2.36276583478e-05 %	3.76227394847e-05 %	0.0 %
TEncSearch::xGetBlkBits	2498648	1206688	1022688	176847	108084	68009	11	6	4	2321790	1098598	954675	7.46485212427 %	7.07770762428 %	7.89875732043 %	0.000444160181928 %	0.000440238080754 %	0.000448556008497 %
TEncSbac::codeCrossComponentPrediction	2487634	1297896	540790	77621	225	129	5	0	0	2410008	1297671	540661	1.80234009505 %	3.12027412393 %	0.019252879502 %	0.000115571663677 %	0.0002009941977 %	0.0 %
TComLoopFilter::xSetEdgefilterMultiple	2453390	1215324	351976	80	1749	2286	32	0	48	2453278	1213575	349642	0.102345617295 %	0.00326079424796 %	0.257449116315 %	0.00198970823416 %	0.00130431769918 %	0.00306259171824 %
TEncSearch::xSetIntraResultChromaQT	2414617	1090160	793357	30905	17448	347	21	0	0	2383691	1072712	793010	1.13304983046 %	1.27991312908 %	0.944775120161 %	0.000488584115805 %	0.000869703145468 %	0.0 %
TComDataCU::setCbfSubParts	2388440	1070680	700060	16556	70683	0	2	3	0	2371882	999994	700060	2.09750479662 %	0.693172112341 %	3.99172097541 %	0.000120216004116 %	8.37366649361e-05 %	0.000169420694173 %
TEncSearch::xRestrictBipredMergeCand	2355874	444160	721836	71583	0	0	6	0	0	2284285	444160	721836	2.03252817395 %	3.03849017392 %	0.0 %	0.000170364039559 %	0.000254682550934 %	0.0 %
TEncCu::xCheckBestMode	2346825	1234703	526781	86366	155657	0	4	7	0	2260455	1079039	526781	5.89106126146 %	3.68012101456 %	8.83669678521 %	0.000267750064564 %	0.000170443045391 %	0.000397392198851 %
TComDataCU::isBipredRestriction	2306096	646072	877976	89538	0	0	2	0	0	2216556	646072	877976	2.33771889516 %	3.88266576933 %	0.0 %	5.22173578852e-05 %	8.67266583872e-05 %	0.0 %
TComTrQuant::setErrScaleCoeff	2261520	267840	253440	25	1435	61860	14	42	49379	2261481	266363	142201	2.27540606583 %	0.00110545120096 %	12.1422268263 %	1.77644818169 %	0.000619052672539 %	9.48070135052 %
TEncSampleAdaptiveOffset::deriveOffsets	2254652	621179	449471	140	10527	2810	70	4	0	2254442	610648	446661	0.405286497287 %	0.00620938397589 %	1.24569186943 %	0.00222536178669 %	0.00310469198794 %	0.000373604819502 %
TEncBinCABAC::encodeBin	2131782	785748	566767	25	3957	203	13	45	0	2131744	781746	566564	0.120110312066 %	0.00117272779299 %	0.307575147041 %	0.00166461125444 %	0.000609818452356 %	0.00332713500405 %
TComDataCU::setPartSizeSubParts	2043480	1021740	596015	67787	920	8178	4	0	4	1975689	1020820	587833	2.09997446217 %	3.31723334704 %	0.562384291812 %	0.00021850550429 %	0.00019574451426 %	0.000247256228539 %
TEncBinCABACCounter::encodeBinEP	2036658	1018329	1018329	84133	0	0	3	0	0	1952522	1018329	1018329	2.06546705436 %	4.13093410872 %	0.0 %	7.36500679054e-05 %	0.000147300135811 %	0.0 %
TComPicYuv::extendPicBorder	2028300	578391	552243	135	8822	29057	30	805	2775	2028135	568764	520411	1.2033806341 %	0.00665582014495 %	3.35024419927 %	0.114279057429 %	0.00147907114332 %	0.316636506597 %
TComDataCU::getNumPartitions	2009978	945872	236468	59018	109690	237	2	1	0	1950958	836181	236231	5.29223592386 %	2.93625104354 %	9.29741022041 %	9.39756001752e-05 %	9.95035766561e-05 %	8.45780401577e-05 %
_int_malloc	1938576	333701	373202	879	3192	12945	247	32	10505	1937450	330477	349752	0.643210549016 %	0.045342560725 %	2.2827742986 %	0.407638843476 %	0.012741311148 %	1.49058640294 %
TComLoopFilter::xEdgeFilterChroma	1916590	783350	282214	120	8338	0	84	0	0	1916386	775012	282214	0.283620497131 %	0.00626112001002 %	0.782496405659 %	0.00281675594218 %	0.00438278400701 %	0.0 %
TComDataCU::setPredModeSubParts	1845816	922908	538363	48885	7382	0	3	0	0	1796928	915526	538363	1.70140670626 %	2.64842216126 %	0.505176657855 %	9.0714275131e-05 %	0.000162529742943 %	0.0 %
TComDataCU::setChromaQpAdjSubParts	1845816	922908	538363	45208	1094	0	4	0	0	1800604	921814	538363	1.40008412237 %	2.44921487299 %	0.0748663321177 %	0.000120952366841 %	0.000216706323924 %	0.0 %
TComDataCU::getPartPosition	1844877	915658	405324	155541	45242	26497	13	1	12	1689323	870415	378815	7.17909420476 %	8.43096856864 %	5.43073259136 %	0.000821262096638 %	0.000704654023005 %	0.000984116361919 %
TEncEntropy::encodeSkipFlag	1817837	956681	426959	105094	125415	682	5	1	0	1712738	831265	426277	7.2213856292 %	5.78126641718 %	9.11342545749 %	0.000187413496958 %	0.000275052163643 %	7.22731346304e-05 %
TComDataCU::setCbfSubParts	1806625	939445	505855	60236	122	0	2	0	0	1746387	939323	505855	1.85606986631 %	3.33417283609 %	0.00844115408566 %	6.1502033411e-05 %	0.00011070366014 %	0.0 %
TEncEntropy::encodeMergeIndex	1785720	892860	567350	37162	2215	0	4	0	0	1748554	890645	567350	1.2131191985 %	2.08106534059 %	0.151690510269 %	0.000123231246515 %	0.000223999283202 %	0.0 %
TComLoopFilter::xDeblockCU	1698998	480035	281480	85	4710	14	48	18	0	1698865	475307	281466	0.195447047018 %	0.00500294879688 %	0.62034234388 %	0.00268236745752 %	0.00282519461471 %	0.00236370918498 %
TComYuv::copyToPicYuv	1665600	478860	603780	23400	21145	1760	6	1	0	1642194	457714	602020	1.68489651559 %	1.40489913545 %	2.11566171581 %	0.000254708467965 %	0.00036023054755 %	9.23668070642e-05 %
TComLoopFilter::xGetBoundaryStrengthSingle	1663990	693655	361306	85	17587	0	26	232	0	1663879	675836	361306	0.649956545741 %	0.00510820377526 %	1.66707584451 %	0.00948895364425 %	0.00156250939008 %	0.0219913342768 %
TEncEntropy::encodePartSize	1658111	872690	523614	169635	22359	1224	6	1	1	1488470	850330	522389	6.32585945263 %	10.2306178537 %	1.68895885137 %	0.000261915947898 %	0.000361857559596 %	0.000143235284007 %
TComDataCU::setTransformSkipSubParts	1651666	740402	484109	28560	29308	294	2	0	0	1623104	711094	483815	2.02219821659 %	1.72916316011 %	2.41745480441 %	6.95367496507e-05 %	0.00012108985715 %	0.0 %
TComDataCU::deriveLeftBottomIdxGeneral	1622974	903474	225180	134040	68732	0	5	4	0	1488929	834738	225180	7.36916472721 %	8.2589123424 %	6.08973166267 %	0.000327079096448 %	0.000308076407878 %	0.000354404449902 %
TEncCu::xCheckDQP	1615089	922908	384545	129549	44874	39988	6	0	0	1485534	878034	344557	7.33645572929 %	8.02116787372 %	6.490634845 %	0.000205300727928 %	0.000371496555298 %	0.0 %
TEncSearch::xSetIntraResultQT	1585408	720120	508616	104335	26857	34563	15	0	0	1481058	693263	474053	5.89006816993 %	6.58095581705 %	4.99863274129 %	0.000533021764345 %	0.000946128693686 %	0.0 %
TComDataCU::deriveLeftRightTopIdxGeneral	1579318	858714	225180	134209	94346	0	5	5	0	1445104	764363	225180	8.58193039082 %	8.49790859092 %	8.70435669909 %	0.000375486442687 %	0.000316592351889 %	0.00046129972119 %
TComDataCU::isSkipped	1463800	1463800	0	49525	247513	0	2	41	0	1414273	1216246	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncEntropy::encodeCoeff	1425720	612683	551161	79164	12843	0	10	1	0	1346546	599839	551161	3.55299193223 %	5.55256291558 %	1.103498407 %	0.000424781932403 %	0.000701399994389 %	8.59221682631e-05 %
_int_free	1322215	377035	250078	670	9043	683	129	5333	401	1321416	362659	248994	0.533311992646 %	0.0506725456904 %	1.55091666095 %	0.300770316745 %	0.00975635581203 %	0.914348769679 %
TComOutputBitstream::write	1304709	331541	253689	43	251	783	16	1	53	1304650	331289	252853	0.0569859662137 %	0.00329575407236 %	0.17668267177 %	0.00370382324509 %	0.00122632709669 %	0.00922714146575 %
TEncSearch::xSetIntraResultChromaQT	1290817	507398	514409	43302	14988	29	7	0	0	1247508	492410	514380	2.52176748144 %	3.35461959364 %	1.4696513138 %	0.000302686472163 %	0.000542292207184 %	0.0 %
TComTrQuant::xsetFlatScalingList	1248480	10080	493200	10	390	61770	5	118	49204	1248465	9572	382226	3.54900214641 %	0.000800973984365 %	12.350977587 %	2.81585376992 %	0.000400486992182 %	9.80011127007 %
TEncSbac::codeIntraDirChroma	1135390	524326	410688	54788	20505	36980	20	1	0	1080582	503820	373708	5.42275807041 %	4.82547846995 %	6.14803628609 %	0.00101429479464 %	0.00176150926113 %	0.000106950270263 %
TComCUMvField::copyTo	1121480	571320	380880	23400	12321	8802	6	1	1	1098074	558998	372077	2.14705258285 %	2.08652851589 %	2.21833648393 %	0.000385787585356 %	0.000535007311767 %	0.000210039907582 %
TComDataCU::setCUTransquantBypassSubParts	1099176	549588	320593	17775	6	0	1	0	0	1081400	549582	320593	0.902883530005 %	1.61712046115 %	0.000689511722274 %	5.07779950512e-05 %	9.09772411334e-05 %	0.0 %
TComCUMvField::compress	1095920	544880	383040	20	3622	9504	12	29	76	1095888	541229	373460	0.649557277255 %	0.00182495072633 %	1.41456160014 %	0.00578108941418 %	0.0010949704358 %	0.0113156306578 %
TEncSbac::codeMvd	1038200	405989	275212	76445	29105	0	11	6	0	961744	376878	275212	6.13876576785 %	7.36322481217 %	4.27260089166 %	0.000988716419265 %	0.00105952610287 %	0.000880797297714 %
TComDataCU::setQPSubParts	1036392	518196	302281	81326	63055	4453	2	0	1	955064	455141	297827	8.01532041302 %	7.84703085319 %	8.22789669912 %	0.000161562285762 %	0.00019297717466 %	0.000121880320838 %
TEncCu::xCheckRDCostIntra	1011124	438452	523458	88914	70198	18115	55	1	15	922155	368253	505328	8.98246051513 %	8.7935802137 %	9.18100445988 %	0.00359851882938 %	0.00543949110099 %	0.00166335727875 %
TEncEntropy::encodePredInfo	964757	418922	374557	75976	0	425	6	0	0	888775	418922	374132	4.34532110593 %	7.87514368903 %	0.0535615939426 %	0.000341251117597 %	0.000621918265428 %	0.0 %
TComCUMvField::copyFrom	939600	438480	375840	7800	13721	1828	2	0	0	931798	424759	374012	1.33124657909 %	0.830140485313 %	1.90944591807 %	0.000114030286444 %	0.000212856534696 %	0.0 %
TComTURecurse::TComTURecurse	925218	359807	411208	72962	5652	8948	4	0	10	852252	354155	402250	5.16214458745 %	7.88592526302 %	1.89360777676 %	0.000825358308676 %	0.00043233054264 %	0.00129699162792 %
TEncEntropy::encodePredMode	912145	500893	216235	85645	165	0	6	0	0	826494	500728	216235	5.26676622027 %	9.38940628957 %	0.0230084447965 %	0.000368262409062 %	0.000657790153978 %	0.0 %
TEncSbac::codeMergeFlag	863379	558657	253935	62540	1730	0	2	12	0	800837	556915	253935	3.83479189079 %	7.24363228663 %	0.212898970209 %	0.00083533664962 %	0.000231647978466 %	0.00147675586272 %
TEncEntropy::encodeCrossComponentPrediction	854568	498498	284856	38229	0	4	4	0	0	816335	498498	284852	2.33423813832 %	4.47348835903 %	0.000510624826068 %	0.000244211873337 %	0.000468072757229 %	0.0 %
_dl_lookup_symbol_x	829762	147760	54889	82	3573	87	15	3061	22	829665	141126	54780	0.362452550389 %	0.0098823518069 %	1.80607849039 %	0.300074292118 %	0.00180774728175 %	1.52134972292 %
TEncSbac::codePredMode	801762	464178	210990	76518	46901	0	2	4	0	725242	417273	210990	8.35645562078 %	9.54372993482 %	6.94656737286 %	0.000406248095712 %	0.000249450585086 %	0.00059244513958 %
TEncCu::xCopyYuv2Pic	801570	322710	239430	39000	41688	0	20	0	0	762550	281022	239430	5.91680049277 %	4.86545155133 %	7.41594620557 %	0.00146658747094 %	0.00249510335966 %	0.0 %
TEncCu::xEncodeCU	753144	346488	247324	701	5004	193	19	60	0	752424	341424	247131	0.437876218674 %	0.0930764900205 %	0.875192821971 %	0.00586507651326 %	0.00252275793208 %	0.0101042080659 %
TComYuv::copyFromPicYuv	707880	176970	239430	12866	9176	13767	4	7	4	695010	167787	225659	3.18506066105 %	1.81753969599 %	5.50984630163 %	0.00133418721315 %	0.000565067525569 %	0.00264169068204 %
TEncSearch::xTZ2PointSearch	690851	277628	243209	69382	9962	0	42	2	0	621427	267664	243209	6.54822033395 %	10.0429759818 %	1.91269053466 %	0.00363129782584 %	0.00607945852289 %	0.000383997296659 %
TComDataCU::setDepthSubParts	665900	319632	213088	53272	2059	1844	2	0	0	612626	317573	211244	4.77006891258 %	8.0 %	0.732655053311 %	0.000166858554004 %	0.000300345397207 %	0.0 %
TEncEntropy::encodeRefFrmIdxPU	642680	382770	166394	19191	247	8068	2	0	0	623487	382523	158326	2.30785236994 %	2.98608950022 %	1.51411964368 %	0.000167807196244 %	0.000311196863136 %	0.0 %
TEncSbac::codeQtRootCbf	625738	272060	272060	27018	5254	6	1	0	0	598719	266806	272054	2.75913828858 %	4.31778156353 %	0.966698522385 %	8.54804600216e-05 %	0.000159811294823 %	0.0 %
TEncEntropy::encodeMvdPU	617782	369926	187750	21844	0	2623	2	0	0	595936	369926	185127	2.08148653546 %	3.53587511452 %	0.470344788013 %	0.000170146445045 %	0.000323738794591 %	0.0 %
TEncEntropy::encodeMergeFlag	609444	355509	203148	0	0	0	0	0	0	609444	355509	203148	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncSearch::xSetIntraResultQT	603998	267375	201991	3790	8645	3462	15	0	0	600193	258730	198529	1.48104464096 %	0.627485521475 %	2.5794369426 %	0.00139747560008 %	0.00248345193196 %	0.0 %
TComCUMvField::create	602768	3848	150552	16	144	17846	12	0	17809	602740	3704	114897	2.37807197346 %	0.00265442093807 %	11.6515544041 %	2.35363882256 %	0.00199081570355 %	11.5343264249 %
TEncSbac::codeInterDir	584691	265727	197118	32761	21519	0	3	12	0	551927	244196	197118	5.18168349346 %	5.60313054246 %	4.64928863875 %	0.00143193169495 %	0.000513091530398 %	0.00259266060992 %
do_lookup_x	559221	202670	95467	175	6366	106	45	1458	31	559001	194846	95330	0.775288735861 %	0.0312935315376 %	2.17081408882 %	0.178921757306 %	0.00804690810967 %	0.499434823588 %
TEncSbac::codeSplitFlag	551232	235592	147732	30898	20034	92	6	1	0	520328	215557	147640	5.4597049294 %	5.60526239406 %	5.25038870512 %	0.000749018785391 %	0.00108847091606 %	0.000260875916979 %
TEncSampleAdaptiveOffset::getDistortion	549582	172059	80821	118	640	0	59	0	0	549405	171419	80821	0.0944593014996 %	0.0214708633107 %	0.253084466941 %	0.00735237307187 %	0.0107354316553 %	0.0 %
TEncEntropy::encodeIPCMInfo	542736	305289	135684	32731	4619	0	2	0	0	510003	300670	135684	3.7968545576 %	6.03074054421 %	1.04745642023 %	0.000203312158372 %	0.000368503287049 %	0.0 %
TComDataCU::getAllowedChromaDir	471282	214669	130114	46631	10932	4361	3	0	5	424648	203737	125748	7.58812104428 %	9.89450053259 %	4.43554351578 %	0.00098031406812 %	0.000636561549136 %	0.00145018750924 %
TEncEntropy::encodeMVPIdxPU	446884	296684	138922	10920	10977	0	1	2	0	435963	285705	138922	2.48127457535 %	2.44358715013 %	2.5199377419 %	0.000339947194869 %	0.000223771717045 %	0.000459130498662 %
TEncSbac::codeQtRootCbfZero	425799	232254	154836	70326	483	28262	2	0	0	355471	231771	126574	12.1875188371 %	16.5162435797 %	7.4259216203 %	0.000246036051663 %	0.000469705189538 %	0.0 %
malloc	387323	112479	62590	21	1187	221	15	0	10	387287	111292	62359	0.254093230345 %	0.00542183139137 %	0.804254322581 %	0.00444529794165 %	0.00387273670812 %	0.00571203354106 %
TEncEntropy::encodeQtRootCbfZero	387090	232254	116127	0	809	0	0	0	0	387090	231445	116127	0.109997538992 %	0.0 %	0.232217026761 %	0.0 %	0.0 %	0.0 %
TComDataCU::getCtxSplitFlag	384008	130584	142196	13606	15770	4298	11	27	2	370391	114787	137896	5.12707296723 %	3.54315535093 %	7.35684434343 %	0.00609024525418 %	0.00286452365576 %	0.0106312779529 %
TEncBinCABAC::testAndWriteOut	376680	145568	85544	0	0	132	0	0	2	376680	145568	85410	0.0217179561429 %	0.0 %	0.0571151649417 %	0.000329059941559 %	0.0 %	0.000865381286995 %
TComLoopFilter::xDeblockCU	376192	82277	21500	20	1994	0	12	19	0	376160	80264	21500	0.419610433174 %	0.00531643416128 %	1.92142767665 %	0.00645875046097 %	0.00318986049677 %	0.0183084883934 %
free	362510	112484	75011	168	1372	10	13	327	1	362329	110785	75000	0.281815619858 %	0.0463435491435 %	0.737086322302 %	0.0619994363688 %	0.00358610796944 %	0.174937998347 %
TComCUMvField::copyTo	359720	126960	169280	12710	14363	2911	4	0	0	347006	112597	166369	4.57101042747 %	3.53330368064 %	5.83108290575 %	0.000609793280078 %	0.00111197598132 %	0.0 %
TEncCu::xCopyYuv2Tmp	349180	164320	133510	7800	23567	0	4	0	0	341376	140753	133510	4.84799307584 %	2.23380491437 %	7.91290333412 %	0.00061822846633 %	0.00114554098173 %	0.0 %
TEncEntropy::encodeIntraDirModeChroma	342624	199864	114208	11568	18401	0	2	0	0	331054	181463	114208	4.56360325021 %	3.3762958812 %	5.85884765277 %	0.000304554923435 %	0.000583730269917 %	0.0 %
TEncSbac::xWriteUnaryMaxSymbol	339360	156544	91952	22481	0	0	4	0	0	316875	156544	91952	3.82423586729 %	6.62452852428 %	0.0 %	0.000680438746904 %	0.0011786892975 %	0.0 %
TEncSbac::codeRefFrmIdx	337335	158330	82531	16318	14673	0	4	0	0	321013	143657	82531	5.35994714595 %	4.83732787881 %	6.09189532552 %	0.000691806930522 %	0.00118576489247 %	0.0 %
TEncEntropy::encodeSplitFlag	333868	175720	105432	10	13203	90	7	1	0	333851	162516	105342	2.16301908881 %	0.00299519570609 %	4.72804746187 %	0.00130077070664 %	0.00209663699426 %	0.000355679490098 %
initROM	329111	79859	35725	19	2	2737	19	0	49	329073	79857	32939	0.620200362046 %	0.0057731282151 %	2.3697051495 %	0.0152913794848 %	0.0057731282151 %	0.0423934108527 %
std::basic_streambuf<char,	325109	222222	207134	14	23090	154	14	259	61	325081	198873	206919	3.08271424122 %	0.00430624805834 %	5.41368933938 %	0.044269780573 %	0.00430624805834 %	0.0745302266651 %
TEncCu::xComputeQP	322710	135330	52050	40910	30581	0	8	3	0	281792	104746	52050	14.0153698367 %	12.6770165164 %	16.3203116661 %	0.00215648218942 %	0.00247900591863 %	0.00160102465578 %
std::basic_streambuf<char,	312002	214325	199121	169	96	22343	25	2	615	311808	214227	176163	3.11641909551 %	0.0541663194467 %	5.42731094266 %	0.088497039071 %	0.00801276914892 %	0.14923351538 %
TEncSbac::codeSAOOffsetParam	304477	77245	68355	65	311	1	33	0	0	304379	76934	68354	0.0837634449216 %	0.0213480821211 %	0.214285714286 %	0.00733207873319 %	0.0108382570769 %	0.0 %
TComLoopFilter::xSetEdgefilterPU	301230	94050	142674	48	49	0	21	2	0	301161	93999	142674	0.018031281485 %	0.0159346678618 %	0.0206992108954 %	0.00427545849645 %	0.00697141718952 %	0.000844865750832 %
TComLoopFilter::xSetEdgefilterTU	294232	121464	131216	0	136	255	0	5	0	294232	121323	130961	0.071492305892 %	0.0 %	0.154741174608 %	0.000914223860511 %	0.0 %	0.00197878739908 %
_dl_relocate_object	290000	102611	40802	52	5688	1833	52	3933	1063	289896	92990	37906	1.74729415131 %	0.0179310344828 %	5.24429445029 %	1.16470894966 %	0.0179310344828 %	3.48364513677 %
TComLoopFilter::xSetEdgefilterTU	289216	110432	134320	35	1494	151	14	14	0	289167	108924	134169	0.314625595541 %	0.012101681788 %	0.672108910244 %	0.00524375992569 %	0.0048406727152 %	0.00572007583186 %
TComLoopFilter::xSetLoopfilterParam	286312	95932	87776	30	58	72	12	0	0	286270	95874	87704	0.0340411046338 %	0.0104780798569 %	0.0707644740567 %	0.00255308284754 %	0.00419123194278 %	0.0 %
TEncSbac::codeMVPIdx	262720	118224	105088	21304	21664	0	2	9	0	241414	96551	105088	8.84057016822 %	8.10901339829 %	9.70122519166 %	0.00226322546664 %	0.000761266747868 %	0.00403023572401 %
TEncBinCABAC::writeOut	261363	76493	57426	20	20	132	8	0	1	261335	76473	57293	0.0435132386499 %	0.00765219254447 %	0.113501444903 %	0.00227685551075 %	0.00306087701779 %	0.000746720032258 %
strcmp	227435	72190	2	17	744	0	5	222	0	227413	71224	2	0.253982451515 %	0.00747466309055 %	1.03058510638 %	0.0757608626726 %	0.00219843032075 %	0.307513297872 %
TComSampleAdaptiveOffset::invertQuantOffsets	224204	92049	127227	28	3	759	14	0	0	224162	92046	126468	0.178136556327 %	0.0124886264295 %	0.347507251136 %	0.00315685036529 %	0.00624431321475 %	0.0 %
TEncEntropy::encodeInterDirPU	219726	122070	61035	20908	9990	0	1	1	0	198817	112079	61035	7.67021405999 %	9.51548747076 %	5.45588596707 %	0.000496486119489 %	0.000455112276199 %	0.000546134731438 %
TEncSampleAdaptiveOffset::deriveModeNewRDO	201073	86833	86294	147	1333	689	77	2	0	200849	85498	85605	0.57963655799 %	0.0731077767776 %	1.16792874595 %	0.0211117049706 %	0.0382945497406 %	0.00115522131152 %
TComDataCU::initCtu	196275	74238	79527	2769	12339	1748	45	779	508	193461	61120	77271	4.8154496629 %	1.41077569736 %	9.16138262934 %	0.380527939664 %	0.0229270156668 %	0.836991513023 %
malloc_consolidate	195058	68154	44737	254	8586	89	39	7	34	194765	59561	44614	2.89950608705 %	0.130217678844 %	7.6844035397 %	0.0259783275802 %	0.0199940530509 %	0.0363182184585 %
__memcmp_ssse3	194730	42612	4954	470	226	0	31	0	0	194229	42386	4954	0.287251956285 %	0.241359831562 %	0.475129294034 %	0.0127942681679 %	0.0159194782519 %	0.0 %
TComDataCU::isLastSubCUOfCtu	188398	97004	29952	435	1553	0	6	3	0	187957	95448	29952	0.6304026586 %	0.230894170851 %	1.22325845175 %	0.00285393557716 %	0.00318474718415 %	0.00236302340969 %
TComDataCU::getIntraSizeIdx	187630	31318	0	8948	231	0	3	0	0	178679	31087	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::encodeBinsEP	182862	70839	50940	18	0	0	11	0	0	182833	70839	50940	0.00590859405005 %	0.00984348853234 %	0.0 %	0.00361080747503 %	0.00601546521421 %	0.0 %
TEncSbac::codeSaoMaxUvlc	172585	80546	48738	19	0	0	10	0	0	172556	80546	48738	0.00629412095975 %	0.0110090679955 %	0.0 %	0.00331269524198 %	0.00579424631341 %	0.0 %
ContextModel::init	172498	28280	11312	27	0	1005	4	0	273	172467	28280	10034	0.486585883351 %	0.0156523553896 %	2.53839159426 %	0.130604931869 %	0.00231886746513 %	0.689533239038 %
__memchr_sse2_bsf	151792	34035	332	32	371	0	19	255	0	151741	33409	332	0.216481609807 %	0.0210814799199 %	1.07952396194 %	0.14718600766 %	0.0125171287024 %	0.741990863328 %
SAOOffset::reset	148506	8406	100872	15	0	4413	5	0	3131	148486	8406	93328	1.71771715855 %	0.0101006019959 %	4.03832427387 %	1.21652235981 %	0.00336686733196 %	2.86516956753 %
df::program_options_lite::Options::addOption	146684	45001	44151	168	649	0	30	0	0	146486	44352	44151	0.346427178209 %	0.114531918955 %	0.727970208184 %	0.0127207042182 %	0.0204521283848 %	0.0 %
TEncSbac::xWriteEpExGolomb	144869	39567	32373	7497	0	0	5	0	0	137367	39567	32373	3.45788228348 %	5.17502019066 %	0.0 %	0.00230617732659 %	0.00345139401804 %	0.0 %
operator	142326	39535	39535	56	255	40	6	7	7	142264	39273	39488	0.158539449674 %	0.0393462895044 %	0.373087137979 %	0.009033586876 %	0.00421567387547 %	0.017705830277 %
TEncCu::finishCU	125742	64468	30762	435	2299	4	6	4	0	125301	62165	30758	1.23907101352 %	0.345946461803 %	2.41835556022 %	0.00452546023931 %	0.00477167533521 %	0.00420035703035 %
write	123519	32521	13154	31	77	1	10	0	0	123478	32444	13153	0.0644230882892 %	0.0250973534436 %	0.170771756979 %	0.0059103750724 %	0.00809592046568 %	0.0 %
0x0006ce60	119412	119412	0	7	0	0	2	0	0	119403	119412	0	0 %	0 %	0 %	0 %	0 %	0 %
check_match.isra.0	117907	46876	21806	76	503	159	10	87	59	117821	46286	21588	0.395521708139 %	0.0644575809748 %	0.963862438485 %	0.0836062147286 %	0.00848126065458 %	0.212573891267 %
std::basic_filebuf<char,	116330	41446	27408	15	127	1	13	22	0	116302	41297	27407	0.0772204942112 %	0.0128943522737 %	0.185900601272 %	0.0189001209608 %	0.0111751053039 %	0.0319516658437 %
TComOutputBitstream::addSubstream	115186	51206	51156	10	242	0	4	1	0	115172	50963	51156	0.115836505047 %	0.0086816106124 %	0.236415857447 %	0.00229834335411 %	0.00347264424496 %	0.000976925030773 %
TEncSbac::TEncSbac	112788	1404	48750	58	0	5023	29	0	5006	112701	1404	38721	3.1182874888 %	0.0514239103451 %	10.0151533278 %	3.09005658455 %	0.0257119551725 %	9.9812577262 %
std::ostream::write	111504	55752	31512	34	13	0	20	7	0	111450	55732	31512	0.0236456572487 %	0.0304921796527 %	0.0148973230656 %	0.0135836754407 %	0.0179365762663 %	0.00802163549688 %
TEncCu::xCompressCU	107785	48567	38939	7981	26944	2351	162	10	0	99642	21613	36588	19.0874131424 %	7.40455536485 %	33.477704386 %	0.0880736951524 %	0.150299206754 %	0.0114277878088 %
SAOOffset::operator=	105020	71200	65860	4	2688	3248	2	0	1104	105014	68512	61508	2.45373430271 %	0.00380879832413 %	4.33094994893 %	0.45687376074 %	0.00190439916206 %	0.805486648183 %
__dynamic_cast	99060	40005	36195	46	160	3	20	55	0	98994	39790	36192	0.119251397923 %	0.0464365031294 %	0.213910761155 %	0.042793563848 %	0.0201897839693 %	0.0721784776903 %
std::istream::read	98400	43200	36000	10	16	5	8	2	1	98382	43182	35994	0.017454954955 %	0.010162601626 %	0.0265151515152 %	0.00619369369369 %	0.00813008130081 %	0.00378787878788 %
std::basic_filebuf<char,	96004	40802	26402	19	27	0	15	4	0	95970	40771	26402	0.0281848928974 %	0.0197908420482 %	0.0401761799893 %	0.0116415861968 %	0.0156243489855 %	0.00595202666508 %
std::istream::sentry::sentry	91775	38494	19182	26	18	0	8	4	0	91741	38472	19182	0.0294410877144 %	0.028330155271 %	0.0312088216936 %	0.00802938755846 %	0.00871697085263 %	0.00693529370969 %
TComPicYuv::create	87100	6578	15482	42	18	1594	24	0	1553	87034	6560	12335	1.51520703554 %	0.0482204362801 %	7.30734360834 %	1.44466837669 %	0.0275545350172 %	7.0398912058 %
operator	86981	31630	31630	101	69	4	8	5	1	86872	31556	31625	0.115813925626 %	0.116117312976 %	0.115396775213 %	0.00931836183199 %	0.00919741092882 %	0.0094846664559 %
