BasketballDrive__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TEncSbac::codePartSize	3598300	1820145	879399	283100	161661	11079	41	4	3	3315159	1658480	868317	7.23803257115 %	7.8676041464 %	6.39885847388 %	0.000762165591907 %	0.00113942695162 %	0.000259303052664 %
TComDataCU::setMergeFlagSubParts	3514253	1551126	870051	166796	92464	0	22	1	0	3347435	1458661	870051	4.36800703572 %	4.74627182505 %	3.81896903861 %	0.000387503517016 %	0.000626022087767 %	4.13022261487e-05 %
TComDataCU::getQtRootCbf	3432898	2227346	183758	66562	62370	0	2	23	0	3366334	2164953	183758	2.2062278555 %	1.93894487981 %	2.58678182277 %	0.000427789039087 %	5.82598143027e-05 %	0.000953919864095 %
TComYuv::copyToPartYuv	3364492	759724	1085320	32117	5028	324	47	0	0	3332328	754696	1084996	0.719238719149 %	0.954586903461 %	0.29007438305 %	0.000902191673116 %	0.00139694194547 %	0.0 %
TComDataCU::getMvField	3330436	1959080	587724	43954	306727	1211	1	56	0	3286481	1652297	586513	5.98736822046 %	1.3197671416 %	12.0911542467 %	0.000969842987525 %	3.0026098685e-05 %	0.0021988343037 %
TComDataCU::setMergeIndexSubParts	3262542	1478657	823206	196598	56425	0	24	1	0	3065920	1422231	823206	4.54717081161 %	6.02591476217 %	2.45127533654 %	0.000449284334983 %	0.000735622713823 %	4.34430719813e-05 %
TEncCu::xCheckRDCostInter	3222956	1331800	1731340	264840	342984	56960	24	0	0	2958092	988816	1674380	10.5754668716 %	8.21730113598 %	13.0566673414 %	0.000381794996449 %	0.000744658009604 %	0.0 %
TComDataCU::setIntraDirSubParts	3177075	1652079	889581	173691	60673	20	4	0	0	3003380	1591406	889561	4.09852878303 %	5.46700974953 %	2.38792757489 %	6.9945538655e-05 %	0.000125901969579 %	0.0 %
TComPatternParam::setPatternParamPel	3064880	1838928	1225952	45577	0	900	1	0	0	3019302	1838928	1225052	0.758218918848 %	1.48707290334 %	0.0293649343531 %	1.63138524184e-05 %	3.26277048367e-05 %	0.0 %
TEncEntropy::encodeTransformSubdivFlag	3001368	1750798	1000456	39072	2333	45721	2	0	1	2962294	1748465	954734	1.51454415048 %	1.30180637629 %	1.74662172231 %	5.2150132583e-05 %	6.66362805227e-05 %	3.63470621033e-05 %
TEncSbac::codeSkipFlag	2878712	1100684	1270020	95519	17756	60967	2	1	1	2783191	1082927	1209052	3.31926446675 %	3.3181158796 %	3.32065917972 %	7.61989524168e-05 %	6.94755154388e-05 %	8.436312589e-05 %
TEncSearch::xAddSymbolBitsInter	2868756	1181034	1441514	232254	142984	776	18	0	0	2636484	1038050	1440738	6.84744461425 %	8.09598306722 %	5.48169185083 %	0.000327790994634 %	0.000627449668079 %	0.0 %
TComPrediction::xDCPredFiltering	2846966	982711	317597	66749	0	0	12	0	0	2780205	982711	317597	1.60946684497 %	2.34456611003 %	0.0 %	0.000289346688934 %	0.000421501345643 %	0.0 %
TComDataCU::setSkipFlagSubParts	2834136	1417068	826623	58084	8678	13236	4	0	2	2776048	1408390	813385	1.5754376823 %	2.04944293428 %	0.976694206109 %	0.000118160780192 %	0.000141136487452 %	8.91388341799e-05 %
TEncEntropy::encodePUWise	2785350	900228	1212876	135803	76143	0	5	2	0	2649542	824083	1212876	4.326793719 %	4.87561706787 %	3.60337210095 %	0.000142902229969 %	0.000179510653957 %	9.46474948701e-05 %
TEncSearch::xSetResidualQTData	2700630	1033154	717413	77406	64162	21785	21	0	5	2623203	968992	695623	3.66986677966 %	2.8662201042 %	4.90966641094 %	0.00058411254321 %	0.000777596338632 %	0.000285621744269 %
TComDataCU::isDiffMER	2657967	1402268	172093	43345	42702	0	1	0	0	2614621	1359566	172093	2.03308911786 %	1.63075764297 %	2.71233852973 %	2.36276583478e-05 %	3.76227394847e-05 %	0.0 %
TEncSearch::xGetBlkBits	2498648	1206688	1022688	176847	108038	46317	11	6	2	2321790	1098644	976369	7.00508288452 %	7.07770762428 %	6.92368626916 %	0.000401859212221 %	0.000440238080754 %	0.000358844806798 %
TEncSbac::codeCrossComponentPrediction	2487634	1297896	540790	77621	199	30	5	0	0	2410008	1297697	540760	1.79945080345 %	3.12027412393 %	0.0124545463445 %	0.000115571663677 %	0.0002009941977 %	0.0 %
TComLoopFilter::xSetEdgefilterMultiple	2453390	1215324	351976	80	1738	2284	35	0	48	2453275	1213586	349644	0.102022289706 %	0.00326079424796 %	0.256619664391 %	0.00206432229294 %	0.00142659748348 %	0.00306259171824 %
TEncSearch::xSetIntraResultChromaQT	2414617	1090160	793357	30905	20658	460	21	0	0	2383691	1069502	792897	1.21036245031 %	1.27991312908 %	1.12120039267 %	0.000488584115805 %	0.000869703145468 %	0.0 %
TComDataCU::setCbfSubParts	2388440	1070680	700060	16556	70371	0	2	3	0	2371882	1000306	700060	2.09000331796 %	0.693172112341 %	3.97410122322 %	0.000120216004116 %	8.37366649361e-05 %	0.000169420694173 %
TEncSearch::xRestrictBipredMergeCand	2355874	444160	721836	71583	0	0	6	0	0	2284285	444160	721836	2.03252817395 %	3.03849017392 %	0.0 %	0.000170364039559 %	0.000254682550934 %	0.0 %
TEncCu::xCheckBestMode	2346825	1234703	526781	86366	137851	0	4	4	0	2260455	1096848	526781	5.45764692967 %	3.68012101456 %	7.82584457196 %	0.000194727319683 %	0.000170443045391 %	0.000227081256486 %
TComDataCU::isBipredRestriction	2306096	646072	877976	89538	0	2	2	0	0	2216556	646072	877974	2.33777111252 %	3.88266576933 %	0.000131229462589 %	5.22173578852e-05 %	8.67266583872e-05 %	0.0 %
TComTrQuant::setErrScaleCoeff	2261520	267840	253440	25	1430	62040	14	65	46805	2261481	266345	144595	2.28169469599 %	0.00110545120096 %	12.1757980356 %	1.68477792152 %	0.000619052672539 %	8.99132903622 %
TEncSampleAdaptiveOffset::deriveOffsets	2254652	621179	449471	140	10520	2794	70	4	6	2254442	610655	446671	0.404594830785 %	0.00620938397589 %	1.24354364171 %	0.00240579652615 %	0.00310469198794 %	0.000934012048755 %
TEncBinCABAC::encodeBin	2131782	785748	566767	25	3675	152	13	45	0	2131744	782028	566615	0.11055314745 %	0.00117272779299 %	0.282954348011 %	0.00166461125444 %	0.000609818452356 %	0.00332713500405 %
TComDataCU::setPartSizeSubParts	2043480	1021740	596015	67787	920	8236	4	0	1	1975689	1020820	587778	2.10155862708 %	3.31723334704 %	0.565969507126 %	0.000136565940181 %	0.00019574451426 %	6.18140571347e-05 %
TEncBinCABACCounter::encodeBinEP	2036658	1018329	1018329	84133	0	0	3	0	0	1952522	1018329	1018329	2.06546705436 %	4.13093410872 %	0.0 %	7.36500679054e-05 %	0.000147300135811 %	0.0 %
TComPicYuv::extendPicBorder	2028300	578391	552243	135	8821	29052	56	785	2702	2028109	568785	520489	1.20319069661 %	0.00665582014495 %	3.34971352356 %	0.112158088773 %	0.00276093280087 %	0.308411033102 %
TComDataCU::getNumPartitions	2009978	945872	236468	59018	109690	0	2	1	0	1950958	836181	236468	5.28481185145 %	2.93625104354 %	9.27736522489 %	9.39756001752e-05 %	9.95035766561e-05 %	8.45780401577e-05 %
_int_malloc	1938576	333701	373202	878	3193	12736	247	33	10527	1937451	330475	349939	0.635310278403 %	0.0452909764693 %	2.25335017676 %	0.408508251247 %	0.012741311148 %	1.4938400318 %
TComLoopFilter::xEdgeFilterChroma	1916590	783350	282214	120	8336	0	109	0	0	1916361	775014	282214	0.283553431513 %	0.00626112001002 %	0.782308711631 %	0.00365507616307 %	0.0056871840091 %	0.0 %
TComDataCU::setPredModeSubParts	1845816	922908	538363	48885	7375	0	3	0	0	1796928	915533	538363	1.70119503962 %	2.64842216126 %	0.504697622823 %	9.0714275131e-05 %	0.000162529742943 %	0.0 %
TComDataCU::setChromaQpAdjSubParts	1845816	922908	538363	45208	1012	0	4	0	0	1800604	921896	538363	1.39760459885 %	2.44921487299 %	0.0692547788877 %	0.000120952366841 %	0.000216706323924 %	0.0 %
TComDataCU::getPartPosition	1844877	915658	405324	155541	45137	18585	13	1	12	1689323	870520	386727	6.92586119597 %	8.43096856864 %	4.82383560109 %	0.000821262096638 %	0.000704654023005 %	0.000984116361919 %
TEncEntropy::encodeSkipFlag	1817837	956681	426959	105094	125643	682	5	1	0	1712738	831037	426277	7.22850734208 %	5.78126641718 %	9.12990373218 %	0.000187413496958 %	0.000275052163643 %	7.22731346304e-05 %
TComDataCU::setCbfSubParts	1806625	939445	505855	60236	0	0	2	0	0	1746387	939445	505855	1.85231824227 %	3.33417283609 %	0.0 %	6.1502033411e-05 %	0.00011070366014 %	0.0 %
TEncEntropy::encodeMergeIndex	1785720	892860	567350	37162	2291	0	7	0	0	1748551	890569	567350	1.21546059219 %	2.08106534059 %	0.156895241095 %	0.000215654681401 %	0.000391998745604 %	0.0 %
TComLoopFilter::xDeblockCU	1698998	480035	281480	85	4694	19	54	18	0	1698859	475323	281461	0.194999985775 %	0.00500294879688 %	0.618897854934 %	0.00292621904457 %	0.00317834394155 %	0.00236370918498 %
TComYuv::copyToPicYuv	1665600	478860	603780	23400	21013	1012	39	1	0	1642161	457846	602768	1.65287602247 %	1.40489913545 %	2.03437892559 %	0.0014554769598 %	0.00234149855908 %	9.23668070642e-05 %
TComLoopFilter::xGetBoundaryStrengthSingle	1663990	693655	361306	85	17584	0	40	321	0	1663865	675750	361306	0.649846209071 %	0.00510820377526 %	1.66679147381 %	0.0132771793239 %	0.00240386060012 %	0.0304276650985 %
TEncEntropy::encodePartSize	1658111	872690	523614	169635	24453	1224	6	1	1	1488470	848236	522389	6.39441595199 %	10.2306178537 %	1.83892619372 %	0.000261915947898 %	0.000361857559596 %	0.000143235284007 %
TComDataCU::setTransformSkipSubParts	1651666	740402	484109	28560	29663	201	2	0	0	1623104	710739	483908	2.0313075308 %	1.72916316011 %	2.43885110056 %	6.95367496507e-05 %	0.00012108985715 %	0.0 %
TComDataCU::deriveLeftBottomIdxGeneral	1622974	903474	225180	134040	68662	0	5	4	0	1488929	834808	225180	7.36662077868 %	8.2589123424 %	6.0835295848 %	0.000327079096448 %	0.000308076407878 %	0.000354404449902 %
TEncCu::xCheckDQP	1615089	922908	384545	129549	46775	40693	6	0	0	1485534	876133	343852	7.42562467879 %	8.02116787372 %	6.68995367329 %	0.000205300727928 %	0.000371496555298 %	0.0 %
TEncSearch::xSetIntraResultQT	1585408	720120	508616	104335	25891	40966	22	0	0	1481051	694229	467650	6.08327079211 %	6.58095581705 %	5.44111998021 %	0.000781765254372 %	0.00138765541741 %	0.0 %
TComDataCU::deriveLeftRightTopIdxGeneral	1579318	858714	225180	134209	95475	8115	5	5	1	1445104	763234	217064	8.92903005844 %	8.49790859092 %	9.55720762362 %	0.000413035086955 %	0.000316592351889 %	0.000553559665429 %
TComDataCU::isSkipped	1463800	1463800	0	49525	260043	0	2	42	0	1414273	1203715	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncEntropy::encodeCoeff	1425720	612683	551161	79164	12776	0	12	1	0	1346544	599906	551161	3.5504046241 %	5.55256291558 %	1.09774162173 %	0.000502015011021 %	0.000841679993267 %	8.59221682631e-05 %
_int_free	1322215	377035	250078	670	9045	687	129	5377	404	1321416	362613	248987	0.533619791025 %	0.0506725456904 %	1.55187342632 %	0.303181404053 %	0.00975635581203 %	0.921843431726 %
TComOutputBitstream::write	1304709	331541	253689	43	241	833	16	1	56	1304650	331299	252800	0.0591024366395 %	0.00329575407236 %	0.183517591374 %	0.00386255852702 %	0.00122632709669 %	0.00973976043607 %
TEncSearch::xSetIntraResultChromaQT	1290817	507398	514409	43302	20327	1584	11	0	0	1247504	487071	512825	2.8198704156 %	3.35461959364 %	2.14433841224 %	0.000475650170542 %	0.000852173468431 %	0.0 %
TComTrQuant::xsetFlatScalingList	1248480	10080	493200	10	385	61770	5	43	46767	1248465	9652	384663	3.54871671919 %	0.000800973984365 %	12.3499841043 %	2.67245513084 %	0.000400486992182 %	9.30098553489 %
TEncSbac::codeIntraDirChroma	1135390	524326	410688	54890	22241	0	44	1	0	1080456	502084	410688	3.72540818121 %	4.83446216718 %	2.37868096093 %	0.00217348884566 %	0.0038753203745 %	0.000106950270263 %
TComCUMvField::copyTo	1121480	571320	380880	23400	12325	11364	6	1	2	1098074	558994	369514	2.27079395085 %	2.08652851589 %	2.48781768536 %	0.000434011033525 %	0.000535007311767 %	0.000315059861374 %
TComDataCU::setCUTransquantBypassSubParts	1099176	549588	320593	17775	6	0	1	0	0	1081400	549582	320593	0.902883530005 %	1.61712046115 %	0.000689511722274 %	5.07779950512e-05 %	9.09772411334e-05 %	0.0 %
TComCUMvField::compress	1095920	544880	383040	20	3622	9504	12	27	68	1095888	541231	373468	0.649557277255 %	0.00182495072633 %	1.41456160014 %	0.00528697920784 %	0.0010949704358 %	0.0102379515475 %
TEncSbac::codeMvd	1038200	405989	275212	76445	26416	0	17	11	0	961738	379562	275212	5.98237409423 %	7.36322481217 %	3.87785690274 %	0.00162847410232 %	0.00163744943171 %	0.00161479504581 %
TComDataCU::setQPSubParts	1036392	518196	302281	81326	64526	4398	2	0	1	955064	453670	297882	8.0915778119 %	7.84703085319 %	8.40047923342 %	0.000161562285762 %	0.00019297717466 %	0.000121880320838 %
TEncCu::xCheckRDCostIntra	1011124	438452	523458	88914	66439	23828	127	15	7	922083	371998	499623	9.08149580798 %	8.7935802137 %	9.38414196754 %	0.00755182120531 %	0.0125602794514 %	0.00228711625828 %
TEncEntropy::encodePredInfo	964757	418922	374557	75976	0	0	8	0	0	888773	418922	374557	4.32114915176 %	7.87514368903 %	0.0 %	0.00045500149013 %	0.000829224353905 %	0.0 %
TComCUMvField::copyFrom	939600	438480	375840	7800	13721	120	2	0	0	931798	424759	375720	1.23386471447 %	0.830140485313 %	1.69970036349 %	0.000114030286444 %	0.000212856534696 %	0.0 %
TComTURecurse::TComTURecurse	925218	359807	411208	72962	5304	8903	4	0	3	852252	354503	402302	5.13897560064 %	7.88592526302 %	1.84263600578 %	0.000412679154338 %	0.00043233054264 %	0.000389097488376 %
TEncEntropy::encodePredMode	912145	500893	216235	85645	152	0	6	0	0	826494	500741	216235	5.26596831838 %	9.38940628957 %	0.0211956582367 %	0.000368262409062 %	0.000657790153978 %	0.0 %
TEncSbac::codeMergeFlag	863379	558657	253935	62540	32853	6	2	20	0	800837	525784	253929	5.69216293122 %	7.24363228663 %	4.0437267411 %	0.00131267187797 %	0.000231647978466 %	0.0024612597712 %
TEncEntropy::encodeCrossComponentPrediction	854568	498498	284856	38229	209	91	4	0	0	816335	498289	284765	2.35230981695 %	4.47348835903 %	0.0382968619551 %	0.000244211873337 %	0.000468072757229 %	0.0 %
_dl_lookup_symbol_x	829762	147760	54889	82	3573	87	15	3061	18	829665	141126	54784	0.362452550389 %	0.0098823518069 %	1.80607849039 %	0.29968684952 %	0.00180774728175 %	1.51937586665 %
TEncSbac::codePredMode	801762	464178	210990	76518	48232	0	2	20	0	725242	415926	210990	8.44657499001 %	9.54372993482 %	7.14370349306 %	0.00148957635094 %	0.000249450585086 %	0.0029622256979 %
TEncCu::xCopyYuv2Pic	801570	322710	239430	39000	41199	0	28	0	0	762542	281511	239430	5.88094242911 %	4.86545155133 %	7.32895719927 %	0.00205322245932 %	0.00349314470352 %	0.0 %
TEncCu::xEncodeCU	753144	346488	247324	701	4866	126	19	61	0	752424	341561	247198	0.422656716329 %	0.0930764900205 %	0.840670111079 %	0.00593931798812 %	0.00252275793208 %	0.0102726115336 %
TComYuv::copyFromPicYuv	707880	176970	239430	12866	7688	13590	18	7	3	694996	169275	225837	3.03696588039 %	1.81753969599 %	5.10999039385 %	0.00249048279788 %	0.00254280386506 %	0.00240153698367 %
TEncSearch::xTZ2PointSearch	690851	277628	243209	69382	10001	0	42	2	0	621427	267625	243209	6.55143898429 %	10.0429759818 %	1.92017848194 %	0.00363129782584 %	0.00607945852289 %	0.000383997296659 %
TComDataCU::setDepthSubParts	665900	319632	213088	53272	2059	1844	2	0	0	612626	317573	211244	4.77006891258 %	8.0 %	0.732655053311 %	0.000166858554004 %	0.000300345397207 %	0.0 %
TEncEntropy::encodeRefFrmIdxPU	642680	382770	166394	19191	247	8023	2	0	0	623487	382523	158371	2.30407670803 %	2.98608950022 %	1.5059253702 %	0.000167807196244 %	0.000311196863136 %	0.0 %
TEncSbac::codeQtRootCbf	625738	272060	272060	27018	5262	15628	1	0	0	598719	266798	256432	4.09519787872 %	4.31778156353 %	3.83922664118 %	8.54804600216e-05 %	0.000159811294823 %	0.0 %
TEncEntropy::encodeMvdPU	617782	369926	187750	21844	0	2624	2	0	0	595936	369926	185126	2.08157160868 %	3.53587511452 %	0.470524103601 %	0.000170146445045 %	0.000323738794591 %	0.0 %
TEncEntropy::encodeMergeFlag	609444	355509	203148	0	0	0	0	0	0	609444	355509	203148	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncSearch::xSetIntraResultQT	603998	267375	201991	3790	8459	3333	20	0	0	600188	258916	198658	1.45169765336 %	0.627485521475 %	2.51232513646 %	0.0018633008001 %	0.00331126924261 %	0.0 %
TComCUMvField::create	602768	3848	150552	16	144	17846	14	0	17809	602738	3704	114897	2.37807197346 %	0.00265442093807 %	11.6515544041 %	2.35390296473 %	0.00232261832081 %	11.5343264249 %
TEncSbac::codeInterDir	584691	265727	197118	32761	21495	0	3	14	0	551927	244218	197118	5.17939240274 %	5.60313054246 %	4.64410331753 %	0.00162285592094 %	0.000513091530398 %	0.00302477071158 %
do_lookup_x	559221	202670	95467	175	6371	110	45	1457	31	559001	194842	95326	0.776338472377 %	0.0312935315376 %	2.17383283524 %	0.178805119915 %	0.00804690810967 %	0.499099407319 %
TEncSbac::codeSplitFlag	551232	235592	147732	30898	20071	637	8	1	0	520326	215520	147095	5.52198049127 %	5.60526239406 %	5.4022184888 %	0.000963024152646 %	0.00145129455474 %	0.000260875916979 %
TEncSampleAdaptiveOffset::getDistortion	549582	172059	80821	118	641	0	59	0	0	549405	171418	80821	0.0945839179924 %	0.0214708633107 %	0.25347991142 %	0.00735237307187 %	0.0107354316553 %	0.0 %
TEncEntropy::encodeIPCMInfo	542736	305289	135684	32731	5928	0	5	0	0	510000	299361	135684	3.92992236525 %	6.03074054421 %	1.34429999116 %	0.00050828039593 %	0.000921258217623 %	0.0 %
TComDataCU::getAllowedChromaDir	471282	214669	130114	46631	10757	14792	3	0	0	424648	203912	115322	8.84488367961 %	9.89450053259 %	7.41016813474 %	0.000367617775545 %	0.000636561549136 %	0.0 %
TEncEntropy::encodeMVPIdxPU	446884	296684	138922	10920	10981	0	1	2	0	435963	285701	138922	2.48172783828 %	2.44358715013 %	2.5208560029 %	0.000339947194869 %	0.000223771717045 %	0.000459130498662 %
TEncSbac::codeQtRootCbfZero	425799	232254	154836	70326	1039	35026	2	0	0	355471	231215	119810	13.0880107862 %	16.5162435797 %	9.31695471337 %	0.000246036051663 %	0.000469705189538 %	0.0 %
malloc	387323	112479	62590	21	1192	365	15	0	5	387287	111287	62220	0.280587206077 %	0.00542183139137 %	0.889363622343 %	0.00355623835332 %	0.00387273670812 %	0.00285601677053 %
TEncEntropy::encodeQtRootCbfZero	387090	232254	116127	0	828	0	0	0	0	387090	231426	116127	0.112580917534 %	0.0 %	0.237670825906 %	0.0 %	0.0 %	0.0 %
TComDataCU::getCtxSplitFlag	384008	130584	142196	13606	15753	1752	11	29	2	370391	114802	140442	4.73684050257 %	3.54315535093 %	6.41725932986 %	0.00639475751689 %	0.00286452365576 %	0.0113644695359 %
TEncBinCABAC::testAndWriteOut	376680	145568	85544	0	0	137	0	0	2	376680	145568	85405	0.0225406059968 %	0.0 %	0.0592786181592 %	0.000329059941559 %	0.0 %	0.000865381286995 %
TComLoopFilter::xDeblockCU	376192	82277	21500	20	2042	0	12	22	0	376160	80213	21500	0.429611079049 %	0.00531643416128 %	1.96768069996 %	0.00708379082816 %	0.00318986049677 %	0.0211993023502 %
free	362510	112484	75011	167	1383	8	13	328	1	362330	110773	75002	0.28327015209 %	0.0460676946843 %	0.741886450305 %	0.0621812528977 %	0.00358610796944 %	0.175471345903 %
TComCUMvField::copyTo	359720	126960	169280	12710	14363	841	4	0	0	347006	112597	168439	4.25544240502 %	3.53330368064 %	5.13232514178 %	0.000609793280078 %	0.00111197598132 %	0.0 %
TEncCu::xCopyYuv2Tmp	349180	164320	133510	7800	16609	0	4	0	0	341376	147711	133510	3.77258465866 %	2.23380491437 %	5.57667125541 %	0.00061822846633 %	0.00114554098173 %	0.0 %
TEncEntropy::encodeIntraDirModeChroma	342624	199864	114208	11568	11743	14327	7	0	2	331049	188121	99879	5.73141910412 %	3.3762958812 %	8.30064443822 %	0.00137049715546 %	0.00204305594471 %	0.000636796658091 %
TEncSbac::xWriteUnaryMaxSymbol	339360	156544	91952	22481	0	0	8	0	0	316871	156544	91952	3.82423586729 %	6.62452852428 %	0.0 %	0.00136087749381 %	0.002357378595 %	0.0 %
TEncSbac::codeRefFrmIdx	337335	158330	82531	16318	21752	0	6	5	0	321011	136573	82531	6.58427246124 %	4.83732787881 %	9.03093485454 %	0.00190246905894 %	0.0017786473387 %	0.00207588609198 %
TEncEntropy::encodeSplitFlag	333868	175720	105432	10	13190	0	10	1	0	333848	162529	105432	2.14627166596 %	0.00299519570609 %	4.69141247439 %	0.00178855972164 %	0.00299519570609 %	0.000355679490098 %
initROM	329111	79859	35725	19	2	2737	19	0	49	329073	79857	32939	0.620200362046 %	0.0057731282151 %	2.3697051495 %	0.0152913794848 %	0.0057731282151 %	0.0423934108527 %
std::basic_streambuf<char,	325109	222222	207134	14	23078	150	14	258	61	325081	198886	206923	3.08059353317 %	0.00430624805834 %	5.40996282805 %	0.0441372363198 %	0.00430624805834 %	0.0742973197067 %
TEncCu::xComputeQP	322710	135330	52050	40910	31264	0	8	1	0	281792	104065	52050	14.1492677763 %	12.6770165164 %	16.6848116128 %	0.00176439451861 %	0.00247900591863 %	0.00053367488526 %
std::basic_streambuf<char,	312002	214325	199121	169	93	22341	25	2	615	311808	214230	176165	3.11572986623 %	0.0541663194467 %	5.42610159489 %	0.088497039071 %	0.00801276914892 %	0.14923351538 %
TEncSbac::codeSAOOffsetParam	304477	77245	68355	65	267	3	40	0	0	304372	76978	68352	0.0744317083521 %	0.0213480821211 %	0.18543956044 %	0.00888736816145 %	0.0131372813053 %	0.0 %
TComLoopFilter::xSetEdgefilterPU	301230	94050	142674	48	27	0	27	2	0	301155	94021	142674	0.0139417124884 %	0.0159346678618 %	0.0114056876362 %	0.00539079549553 %	0.00896325067224 %	0.000844865750832 %
TComLoopFilter::xSetEdgefilterTU	294232	121464	131216	0	136	181	0	5	0	294232	121323	131035	0.0579617927564 %	0.0 %	0.125455121102 %	0.000914223860511 %	0.0 %	0.00197878739908 %
_dl_relocate_object	290000	102611	40802	52	5688	1836	52	3933	1063	289896	92990	37903	1.74798633174 %	0.0179310344828 %	5.24638631086 %	1.16470894966 %	0.0179310344828 %	3.48364513677 %
TComLoopFilter::xSetEdgefilterTU	289216	110432	134320	35	1497	149	21	16	0	289160	108919	134171	0.314812872682 %	0.012101681788 %	0.672517487089 %	0.00692925418752 %	0.0072610090728 %	0.00653722952213 %
TComLoopFilter::xSetLoopfilterParam	286312	95932	87776	30	58	82	12	0	0	286270	95874	87694	0.0361686736735 %	0.0104780798569 %	0.0762078951379 %	0.00255308284754 %	0.00419123194278 %	0.0 %
TEncSbac::codeMVPIdx	262720	118224	105088	21304	21642	0	4	8	0	241412	96574	105088	8.83604371729 %	8.10901339829 %	9.69137350433 %	0.00246897323633 %	0.00152253349574 %	0.00358243175468 %
TEncBinCABAC::writeOut	261363	76493	57426	20	17	82	8	0	1	261335	76476	57343	0.030105089531 %	0.00765219254447 %	0.0739252831936 %	0.00227685551075 %	0.00306087701779 %	0.000746720032258 %
strcmp	227435	72190	2	17	746	0	5	222	0	227413	71222	2	0.254649948102 %	0.00747466309055 %	1.03335549645 %	0.0757608626726 %	0.00219843032075 %	0.307513297872 %
TComSampleAdaptiveOffset::invertQuantOffsets	224204	92049	127227	28	1	1214	14	0	1	224162	92048	126012	0.280283214576 %	0.0124886264295 %	0.554096207519 %	0.0033823396771 %	0.00624431321475 %	0.000456046261333 %
TEncEntropy::encodeInterDirPU	219726	122070	61035	20908	9993	0	2	1	0	198816	112076	61035	7.67095878917 %	9.51548747076 %	5.45752437126 %	0.000744729179234 %	0.000910224552397 %	0.000546134731438 %
TEncSampleAdaptiveOffset::deriveModeNewRDO	201073	86833	86294	147	1372	652	77	3	1	200849	85458	85641	0.580171031534 %	0.0731077767776 %	1.16908396726 %	0.0216461785142 %	0.0382945497406 %	0.00231044262305 %
TComDataCU::initCtu	196275	74238	79527	2769	12468	1747	45	779	508	193461	60991	77272	4.85201691235 %	1.41077569736 %	9.2446265405 %	0.380527939664 %	0.0229270156668 %	0.836991513023 %
malloc_consolidate	195058	68154	44737	254	8586	103	39	7	34	194765	59561	44600	2.90405229437 %	0.130217678844 %	7.69680488259 %	0.0259783275802 %	0.0199940530509 %	0.0363182184585 %
__memcmp_ssse3	194730	42612	4954	470	225	0	31	0	0	194229	42387	4954	0.286839237957 %	0.241359831562 %	0.473026952025 %	0.0127942681679 %	0.0159194782519 %	0.0 %
TComDataCU::isLastSubCUOfCtu	188398	97004	29952	435	1589	0	6	3	0	187957	95412	29952	0.641818400908 %	0.230894170851 %	1.25161473266 %	0.00285393557716 %	0.00318474718415 %	0.00236302340969 %
TComDataCU::getIntraSizeIdx	187630	31318	0	8948	231	0	3	0	0	178679	31087	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::encodeBinsEP	182862	70839	50940	18	0	0	11	0	0	182833	70839	50940	0.00590859405005 %	0.00984348853234 %	0.0 %	0.00361080747503 %	0.00601546521421 %	0.0 %
TEncSbac::codeSaoMaxUvlc	172585	80546	48738	19	0	0	13	0	0	172553	80546	48738	0.00629412095975 %	0.0110090679955 %	0.0 %	0.00430650381457 %	0.00753252020743 %	0.0 %
ContextModel::init	172498	28280	11312	27	0	1005	4	0	244	172467	28280	10063	0.486585883351 %	0.0156523553896 %	2.53839159426 %	0.116931491348 %	0.00231886746513 %	0.616286118408 %
__memchr_sse2_bsf	151792	34035	332	32	371	0	19	255	0	151741	33409	332	0.216481609807 %	0.0210814799199 %	1.07952396194 %	0.14718600766 %	0.0125171287024 %	0.741990863328 %
SAOOffset::reset	148506	8406	100872	15	0	4468	5	0	3131	148486	8406	93273	1.73905285045 %	0.0101006019959 %	4.08865462399 %	1.21652235981 %	0.00336686733196 %	2.86516956753 %
df::program_options_lite::Options::addOption	146684	45001	44151	168	648	0	30	0	0	146486	44353	44151	0.346003154735 %	0.114531918955 %	0.726848528356 %	0.0127207042182 %	0.0204521283848 %	0.0 %
TEncSbac::xWriteEpExGolomb	144869	39567	32373	7497	0	0	7	0	0	137365	39567	32373	3.45788228348 %	5.17502019066 %	0.0 %	0.00322864825722 %	0.00483195162526 %	0.0 %
operator	142326	39535	39535	57	262	33	15	2	6	142254	39271	39496	0.158991129018 %	0.040048901817 %	0.373087137979 %	0.0103886249074 %	0.0105391846887 %	0.0101176173011 %
TEncCu::finishCU	125742	64468	30762	435	1951	4	15	29	0	125292	62488	30758	1.08158499719 %	0.345946461803 %	2.05292449858 %	0.0199120250529 %	0.011929188338 %	0.03045258847 %
