BasketballDrill__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TEncSearch::estIntraPredQT	206062394	71518568	99396958	4729386	7876357	3583672	173879	76764	22713	4.29452605606 %	2.29512329164 %	6.70508365636 %	0.0725124696958 %	0.084381723722 %	0.058202436214 %
TEncSbac::load	206039808	68679936	85849920	427486	6357894	86943	302	0	3	1.90596261587 %	0.207477382235 %	4.17060959405 %	8.45883695862e-05 %	0.000146573617463 %	1.94137241673e-06 %
TEncEntropy::estimateBit	200521776	91905814	66840592	549295	10486747	1227101	1382	46745	0	3.41336739918 %	0.273932842087 %	7.37896894497 %	0.013395842552 %	0.000689201954804 %	0.0294463359378 %
TEncSearch::xEncodeResidualQT	193168653	87107197	65458330	3805019	7101130	2655960	6496	0	332	3.92269835745 %	1.96979113376 %	6.3953438184 %	0.0019749276742 %	0.00336286447056 %	0.000217611413619 %
TEncSearch::xRecurIntraCodingQT	192399355	77799666	61343659	10813905	13576062	7402181	4917	53559	36259	9.58915696766 %	5.62055158657 %	15.0767153221 %	0.0285739983763 %	0.00255562187306 %	0.0645507069779 %
TComYuv::copyToPartComponent	188939723	67600586	47662328	971284	1543530	101328	36502	1095	78	0.859999777057 %	0.514070828822 %	1.42704877303 %	0.012384836756 %	0.0193193889672 %	0.00101767338626 %
TComPrediction::xPredInterBi	187783700	71975131	58767833	2582835	5960905	1135480	4718	3637	513	3.03874717377 %	1.37543088138 %	5.42773758747 %	0.00278406833784 %	0.00251246513941 %	0.00317416698615 %
TComDataCU::xAddMVPCandOrder	184365614	58866340	42860904	3754193	9377646	208227	116844	15831	97	4.66284481663 %	2.03627613553 %	9.42311284871 %	0.0464087083222 %	0.0633762432511 %	0.0156575558068 %
TComTU::GetEquivalentLog2TrSize	181463227	82483285	16496657	1078507	1672592	0	145	0	0	0.980982710262 %	0.594339149496 %	1.68982923833 %	5.17038801541e-05 %	7.99059966017e-05 %	0.0 %
TComYuv::copyPartToPartYuv	175515168	38393943	49363641	908603	3212928	41557	2329	32	83	1.5812832769 %	0.517677765605 %	3.70849429948 %	0.000928314829937 %	0.00132695084222 %	0.000131042805372 %
TComDataCU::getCtxQtCbf	175443837	91674280	0	1933736	1331000	0	275836	0	0	1.22220687861 %	1.1021965964 %	1.45187941482 %	0.103263680913 %	0.157221823643 %	0.0 %
TEncSearch::xGetInterPredictionError	172738944	53980920	77115600	1870206	3697037	2277816	5841	1282	1821	2.58200899155 %	1.082677685 %	4.55759847782 %	0.00294369850124 %	0.00338140309576 %	0.00236695832963 %
TComRdCost::xGetSAD	168331136	46567840	1128864	36446	1524893	33286	134	1043	0	0.738157174557 %	0.0216513717343 %	3.26684837594 %	0.000544837183948 %	7.96049995171e-05 %	0.00218673390933 %
TComCUMvField::setAllMvField	163277448	66193560	83845176	1503770	444369	76820	747286	139	0	0.646298883814 %	0.920990631848 %	0.3473696286 %	0.238552950077 %	0.457678637897 %	9.26427426048e-05 %
TComDataCU::getPUAboveRight	153598425	75691487	27979865	2431831	10698985	272918	33649	6075	96	5.209991689 %	1.58323954168 %	10.5833509338 %	0.0154779160088 %	0.0219071256753 %	0.00595246409056 %
TComDataCU::setMVPIdxSubParts	150887597	69498867	39756331	2253607	17437510	2388824	107358	8540	0	8.48762349924 %	1.49356676414 %	18.1468107357 %	0.0445516855464 %	0.0711509773729 %	0.00781656173466 %
TEncSbac::xWriteCoefRemainExGolomb	150370342	61026060	39207350	1005083	33066	99949	860	0	0	0.454142442369 %	0.668405076847 %	0.13270525267 %	0.000343171238713 %	0.00057192129017 %	0.0 %
TEncSearch::xPatternSearchFracDIF	149024604	52359996	65785636	2333177	9191644	3598668	4160	14	6	5.66061894709 %	1.56563207509 %	10.8258864788 %	0.00156454553568 %	0.00279148535768 %	1.69282602001e-05 %
TEncEntropy::encodeQtCbf	147700518	84400296	52750185	658717	5756192	861087	482	946	228	2.55431647617 %	0.445981509692 %	4.82483105546 %	0.000581356570914 %	0.000326336025443 %	0.000855994081421 %
TComDataCU::setMVPNumSubParts	145437606	66988314	38375425	663917	7101148	461828	118467	154	0	3.28024277541 %	0.456496100465 %	7.17796850395 %	0.0472967957967 %	0.0814555487114 %	0.000146160340798 %
TComTrQuant::getSigCoeffGroupCtxInc	142270730	47646046	10638915	309409	210386	0	199	0	0	0.259177387292 %	0.217479027485 %	0.360961037617 %	9.92243097205e-05 %	0.000139874168074 %	0.0 %
TEncSbac::getNumberOfWrittenBits	136291712	85182320	34072928	0	1759420	868751	0	0	0	1.0284493308 %	0.0 %	2.20381999457 %	0.0 %	0.0 %	0.0 %
TComDataCU::getPUAboveRightAdi	134364240	66464477	28411412	1661912	5719666	55682	3708	3696	14	3.24430981279 %	1.23687076264 %	6.08726628111 %	0.00323590814242 %	0.00275966283886 %	0.00391037179109 %
TComDataCU::xGetDistScaleFactor	128962989	24944696	7127056	914530	0	0	83743	0	0	0.567908511121 %	0.709141442123 %	0.0 %	0.0520030643574 %	0.0649356847646 %	0.0 %
TEncSearch::xLoadIntraResultQT	128671711	47453899	25398634	2727764	2847931	479759	1205	258	901	3.00482655576 %	2.11994072263 %	4.5677066575 %	0.00117305985279 %	0.000936491782564 %	0.00159088497307 %
TEncSearch::xSetSearchRange	123465816	41155272	52587292	1298364	292205	219450	5571	91	0	0.833309930307 %	1.05159795809 %	0.545808625418 %	0.00260671342422 %	0.00451218011632 %	9.70743663465e-05 %
TComPrediction::motionCompensation	122281075	35522526	53740705	2996488	1323676	524626	5543	455	19	2.29020108913 %	2.45049203239 %	2.07061964853 %	0.00284432141605 %	0.0045329990761 %	0.000531013716051 %
TComTU::useDST	122274639	74154173	14724506	575080	1458008	0	168	0	0	0.962849184307 %	0.470318297157 %	1.64044742384 %	7.95630405391e-05 %	0.000137395621344 %	0.0 %

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	17547792561	6533684724	4247779376	124776535	485386033	200539553	30937	4171752	1079161	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Filter	1	1	1	1	1	1	1	1	1	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
InvQuant	2002395556	759292999	108441244	4517896	8859428	11056115	102350	1	6	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Quant	47135935726	17808329677	10500922468	113592963	899071661	1044136366	13972744	172754	3288588	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
InvTransf	7544505103	4003055601	700688410	16396684	74790065	43252692	22876	4197	190113	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Transf	33299887861	14493330161	6000048780	216926669	754057767	373365530	432778	390400	5159888	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Pre/Pos	9100494026	3122063441	1508572940	28830312	135085618	57197901	256091	169150	125300	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Inter/Intra	398970096528	167948001321	49320229910	265625567	2818502971	1088466629	9690658	8273312	3681014	0.677107375352 %	0.0665778135533 %	1.79822405598 %	0.00351243715702 %	0.00242891837868 %	0.00550210490152 %
Intra	5995138494	2059516757	1027182481	40567994	78592354	53630694	88391	176654	400652	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Inter	179316887595	92593564320	12211491642	177909046	1678894728	842836759	8222068	6068233	3174438	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Inter/Intra	213658070439	73294920244	36081555787	47148527	1061015889	191999176	1380199	2028425	105924	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
PROGRAM TOTALS	566951285222	234102709266	87463604840	1104841534	7063872864	5970528555	35780899	23274254	47014113	1.59132953176 %	0.194874156351 %	4.05341008906 %	0.0119377788442 %	0.00631110642707 %	0.0218581250326 %
