BasketballPass__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComYuv::copyToPartComponent	2069132	738920	517088	14040	19726	1177	9	599	0	1.05087304595 %	0.678545399714 %	1.6642409921 %	0.0182849443933 %	0.000434964999816 %	0.0476907790396 %
TComTrQuant::invRdpcmNxN	1859112	963984	413136	200005	103854	43456	3	1765	0	10.7320797767 %	10.7580931111 %	10.6969617753 %	0.0546314355708 %	0.000161367362483 %	0.128166027652 %
TComDataCU::setTransformSkipPartRange	1772820	886410	590940	22225	31396	0	1	0	0	1.64979062634 %	1.25365237306 %	2.12515653027 %	3.0767621386e-05 %	5.64073058743e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	1772820	886410	590940	6132	30358	0	1	0	0	1.12271050437 %	0.345889599621 %	2.05489559008 %	3.0767621386e-05 %	5.64073058743e-05 %	0.0 %
TComDataCU::CUIsFromSameTile	1681668	1121112	93426	15110	39818	0	2	0	0	1.89655017633 %	0.898512667185 %	3.27844826592 %	6.90558613579e-05 %	0.000118929539005 %	0.0 %

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	561168968	211073761	143184280	8798310	16153378	5485615	177	52371	21338	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Filter	2903327	1069391	463535	46	34881	4924	46	4457	23	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
InvQuant	79624933	30086770	4720825	452711	365167	454953	13	2444	11	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Quant	974818540	370676740	208516244	7420490	19799773	21747607	188	8342	41850	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
InvTransf	237751322	121912883	25127171	1390270	2265181	1632334	201	368	14623	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Transf	603475249	253483829	114536417	10530190	13994421	6199559	472	132628	77185	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Pre/Pos	78917393	30828986	22277752	1497757	2073016	986536	85	26302	28756	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Inter/Intra	1570207832	558626810	325549283	12653953	19084109	10898918	340	139689	107010	1.73717646884 %	0.805877587802 %	3.39106963391 %	0.0100652142268 %	2.16531845703e-05 %	0.027901568698 %
Intra	811489915	282029396	149570008	7565318	14513778	7358194	169	79657	72452	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Inter	10571130	3823477	2137649	23462	365677	76617	6	1150	15063	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
Inter/Intra	748146787	272773937	173841626	5065173	4204654	3464107	165	58882	19495	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %	100.0 %
PROGRAM TOTALS	5094541872	1989575025	1053708993	54559149	106241700	76013148	12659	648692	1205545	2.91004010409 %	1.07093337087 %	5.98875579545 %	0.0229409675905 %	0.000248481616563 %	0.0609288186391 %
