Traffic__QP_32_nF_5_SR_1_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComLoopFilter::xEdgeFilterLuma	232142363	91713001	36056409	225	875245	180	225	676669	2	232141913	90161087	36056227	0.243295736814 %	9.69232832355e-05 %	0.68516008644 %	0.188072758598 %	9.69232832355e-05 %	0.529603290803 %
TComPattern::initPattern	223066656	86748144	99140736	3924818	0	260810	10	0	0	219141828	86748144	98879926	1.02349219696 %	1.75948215228 %	0.140304250582 %	2.44525360821e-06 %	4.48296494838e-06 %	0.0 %
TEncCu::xCompressCU	222136080	106738995	75788305	23846057	21662591	1706769	397	1630	161	198289626	85074774	74081375	11.6678254899 %	10.7348869216 %	12.8032135467 %	0.000540696319 %	0.000178719278741 %	0.000981223082794 %
TVideoIOYuv::read	215794758	31120824	30808829	68	1749	1936001	66	64	1920986	215794624	31119011	26951842	0.697748531727 %	3.1511423461e-05 %	3.12895342721 %	0.691734656339 %	3.05846168886e-05 %	3.10198734684 %
TVideoIOYuv::write	215762005	31080750	30808495	51	1936105	3641	51	1929796	229	215761903	27214849	30804625	0.698645152867 %	2.36371552072e-05 %	3.13422146287 %	0.695143998091 %	2.36371552072e-05 %	3.11851437192 %
TComDataCU::setInterDirSubParts	208961236	94569657	53931911	10011540	3727704	0	305	5	0	198949391	90841948	53931911	3.84354507553 %	4.79109914913 %	2.51021187871 %	8.67223097148e-05 %	0.000145960086109 %	3.36696781545e-06 %
TEncSearch::xCopyAMVPInfo	203296104	90353824	45176912	1743491	8946868	14351925	4	39	49	201552609	81406917	30824938	7.39087965995 %	0.857611614633 %	17.1907817279 %	2.71525124751e-05 %	1.96757336776e-06 %	6.49299211361e-05 %
TEncSearch::xSetResidualQTData	202034254	77827994	40864456	514254	2220123	366951	47	25	0	201519953	75607846	40497505	0.96696906161 %	0.254538025022 %	2.17964495636 %	2.24490193994e-05 %	2.3263381862e-05 %	2.1062839296e-05 %
TComSampleAdaptiveOffset::offsetBlock	193376492	66656451	17076871	101	573172	560938	101	461917	460602	193376290	65621362	16055331	0.409300191728 %	5.22297198359e-05 %	1.35443091581 %	0.332943819882 %	5.22297198359e-05 %	1.10173462364 %
TComYuv::copyFromPicComponent	189500000	73675000	51150000	2230117	3053497	245445	34	4128	6	187269849	70617375	50904549	1.75902616718 %	1.17684274406 %	2.64285359503 %	0.00132601606617 %	1.79419525066e-05 %	0.0033118365712 %
TEncSbac::codeMergeIndex	181536141	70098399	39889587	1484500	3991664	0	50	13399	0	180051591	66093336	39889587	1.87845996019 %	0.817743503758 %	3.62918182719 %	0.00461334028795 %	2.75427249497e-05 %	0.012182239613 %
0x08073ad9	180778806	180778806	0	2835129	0	0	16	0	0	177943661	180778806	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSearch::setWpScalingDistParam	179416385	75699775	36367565	3338826	6296584	5977814	16	0	8	176077543	69403191	30389743	5.35646509938 %	1.8609370599 %	10.9526986185 %	8.23373586295e-06 %	8.91780313153e-06 %	7.1385650806e-06 %
TComDataCU::isLosslessCoded	179306078	128075770	0	28501397	459284	0	22	0	0	150804659	127616486	0	0 %	0 %	0 %	0 %	0 %	0 %
TComDataCU::xDeriveCenterIdx	177499004	73314806	50162762	3590893	1291247	334963	23	101	6	173908088	72023458	49827793	1.73339172725 %	2.02304966173 %	1.31700844642 %	4.31927306289e-05 %	1.29578191887e-05 %	8.66554158242e-05 %
TComDataCU::CUIsFromSameTile	171261846	114174564	9514547	2159561	5119313	0	28	1064	0	169102257	109054187	9514547	2.46782518492 %	1.26097029224 %	4.13885503632 %	0.000370231041495 %	1.63492340261e-05 %	0.000860221236451 %
TEncSbac::codeTransformSubdivFlag	163280096	91845054	51025030	4397020	627693	2488117	24	16	16	158883052	91217345	48536897	2.4539688332 %	2.69293080278 %	2.1808694394 %	1.8291676327e-05 %	1.4698668477e-05 %	2.23979710126e-05 %
TEncSearch::xPatternSearchFast	161991476	70050368	70050368	11780135	6059677	3893289	35	375	0	150211306	63990316	66157079	7.19419440048 %	7.27207090822 %	7.10414968841 %	0.000135720148919 %	2.16060751246e-05 %	0.000267664546744 %
isAboveLeftAvailable	160602767	55861832	55861832	15751476	5119406	7198847	47	0	415	144851244	50742426	48662570	10.3073832742 %	9.80772392296 %	11.0256435915 %	0.00016964934263 %	2.92647510861e-05 %	0.000371452192975 %
TComDataCU::getCtxSkipFlag	156362677	38302400	76562484	5402498	78641	3662276	24	0	8	150960155	38223759	72900200	3.37112311385 %	3.45510712892 %	3.25679778687 %	1.17982110233e-05 %	1.53489313821e-05 %	6.96470472212e-06 %
TComTrQuant::xITransformSkip	152899323	51759693	27367194	4587022	0	212723	131	0	0	148312170	51759693	27154471	2.06862190267 %	3.0000276718 %	0.268837822471 %	5.64591388188e-05 %	8.5677292371e-05 %	0.0 %
TComPrediction::predIntraGetPredValDC	142924020	39998928	7580664	2913643	247283	2233542	74	0	99	140010303	39751645	5347023	2.83168804169 %	2.03859575178 %	5.21405269722 %	9.08119264426e-05 %	5.17757616949e-05 %	0.000208072402134 %
TEncSearch::estIntraPredChromaQT	141292990	61649402	58080319	6344198	4654678	1414276	520	18	16	134948272	56994706	56666027	4.75558312625 %	4.49010103049 %	5.06887842827 %	0.000212242068086 %	0.000368029581652 %	2.83972932669e-05 %
TComDataCU::setMergeFlagSubParts	138929346	61503538	34289137	6965478	4869283	46	272	212051	0	131963596	56422204	34289091	5.0420522751 %	5.01368371805 %	5.08319555749 %	0.0904572136417 %	0.000195782970144 %	0.221364525002 %
TComYuv::copyToPartYuv	137605094	31072118	44388740	1325973	191860	28577	11	1	0	136279110	30880257	44360163	0.725789355589 %	0.963607495519 %	0.292120982775 %	5.63205894107e-06 %	7.99389010991e-06 %	1.32519033908e-06 %
TEncSbac::codePartSize	135743422	68714210	33140916	10886859	7515699	324412	240	17862	2	124856323	61180649	32816502	7.88176954684 %	8.02017426671 %	7.69731608795 %	0.0076195751836 %	0.00017680414746 %	0.0175386361998 %
TComDataCU::getQtRootCbf	134330895	87210596	7030002	2613053	949501	0	23	9870	0	131717819	86251225	7030002	1.55861693566 %	1.94523605311 %	1.0075286237 %	0.00432818627999 %	1.71218988752e-05 %	0.0104731933047 %
TComDataCU::setMergeIndexSubParts	131192987	59572557	33073756	7912285	2315157	0	341	5	0	123280361	57257395	33073756	4.5691002429 %	6.03102740545 %	2.49891973575 %	0.000154575179604 %	0.000259922430152 %	5.39686884248e-06 %
TComDataCU::getMvField	130523382	76778460	23033538	1777986	12645560	145080	5	13362	0	128745391	64119538	22888458	6.32496232233 %	1.36219731113 %	12.8147319524 %	0.00580327694339 %	3.83073126315e-06 %	0.0133871681439 %
TEncCu::xCheckRDCostInter	130343136	53860800	70019040	10727802	15492408	1174468	66	0	0	119615268	38368392	68844572	10.7758466332 %	8.23043109842 %	13.4540664567 %	2.59614614849e-05 %	5.06355777722e-05 %	0.0 %
TComTrQuant::invRdpcmNxN	126568791	65628262	28126398	13334490	1455259	152642	33	0	0	113234268	64173003	27973756	6.7820247605 %	10.5353696552 %	1.71500915261 %	1.49779788989e-05 %	2.60727780832e-05 %	0.0 %
TComPatternParam::setPatternParamPel	123925920	74355552	49570368	1876619	0	50000	5	0	0	122049296	74355552	49520368	0.777326890129 %	1.51430709572 %	0.0403466845354 %	2.01733422677e-06 %	4.03466845354e-06 %	0.0 %
TComDataCU::setIntraDirSubParts	122343500	63618620	34256180	6530968	2106560	2664754	41	0	0	115812491	61512060	31591426	5.13230825958 %	5.33822230033 %	4.87491570864 %	1.86178896123e-05 %	3.35122013021e-05 %	0.0 %
TEncEntropy::xEncodeTransform	120316815	45988542	34181266	6848452	802820	851310	427	37905	2	113467936	45147817	33329954	4.24097222686 %	5.69201570038 %	2.06328297556 %	0.019120477679 %	0.000354896362574 %	0.0472833862843 %
TEncEntropy::encodeTransformSubdivFlag	114630840	66867990	38210280	1608055	50533	1935843	8	0	7	113022777	66817457	36274430	1.6359954305 %	1.40281184365 %	1.89037752525 %	6.82720894004e-06 %	6.97892469426e-06 %	6.66170084452e-06 %
TComDataCU::setSkipFlagSubParts	114367800	57183900	33357275	2275873	872168	813386	22	29582	1	112091905	56282150	32543888	1.93326183004 %	1.98995958653 %	1.86164361132 %	0.0144478786251 %	1.92361836111e-05 %	0.0326735322355 %
TComPrediction::xDCPredFiltering	113327564	38874004	12476124	2530183	0	0	83	0	0	110797298	38874004	12476124	1.53644550714 %	2.23262806567 %	0.0 %	5.04014836448e-05 %	7.32390224147e-05 %	0.0 %
TEncSearch::xAddSymbolBitsInter	111508905	46061693	55884430	9086280	4523232	18099	49	127	0	102422576	41538334	55866331	6.38430077178 %	8.14847926271 %	4.45463826025 %	8.24529652213e-05 %	4.39426788381e-05 %	0.000124575605489 %
TComDataCU::isDiffMER	111161370	58652932	7199714	1758759	1751373	0	5	71	0	109402606	56901488	7199714	1.98296839952 %	1.5821674382 %	2.65953322513 %	4.29344532808e-05 %	4.49796543529e-06 %	0.000107816472553 %
TEncSbac::codeSkipFlag	108643362	41540109	47930895	3478145	3153596	1728777	16	9	0	105165201	38386504	46202118	4.22004631406 %	3.20143351234 %	5.45693328757 %	1.26189738305e-05 %	1.47270847528e-05 %	1.00591248535e-05 %
TEncEntropy::encodePUWise	104606328	33892653	45503672	5185220	2778170	0	67	26	0	99421041	31114457	45503672	4.32786694657 %	4.95688941495 %	3.49911661528 %	5.05427495113e-05 %	6.4049662464e-05 %	3.27471076275e-05 %
TEncSearch::xGetBlkBits	100414376	48427392	41055232	7131485	4387936	2761829	20	292	11	93282871	44039164	38293392	7.52052428422 %	7.10205578532 %	7.99011548879 %	0.000170092207881 %	1.99174667978e-05 %	0.000338613226183 %
TComDataCU::setCbfSubParts	98600000	44200000	28900000	683054	2810972	0	16	38	0	97916930	41388990	28900000	2.03495981363 %	0.692752535497 %	3.84537893297 %	3.14502038439e-05 %	1.62271805274e-05 %	5.19835841313e-05 %
TEncSearch::xRestrictBipredMergeCand	95783676	17939456	29259048	2878441	0	0	34	0	0	92905201	17939456	29259048	2.01314667324 %	3.00514776652 %	0.0 %	2.37791870288e-05 %	3.54966539392e-05 %	0.0 %
TComDataCU::isBipredRestriction	93145616	26111512	35400376	3598633	0	34	14	0	0	89546969	26111512	35400342	2.32686219997 %	3.86344860288 %	5.52738683618e-05 %	9.05226040632e-06 %	1.50302296568e-05 %	0.0 %
TEncCu::xCheckBestMode	92318225	48527881	20553261	3371776	5567706	0	19	500	0	88946430	42959675	20553261	5.53873423803 %	3.65234058605 %	8.05966120247 %	0.000321562599437 %	2.05809849572e-05 %	0.00072378652918 %
TComDataCU::setPartSizeSubParts	81727800	40863900	23837275	2699520	42932	239817	12	0	4	79028268	40820968	23597454	2.03666589895 %	3.30306211595 %	0.43700751957 %	1.0926799153e-05 %	1.46828863618e-05 %	6.18226794181e-06 %
TComDataCU::getNumPartitions	80077106	37683344	9420836	2291544	4696710	21329	8	126	0	77785554	32986508	9399507	5.51148932399 %	2.86167184913 %	10.0161790312 %	0.000105361412999 %	9.99037103064e-06 %	0.000267492184345 %
TComDataCU::getPartPosition	74156450	36829772	16329888	6258489	1845430	909319	199	6	14	67897762	34984336	15420555	7.07941673681 %	8.43957470995 %	5.1820290047 %	0.000172012795553 %	0.000268351572925 %	3.76225130108e-05 %
TComDataCU::setTransformSkipSubParts	73968676	33158372	21680474	1280327	1420056	22206	24	4	0	72688325	31738312	21658268	2.11368789472 %	1.73090430874 %	2.6300006386 %	2.17378609302e-05 %	3.24461668071e-05 %	7.29409951479e-06 %
TComDataCU::setPredModeSubParts	73567800	36783900	21457275	1990315	222349	0	25	1	0	71577460	36561550	21457275	1.67868993746 %	2.70541595644 %	0.381772860867 %	1.97255156563e-05 %	3.39822585425e-05 %	1.71699832636e-06 %
TComDataCU::setChromaQpAdjSubParts	73567800	36783900	21457275	1823121	45676	0	25	0	0	71744654	36738224	21457275	1.41780709546 %	2.47815076705 %	0.0784256155546 %	1.89668419772e-05 %	3.39822585425e-05 %	0.0 %
TEncEntropy::encodeMergeIndex	71500900	35750450	22645315	1478400	26936	0	21	0	0	70022479	35723514	22645315	1.15887193871 %	2.06766628112 %	0.0461266326419 %	1.61666968124e-05 %	2.93702596751e-05 %	0.0 %
TEncSearch::xSetIntraResultChromaQT	71333592	32365659	23106836	1067158	477915	16693	120	0	0	70266314	31887744	23090143	1.23161753268 %	1.49601046306 %	0.891627463304 %	9.46326811583e-05 %	0.000168223689058 %	0.0 %
TComDataCU::setCbfSubParts	70690125	36758865	19793235	2297633	1219879	0	18	0	0	68392474	35538986	19793235	2.76442195191 %	3.25028849503 %	2.15708877301 %	1.41462474426e-05 %	2.54632453967e-05 %	0.0 %
TComLoopFilter::xEdgeFilterChroma	69827734	28911784	9854956	150	299283	49	150	176949	0	69827434	28435552	9854907	0.275780146971 %	0.000214814360151 %	0.772136114618 %	0.163082883941 %	0.000214814360151 %	0.456445396234 %
TEncEntropy::encodeSkipFlag	68742253	36192323	16125965	3859903	5098242	17122	23	4	0	64882327	31094077	16108843	7.41386658763 %	5.61503708643 %	9.77739179845 %	2.23028905843e-05 %	3.34583156592e-05 %	7.64551011302e-06 %
TComYuv::copyToPicYuv	68000000	19550000	24650000	960000	865314	74484	27	758	0	67039973	18683928	24575516	1.69322459893 %	1.41176470588 %	2.126239819 %	0.000699643493761 %	3.97058823529e-05 %	0.0017149321267 %
TEncSearch::xSetResidualQTData	66219170	25249779	17278090	1837900	1383339	562129	79	72	1	64381191	23866368	16715960	3.4790538067 %	2.77548027256 %	4.57457202946 %	0.000139773920649 %	0.000119300800659 %	0.000171652146502 %
TComLoopFilter::xSetEdgefilterMultiple	66009094	33764054	9294432	80	38214	59404	80	0	81	66008934	33725840	9234947	0.089575655754 %	0.000121195421952 %	0.226710247081 %	0.00014761490078 %	0.000121195421952 %	0.000188116228703 %
TComDataCU::deriveLeftBottomIdxGeneral	65307380	36377092	9072160	5465479	3360210	0	40	828	0	59841861	33016054	9072160	7.96854223592 %	8.36885356601 %	7.39332299682 %	0.000783700248307 %	6.12488205774e-05 %	0.00182181216096 %
TEncBinCABACCounter::encodeBinEP	65244606	32622303	32622303	2962756	0	0	11	0	0	62281839	32622303	32622303	2.27049880568 %	4.54099761136 %	0.0 %	8.42981563871e-06 %	1.68596312774e-05 %	0.0 %
TEncCu::xCheckDQP	64371825	36783900	15326625	5057664	2488629	511693	20	2	0	59314141	34295269	14814932	6.9177742379 %	7.85695294486 %	5.75761230577 %	1.88869815899e-05 %	3.10694935245e-05 %	3.83799625891e-06 %
TComDataCU::deriveLeftRightTopIdxGeneral	63466668	34557404	9072160	5400498	5070470	0	40	43	0	58066130	29486891	9072160	9.77715817303 %	8.50918784645 %	11.6216380251 %	7.75003923574e-05 %	6.302520876e-05 %	9.8557024315e-05 %
TEncSbac::codeCrossComponentPrediction	63400650	33078600	13782750	2078282	6148	2631	42	1	0	61322326	33072451	13780119	1.89281982913 %	3.27801371122 %	0.0187339886708 %	3.89980228909e-05 %	6.62453776105e-05 %	2.13395474095e-06 %
TEncEntropy::encodePartSize	62261404	32769160	19661496	6417748	598516	41718	19	1	2	55843637	32170643	19619776	6.15385406801 %	10.3077469952 %	1.22110621694 %	1.91817986354e-05 %	3.05164978291e-05 %	5.72184334295e-06 %
TEncSearch::xSetIntraResultQT	61902118	28267351	19681575	4070816	1219211	1698675	120	0	0	57831182	27048140	17982900	6.36198050152 %	6.57621440352 %	6.08540429039 %	0.000109238834362 %	0.00019385443322 %	0.0 %
TEncSampleAdaptiveOffset::deriveOffsets	59487277	16753581	12128909	140	303238	73921	140	266774	74	59486997	16183569	12054914	0.426954843052 %	0.000235344441804 %	1.30583962809 %	0.302125952194 %	0.000235344441804 %	0.923909261286 %
TComDataCU::isSkipped	56176725	56176725	0	1820087	9118679	0	10	34885	0	54356628	47023161	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::encodeBin	55067311	20364022	14553937	25	110719	5358	25	94	4	55067261	20253209	14548575	0.129023339042 %	4.53989845264e-05 %	0.33242779167 %	0.000136689038106 %	4.53989845264e-05 %	0.000280657870066 %
TEncEntropy::encodeCoeff	52451882	22914913	19910567	2933390	118229	0	101	4	0	49518391	22796680	19910567	3.20287939962 %	5.5925352688 %	0.276071628386 %	0.000110204562549 %	0.000192557437691 %	9.34023389814e-06 %
TEncSearch::xSetIntraResultChromaQT	51688034	20719921	20192298	1737056	773227	1409	89	0	0	49950889	19946694	20190889	2.71240295639 %	3.36065403455 %	1.89340988813 %	9.61120484196e-05 %	0.000172186854698 %	0.0 %
TComLoopFilter::xGetBoundaryStrengthSingle	51089902	21515081	11299785	85	657488	18	85	426920	0	51089732	20430673	11299767	0.783734960092 %	0.000166373386271 %	2.0036833306 %	0.508916251339 %	0.000166373386271 %	1.30099571335 %
TComLoopFilter::xDeblockCU	45179230	12349591	7060360	17	113925	309	17	38275	0	45179196	12197391	7060051	0.176888757887 %	3.76279099932e-05 %	0.588533170434 %	0.0592854707354 %	3.76279099932e-05 %	0.197192666792 %
TComCUMvField::copyTo	45050000	22950000	15300000	960000	496469	247765	46	174	1	44089954	22453357	15052234	2.04589915966 %	2.13096559378 %	1.94570980392 %	0.000265306122449 %	0.000102108768036 %	0.000457516339869 %
TComDataCU::setCUTransquantBypassSubParts	43598424	21799212	12716207	741655	121	0	4	0	0	42856765	21799091	12716207	0.949608893266 %	1.70110506747 %	0.000350567959207 %	5.12073128959e-06 %	9.17464356051e-06 %	0.0 %
TEncSbac::codeIntraDirChroma	42880938	19833077	15490750	1890728	1415528	1429520	147	7377	0	40990063	18410172	14061230	6.05561055007 %	4.40925056257 %	8.05418959843 %	0.00962089714099 %	0.000342809665218 %	0.0208839206465 %
TComDataCU::setQPSubParts	40461312	20230656	11801216	3185236	867974	171508	11	0	1	37276065	19362682	11629707	5.8277451298 %	7.8723003347 %	3.24514908151 %	1.65532803746e-05 %	2.71864639486e-05 %	3.12189059697e-06 %
TComCUMvField::compress	39140000	19460000	13680000	20	128627	340134	20	118302	334695	39139960	19213071	13005171	0.648562534588 %	5.10986203373e-05 %	1.41448702474 %	0.626752905368 %	5.10986203373e-05 %	1.36691913096 %
TEncCu::xCheckRDCostIntra	38760808	16807784	20066436	3415128	2375323	490289	280	3	4	35345400	14432458	19576143	8.3040096184 %	8.81077608083 %	7.77131556952 %	0.000379453816028 %	0.000722379161962 %	1.89834523957e-05 %
TComCUMvField::copyFrom	37800000	17640000	15120000	320000	525551	36074	7	2	0	37479993	17114447	15083926	1.24946853741 %	0.846560846561 %	1.71436202686 %	1.27551020408e-05 %	1.85185185185e-05 %	6.10500610501e-06 %
TEncEntropy::encodePredInfo	36142043	15694214	14034091	2903050	2	8021	50	0	0	33238943	15694212	14026070	4.41939823971 %	8.0323350841 %	0.0269877478719 %	7.5906688697e-05 %	0.000138343037221 %	0.0 %
TEncSbac::codeMvd	35400770	13889748	9044161	2920822	1115239	0	113	3796	0	32479835	12770713	9044161	6.91880210741 %	8.25073013949 %	4.86283869008 %	0.00670098827492 %	0.000319202096452 %	0.0165519100996 %
TComTURecurse::TComTURecurse	35131608	13662292	15614048	3122239	251840	343017	15	0	5	32009354	13410452	15271026	5.77117594245 %	8.88726471046 %	2.03186942084 %	3.10520682944e-05 %	4.26965939048e-05 %	1.70786375619e-05 %
_int_malloc	34963009	5769131	6855304	1021	55575	275181	473	815	233840	34961515	5712741	6346283	0.697194411198 %	0.00292022920567 %	2.61996675495 %	0.494096720135 %	0.00135285838813 %	1.85873664841 %
TComOutputBitstream::write	34921659	8861201	6776476	44	4501	28290	44	9	8737	34921571	8856691	6739449	0.0649434953022 %	0.000125996305044 %	0.209692270789 %	0.0173855131325 %	0.000125996305044 %	0.0559290232175 %
TEncSbac::codeMergeFlag	33131759	21438197	9744635	2387881	126641	0	44	6068	0	30743834	21305488	9744635	3.90972244541 %	7.20722675787 %	0.406124113422 %	0.00950328674251 %	0.000132803090835 %	0.0194594256224 %
TEncCu::xCopyYuv2Pic	32725000	13175000	9775000	1600000	1938480	0	49	13	0	31124951	11236507	9775000	6.35559946116 %	4.88922841864 %	8.44653594771 %	0.000111360574764 %	0.000149732620321 %	5.66448801743e-05 %
TEncEntropy::encodePredMode	32022204	17581743	7548513	3111924	131278	0	16	0	0	28910264	17450465	7548513	5.67464987509 %	9.71801940928 %	0.522390221572 %	2.79952953906e-05 %	4.99653303064e-05 %	0.0 %
TComYuv::copyFromPicYuv	28900000	7225000	9775000	531982	382312	343801	11	499	4	28368007	6842189	9431195	2.74094771242 %	1.84076816609 %	4.27125294118 %	0.00111982570806 %	3.8062283737e-05 %	0.00295882352941 %
_int_free	28573030	8445945	5521106	730	223670	17107	208	220436	16884	28572092	8001839	5487115	0.567716361424 %	0.00255485680028 %	1.72389289622 %	0.558362829634 %	0.000727959197887 %	1.69914178734 %
TEncSbac::codePredMode	27912463	16159847	7345385	2758213	1980350	0	28	4906	0	25154222	14174591	7345385	9.21582151825 %	9.88165394075 %	8.42514551654 %	0.00959591829233 %	0.000100313612597 %	0.0208719488495 %
TComDataCU::setDepthSubParts	26930400	12926592	8617728	2154432	79846	55597	24	1	0	24775944	12846745	8562131	4.7238540006 %	8.0 %	0.628671501352 %	5.15732736569e-05 %	8.91186168791e-05 %	4.64159462912e-06 %
TComLoopFilter::xDeblockCU	25543128	5206537	1230820	88	75575	0	88	31218	0	25542952	5099744	1230820	0.236591158639 %	0.00034451536241 %	1.17400666143 %	0.0978909481829 %	0.00034451536241 %	0.48495057832 %
TEncSbac::codeQtRootCbf	24972894	10857780	10857780	1082603	596117	200	39	12	0	23890252	10261651	10857580	3.59600684143 %	4.33511230216 %	2.7460355616 %	0.000109234715718 %	0.000156169325029 %	5.52599150103e-05 %
TEncEntropy::encodeMergeFlag	23387124	13642489	7795708	0	3	0	0	0	0	23387124	13642486	7795708	6.692645882e-06 %	0.0 %	1.39937141169e-05 %	0.0 %	0.0 %	0.0 %
TEncEntropy::encodeRefFrmIdxPU	23143880	13795948	5973850	734764	7607	312575	22	326	0	22409094	13788015	5661275	2.45829779494 %	3.17476585603 %	1.61955119622 %	0.000810930258646 %	9.50575270871e-05 %	0.00164897992382 %
TEncEntropy::encodeMvdPU	22215700	13308840	6731595	834616	0	99187	15	0	0	21381069	13308840	6632408	2.20986372748 %	3.75687464271 %	0.494934366445 %	3.54978040467e-05 %	6.75198170663e-05 %	0.0 %
TEncSbac::codeInterDir	21230064	9611830	7217376	1251802	945427	0	41	5357	0	19978221	8661046	7217376	5.77317694217 %	5.89636470243 %	5.61777543159 %	0.01418314119 %	0.00019312235705 %	0.0318315670983 %
TComCUMvField::create	21111968	130208	5272992	16	4992	626616	16	0	625298	21111936	125216	4021078	2.382123319 %	7.57863975542e-05 %	11.6895173231 %	2.35832561951 %	7.57863975542e-05 %	11.5727346757 %
TEncEntropy::encodeCrossComponentPrediction	21000240	12250140	7000080	900378	223	242	30	0	0	20099832	12249917	6999838	2.23809367644 %	4.28746528611 %	0.00241555680922 %	7.45333096814e-05 %	0.000142855510223 %	0.0 %
TEncEntropy::encodeIPCMInfo	20749600	11671650	5187400	1252227	287108	0	21	0	0	19497352	11384542	5187400	4.09303444819 %	6.03494525196 %	1.70299038202 %	5.58382180695e-05 %	0.000101206770251 %	0.0 %
TEncSbac::codeSplitFlag	20486400	8754560	5492160	1275014	829582	5162	32	18066	0	19211354	7906912	5486998	6.07419661695 %	6.22370938769 %	5.8592012758 %	0.052105886255 %	0.000156201187129 %	0.126808135487 %
TEncCu::xEncodeCU	18274234	8372976	6097604	14410	136762	3780	96	10232	0	18259728	8225982	6093824	0.473210811336 %	0.078854194381 %	0.971225755982 %	0.0315408723959 %	0.000525329816834 %	0.0707089833303 %
TComDataCU::getAllowedChromaDir	17383205	7910082	4936569	1760270	664224	137985	33	0	1	15622902	7245858	4798583	8.47664970683 %	10.1262684298 %	6.24449905271 %	0.000112471590999 %	0.000189838410121 %	7.78412988724e-06 %
TEncSearch::xTZ2PointSearch	17034046	8998953	4109895	1831041	478429	0	268	26	0	15202737	8520498	4109895	7.66173944678 %	10.749301722 %	3.64966471501 %	0.000975354257624 %	0.00157331969163 %	0.000198339320129 %
TEncSampleAdaptiveOffset::getDistortion	16683678	5224139	2453829	118	22079	0	118	12823	0	16683442	5189237	2453829	0.0911145330656 %	0.000707278095394 %	0.287563063561 %	0.0531203843944 %	0.000707278095394 %	0.167010333984 %
TEncSbac::codeQtRootCbfZero	16658180	9086280	6057520	2842294	11907	938380	41	0	0	13815845	9074373	5119140	11.9256128078 %	17.0624522007 %	6.27508947556 %	0.000128922790342 %	0.000246125327017 %	0.0 %
TEncEntropy::encodeMVPIdxPU	16052928	10667652	4970803	417249	417745	0	8	5	0	15635671	10249902	4970803	2.6347666809 %	2.59920806971 %	2.67126771794 %	4.10206143418e-05 %	4.98351453392e-05 %	3.19724678685e-05 %
TEncEntropy::encodeQtRootCbfZero	15143800	9086280	4543140	0	13129	0	0	0	0	15143800	9073151	4543140	0.0456292344062 %	0.0 %	0.0963283837463 %	0.0 %	0.0 %	0.0 %
TComDataCU::getCtxSplitFlag	14462040	4991840	5295680	565349	695119	175551	83	14838	2	13896608	4281883	5120127	5.80220011992 %	3.90919261736 %	8.4633614321 %	0.0602960214242 %	0.000573916266308 %	0.144252453458 %
TComCUMvField::copyTo	14450000	5100000	6800000	527114	576961	86926	31	242	0	13922855	4522797	6713074	4.51992789374 %	3.64784775087 %	5.57888235294 %	0.00103605313093 %	0.000214532871972 %	0.00203361344538 %
TEncCu::xCopyYuv2Tmp	14280000	6720000	5460000	320000	1156112	0	17	0	0	13959983	5563888	5460000	5.57865457294 %	2.24089635854 %	9.49188834154 %	6.42479213908e-05 %	0.000119047619048 %	0.0 %
TEncSearch::xSetIntraResultQT	13942914	6228385	4596553	103180	378371	88545	62	0	0	13839672	5850014	4508008	2.30175794009 %	0.740017474109 %	4.31333648285 %	0.000250324493218 %	0.00044467031784 %	0.0 %
TComPicYuv::extendPicBorder	13338060	3785271	3612243	135	58030	187339	135	37037	146091	13337790	3690204	3278813	1.18397494084 %	0.00101214119595 %	3.3169116003 %	0.883809630734 %	0.00101214119595 %	2.47553434843 %
TEncCu::xComputeQP	13175000	5525000	2125000	1690010	1303847	0	31	4	0	11484959	4221149	2125000	14.3762641056 %	12.8274003795 %	17.043751634 %	0.000168067226891 %	0.000235294117647 %	5.22875816993e-05 %
TEncSbac::codeRefFrmIdx	13089437	5974714	3171975	696679	388618	0	32	4590	0	12392726	5581506	3171975	4.88078274066 %	5.32245198934 %	4.24872869297 %	0.0207859948266 %	0.000244471935653 %	0.0501820932143 %
TEncEntropy::encodeIntraDirModeChroma	13011528	7590058	4337176	378809	250849	0	23	0	0	12632696	7339209	4337176	2.52481658873 %	2.91133370347 %	2.10316155447 %	9.22259092091e-05 %	0.000176766325984 %	0.0 %
TEncEntropy::encodeSplitFlag	12397120	6524800	3914880	17	365601	5000	12	5	0	12397091	6159194	3909880	1.62289812934 %	0.000137128623422 %	3.54992681768 %	7.44412527149e-05 %	9.67966753569e-05 %	4.78941883276e-05 %
TEncSbac::xWriteUnaryMaxSymbol	12095262	5581708	3261461	850033	0	0	26	0	0	11245203	5581708	3261461	4.05967858814 %	7.02781800014 %	0.0 %	0.000124173583016 %	0.000214960205079 %	0.0 %
