BQMall__QP_32_nF_5_SR_32_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComSampleAdaptiveOffset::offsetBlock	4252731	1433878	349132	77	14489	14163	77	5	13	4252577	1419384	334956	0.475981325242 %	0.00181060123483 %	1.60694555835 %	0.00157395753065 %	0.00181060123483 %	0.00100952883046 %
TComDataCU::getCtxSkipFlag	4121142	1010498	2015478	147523	3852	91195	3	0	4	3973616	1006646	1924279	3.3939554377 %	3.5796631128 %	3.14103614834 %	9.79415758911e-05 %	7.27953562386e-05 %	0.000132188754967 %
TEncSearch::xPatternSearchFast	3989414	1725152	1725152	264930	152045	107822	6	0	0	3724478	1573107	1617330	7.05399048727 %	6.64082494321 %	7.5317131476 %	8.06482181179e-05 %	0.000150398028382 %	0.0 %
TEncEntropy::xEncodeTransform	3890082	1472598	1127892	220371	65972	35604	45	28	6	3669666	1406598	1092282	4.96022538537 %	5.66494485206 %	3.90603309376 %	0.00121715004471 %	0.0011567879546 %	0.00130744590443 %
TComDataCU::CUIsFromSameTile	3855204	2570136	214178	48964	132627	0	4	2	0	3806236	2437507	214178	2.73500275171 %	1.27007546164 %	4.76336361488 %	9.03680056293e-05 %	0.000103755858315 %	7.18309788336e-05 %
TComPrediction::predIntraGetPredValDC	3808155	1070980	204810	76889	21897	67725	7	0	19	3731259	1049083	137066	3.27523212781 %	2.01906172412 %	7.02482383464 %	0.000511413872495 %	0.000183816047404 %	0.00148927331301 %
TEncSearch::estIntraPredChromaQT	3668083	1600708	1508617	176744	268770	68913	73	5	25	3491266	1331933	1439679	7.59032066536 %	4.81842968112 %	10.8603314224 %	0.001519755045 %	0.00199014035397 %	0.000964839635612 %
TEncSbac::codePartSize	3598300	1820145	879399	283100	249120	10928	24	7	2	3315176	1571018	868469	8.62434826903 %	7.8676041464 %	9.63303431987 %	0.000523988844436 %	0.000666981630214 %	0.000333389639139 %
TComDataCU::setMergeFlagSubParts	3514253	1551126	870051	166796	157478	16	22	1	0	3347435	1393647	870035	5.46363111013 %	4.74627182505 %	6.50485280506 %	0.000387503517016 %	0.000626022087767 %	4.13022261487e-05 %
TComDataCU::getQtRootCbf	3432898	2227346	183758	66562	186006	0	2	22	0	3366334	2041318	183758	4.32183288096 %	1.93894487981 %	7.71455731482 %	0.000410677477523 %	5.82598143027e-05 %	0.000912445087396 %
TComYuv::copyToPartYuv	3364492	759724	1085320	32117	12843	2349	4	0	0	3332371	746881	1082971	0.908123103478 %	0.954586903461 %	0.823394997626 %	7.67822700525e-05 %	0.00011888867621 %	0.0 %
TComDataCU::getMvField	3330436	1959080	587724	43954	352808	5751	1	21	0	3286481	1606251	581973	6.84867386733 %	1.3197671416 %	14.0787826625 %	0.000374325363606 %	3.0026098685e-05 %	0.000824562863887 %
TComDataCU::setMergeIndexSubParts	3262542	1478657	823206	196598	78873	0	24	1	0	3065920	1399783	823206	4.95059220168 %	6.02591476217 %	3.42648541638 %	0.000449284334983 %	0.000735622713823 %	4.34430719813e-05 %
TEncCu::xCheckRDCostInter	3222956	1331800	1731340	264840	411570	30002	21	1	0	2958095	920229	1701338	11.237690293 %	8.21730113598 %	14.4156649712 %	0.000349978746745 %	0.000651575758403 %	3.26462388268e-05 %
TComDataCU::setIntraDirSubParts	3177075	1652079	889581	173691	294211	88953	4	0	0	3003380	1357868	800628	9.73738073193 %	5.46700974953 %	15.0753444599 %	6.9945538655e-05 %	0.000125901969579 %	0.0 %
TComPatternParam::setPatternParamPel	3064880	1838928	1225952	45577	0	4616	1	0	0	3019302	1838928	1221336	0.818841194435 %	1.48707290334 %	0.150609485526 %	1.63138524184e-05 %	3.26277048367e-05 %	0.0 %
TEncEntropy::encodeTransformSubdivFlag	3001368	1750798	1000456	39072	34465	52370	2	0	1	2962294	1716333	948085	2.18868891438 %	1.30180637629 %	3.15619713774 %	5.2150132583e-05 %	6.66362805227e-05 %	3.63470621033e-05 %
TEncSbac::codeSkipFlag	2878712	1100684	1270020	95519	82797	45595	2	4	0	2783191	1017883	1224425	4.26544590865 %	3.3181158796 %	5.41577522964 %	0.000114298428625 %	6.94755154388e-05 %	0.00016872625178 %
TEncSearch::xAddSymbolBitsInter	2868756	1181034	1441514	232254	184500	2338	9	0	0	2636493	996534	1439176	7.63192130685 %	8.09598306722 %	7.12429286328 %	0.000163895497317 %	0.00031372483404 %	0.0 %
TComPrediction::xDCPredFiltering	2846966	982711	317597	66749	0	0	12	0	0	2780205	982711	317597	1.60946684497 %	2.34456611003 %	0.0 %	0.000289346688934 %	0.000421501345643 %	0.0 %
TComDataCU::setSkipFlagSubParts	2834136	1417068	826623	58084	25217	53076	4	0	5	2776048	1391851	773542	2.68573545337 %	2.04944293428 %	3.48947337222 %	0.000177241170288 %	0.000141136487452 %	0.00022284708545 %
TEncEntropy::encodePUWise	2785350	900228	1212876	135803	78311	0	5	6	0	2649542	821911	1212876	4.37105258108 %	4.87561706787 %	3.70596998539 %	0.000224560647094 %	0.000179510653957 %	0.00028394248461 %
TEncSearch::xSetResidualQTData	2700630	1033154	717413	77406	120017	25272	6	0	8	2623218	913137	692133	5.00303626193 %	2.8662201042 %	8.29953952062 %	0.000314522138652 %	0.000222170382466 %	0.000456994790831 %
TComDataCU::isDiffMER	2657967	1402268	172093	43345	48585	0	1	0	0	2614621	1353683	172093	2.17209063192 %	1.63075764297 %	3.08601394471 %	2.36276583478e-05 %	3.76227394847e-05 %	0.0 %
TEncSearch::xGetBlkBits	2498648	1206688	1022688	176847	109860	79406	11	6	4	2321790	1096822	943278	7.74346746125 %	7.07770762428 %	8.48964015043 %	0.000444160181928 %	0.000440238080754 %	0.000448556008497 %
TEncSbac::codeCrossComponentPrediction	2487634	1297896	540790	77621	8502	3341	5	0	0	2410008	1289394	537449	2.06790066384 %	3.12027412393 %	0.644101276673 %	0.000115571663677 %	0.0002009941977 %	0.0 %
TComLoopFilter::xSetEdgefilterMultiple	2453390	1215324	351976	80	3791	4626	32	0	48	2453278	1211533	347302	0.211331885821 %	0.00326079424796 %	0.537038218592 %	0.00198970823416 %	0.00130431769918 %	0.00306259171824 %
TEncSearch::xSetIntraResultChromaQT	2414617	1090160	793357	30905	44795	1320	21	0	0	2383691	1045365	792037	1.79194040949 %	1.27991312908 %	2.44834530296 %	0.000488584115805 %	0.000869703145468 %	0.0 %
TComDataCU::setCbfSubParts	2388440	1070680	700060	16556	207812	0	2	3	0	2371882	862865	700060	5.39452488231 %	0.693172112341 %	11.7358844325 %	0.000120216004116 %	8.37366649361e-05 %	0.000169420694173 %
TEncSearch::xRestrictBipredMergeCand	2355874	444160	721836	71583	0	1	6	0	0	2284285	444160	721835	2.03255656796 %	3.03849017392 %	8.57635875252e-05 %	0.000170364039559 %	0.000254682550934 %	0.0 %
TEncCu::xCheckBestMode	2346825	1234703	526781	86366	181798	0	4	7	0	2260455	1052898	526781	6.52735711944 %	3.68012101456 %	10.3207295667 %	0.000267750064564 %	0.000170443045391 %	0.000397392198851 %
TComDataCU::isBipredRestriction	2306096	646072	877976	89538	0	24	2	0	0	2216556	646072	877952	2.33834550346 %	3.88266576933 %	0.00157475355107 %	5.22173578852e-05 %	8.67266583872e-05 %	0.0 %
TComTrQuant::setErrScaleCoeff	2261520	267840	253440	25	16940	61875	14	39	49267	2261481	250861	142298	2.83311772316 %	0.00110545120096 %	15.1195135052 %	1.7723156533 %	0.000619052672539 %	9.4586402701 %
TEncSampleAdaptiveOffset::deriveOffsets	2254652	621179	449471	140	11215	4182	70	4	0	2254442	609960	445289	0.467235757835 %	0.00620938397589 %	1.43809835147 %	0.00222536178669 %	0.00310469198794 %	0.000373604819502 %
TEncBinCABAC::encodeBin	2131782	785748	566767	25	15198	814	13	45	0	2131744	770505	565953	0.460265011852 %	0.00117272779299 %	1.18386857077 %	0.00166461125444 %	0.000609818452356 %	0.00332713500405 %
TComDataCU::setPartSizeSubParts	2043480	1021740	596015	67787	1329	8236	4	0	4	1975689	1020411	587775	2.11272972098 %	3.31723334704 %	0.591251456494 %	0.00021850550429 %	0.00019574451426 %	0.000247256228539 %
TEncBinCABACCounter::encodeBinEP	2036658	1018329	1018329	84133	0	0	3	0	0	1952522	1018329	1018329	2.06546705436 %	4.13093410872 %	0.0 %	7.36500679054e-05 %	0.000147300135811 %	0.0 %
TComPicYuv::extendPicBorder	2028300	578391	552243	135	8822	29057	30	805	2805	2028135	568764	520381	1.2033806341 %	0.00665582014495 %	3.35024419927 %	0.115228744887 %	0.00147907114332 %	0.319289885144 %
TComDataCU::getNumPartitions	2009978	945872	236468	59018	149082	265	2	1	0	1950958	796789	236203	6.52707531017 %	2.93625104354 %	12.6314765634 %	9.39756001752e-05 %	9.95035766561e-05 %	8.45780401577e-05 %
_int_malloc	1938576	333701	373202	879	4350	13744	247	32	10505	1937450	329319	348953	0.717185810207 %	0.045342560725 %	2.5596156757 %	0.407638843476 %	0.012741311148 %	1.49058640294 %
TComLoopFilter::xEdgeFilterChroma	1916590	783350	282214	120	11670	0	84	0	0	1916386	771680	282214	0.39535181617 %	0.00626112001002 %	1.09519465748 %	0.00281675594218 %	0.00438278400701 %	0.0 %
TComDataCU::setPredModeSubParts	1845816	922908	538363	48885	15193	0	3	0	0	1796928	907715	538363	1.93759644061 %	2.64842216126 %	1.0397113198 %	9.0714275131e-05 %	0.000162529742943 %	0.0 %
TComDataCU::setChromaQpAdjSubParts	1845816	922908	538363	45208	5705	0	4	0	0	1800604	917203	538363	1.53951196325 %	2.44921487299 %	0.390413550943 %	0.000120952366841 %	0.000216706323924 %	0.0 %
TComDataCU::getPartPosition	1844877	915658	405324	155541	46586	26880	13	1	12	1689323	869071	378432	7.23364496018 %	8.43096856864 %	5.56146866498 %	0.000821262096638 %	0.000704654023005 %	0.000984116361919 %
TEncEntropy::encodeSkipFlag	1817837	956681	426959	105094	143015	1079	5	1	0	1712738	813665	425880	7.78353241332 %	5.78126641718 %	10.4141250614 %	0.000187413496958 %	0.000275052163643 %	7.22731346304e-05 %
TComDataCU::setCbfSubParts	1806625	939445	505855	60236	6699	0	2	0	0	1746387	932746	505855	2.05831930318 %	3.33417283609 %	0.463502387048 %	6.1502033411e-05 %	0.00011070366014 %	0.0 %
TEncEntropy::encodeMergeIndex	1785720	892860	567350	37162	8107	0	4	0	0	1748554	884753	567350	1.39463882462 %	2.08106534059 %	0.555194115915 %	0.000123231246515 %	0.000223999283202 %	0.0 %
TComLoopFilter::xDeblockCU	1698998	480035	281480	85	7516	56	48	18	0	1698865	472501	281424	0.311195267003 %	0.00500294879688 %	0.994333663815 %	0.00268236745752 %	0.00282519461471 %	0.00236370918498 %
TComYuv::copyToPicYuv	1665600	478860	603780	23400	23047	3676	6	1	0	1642194	455812	600104	1.8238217914 %	1.40489913545 %	2.46831818518 %	0.000254708467965 %	0.00036023054755 %	9.23668070642e-05 %
TComLoopFilter::xGetBoundaryStrengthSingle	1663990	693655	361306	85	20169	6	26	232	0	1663879	673254	361300	0.745140313305 %	0.00510820377526 %	1.91239296998 %	0.00948895364425 %	0.00156250939008 %	0.0219913342768 %
TEncEntropy::encodePartSize	1658111	872690	523614	169635	43445	2718	6	1	1	1488470	829244	520895	7.06511721557 %	10.2306178537 %	3.30608520781 %	0.000261915947898 %	0.000361857559596 %	0.000143235284007 %
TComDataCU::setTransformSkipSubParts	1651666	740402	484109	28560	42642	332	2	0	0	1623104	697760	483777	2.48712092476 %	1.72916316011 %	3.50948256079 %	6.95367496507e-05 %	0.00012108985715 %	0.0 %
TComDataCU::deriveLeftBottomIdxGeneral	1622974	903474	225180	134040	84841	0	5	4	0	1488929	818629	225180	7.95459996773 %	8.2589123424 %	7.51700698354 %	0.000327079096448 %	0.000308076407878 %	0.000354404449902 %
TEncCu::xCheckDQP	1615089	922908	384545	129549	110004	43717	6	0	0	1485534	812904	340828	9.69258953336 %	8.02116787372 %	11.7572868776 %	0.000205300727928 %	0.000371496555298 %	0.0 %
TEncSearch::xSetIntraResultQT	1585408	720120	508616	104335	62573	44902	15	0	0	1481058	657547	463714	7.52662266039 %	6.58095581705 %	8.74679345278 %	0.000533021764345 %	0.000946128693686 %	0.0 %
TComDataCU::deriveLeftRightTopIdxGeneral	1579318	858714	225180	134209	128070	0	5	5	0	1445104	730639	225180	9.84822087014 %	8.49790859092 %	11.8157310586 %	0.000375486442687 %	0.000316592351889 %	0.00046129972119 %
TComDataCU::isSkipped	1463800	1463800	0	49525	355193	0	2	41	0	1414273	1108566	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncEntropy::encodeCoeff	1425720	612683	551161	79164	19956	0	10	1	0	1346546	592726	551161	3.82767137634 %	5.55256291558 %	1.71466278986 %	0.000424781932403 %	0.000701399994389 %	8.59221682631e-05 %
_int_free	1322215	377035	250078	670	9432	773	129	5341	400	1321416	362262	248905	0.557884563296 %	0.0506725456904 %	1.62729842947 %	0.301129414855 %	0.00975635581203 %	0.915464995942 %
TComOutputBitstream::write	1304709	331541	253689	43	403	1767	16	1	53	1304650	331137	251869	0.117093726305 %	0.00329575407236 %	0.370794388531 %	0.00370382324509 %	0.00122632709669 %	0.00922714146575 %
TEncSearch::xSetIntraResultChromaQT	1290817	507398	514409	43302	29976	680	7	0	0	1247508	477422	513729	3.19801230118 %	3.35461959364 %	3.00017517985 %	0.000302686472163 %	0.000542292207184 %	0.0 %
TComTrQuant::xsetFlatScalingList	1248480	10080	493200	10	1230	61935	5	113	49676	1248465	8737	381589	3.60637301914 %	0.000800973984365 %	12.5506676204 %	2.84251267297 %	0.000400486992182 %	9.89290255921 %
TEncSbac::codeIntraDirChroma	1135390	524326	410688	54788	49899	43300	20	1	0	1080582	474426	367388	7.14773541782 %	4.82547846995 %	9.96765823827 %	0.00101429479464 %	0.00176150926113 %	0.000106950270263 %
TComCUMvField::copyTo	1121480	571320	380880	23400	13333	9671	6	1	1	1098074	557986	371208	2.23776088885 %	2.08652851589 %	2.41587901701 %	0.000385787585356 %	0.000535007311767 %	0.000210039907582 %
TComDataCU::setCUTransquantBypassSubParts	1099176	549588	320593	17775	25	0	1	0	0	1081400	549563	320593	0.903848311911 %	1.61712046115 %	0.00287296550947 %	5.07779950512e-05 %	9.09772411334e-05 %	0.0 %
TComCUMvField::compress	1095920	544880	383040	20	3622	9504	12	26	66	1095888	541232	373470	0.649557277255 %	0.00182495072633 %	1.41456160014 %	0.00513874614594 %	0.0010949704358 %	0.00991464781447 %
TEncSbac::codeMvd	1038200	405989	275212	76445	36334	0	11	6	0	961744	369649	275212	6.55920288519 %	7.36322481217 %	5.33381483586 %	0.000988716419265 %	0.00105952610287 %	0.000880797297714 %
TComDataCU::setQPSubParts	1036392	518196	302281	81326	112536	4474	2	0	1	955064	405660	297806	10.6812058363 %	7.84703085319 %	14.2612163412 %	0.000161562285762 %	0.00019297717466 %	0.000121880320838 %
TEncCu::xCheckRDCostIntra	1011124	438452	523458	88914	100135	27592	55	1	15	922155	338316	495851	10.9800946157 %	8.7935802137 %	13.2784771964 %	0.00359851882938 %	0.00543949110099 %	0.00166335727875 %
TEncEntropy::encodePredInfo	964757	418922	374557	75976	11	501	6	0	0	888775	418911	374056	4.35026924713 %	7.87514368903 %	0.0645259672909 %	0.000341251117597 %	0.000621918265428 %	0.0 %
TComCUMvField::copyFrom	939600	438480	375840	7800	17692	5248	2	0	0	931798	420788	370592	1.75264550265 %	0.830140485313 %	2.8170743688 %	0.000114030286444 %	0.000212856534696 %	0.0 %
TComTURecurse::TComTURecurse	925218	359807	411208	72962	10278	8949	4	0	10	852252	349529	402249	5.43492550846 %	7.88592526302 %	2.493725803 %	0.000825358308676 %	0.00043233054264 %	0.00129699162792 %
TEncEntropy::encodePredMode	912145	500893	216235	85645	744	0	6	0	0	826494	500149	216235	5.30230354275 %	9.38940628957 %	0.103747169264 %	0.000368262409062 %	0.000657790153978 %	0.0 %
TEncSbac::codeMergeFlag	863379	558657	253935	62540	2151	7	2	12	0	800837	556494	253928	3.86032932551 %	7.24363228663 %	0.265569929313 %	0.00083533664962 %	0.000231647978466 %	0.00147675586272 %
TEncEntropy::encodeCrossComponentPrediction	854568	498498	284856	38229	4869	983	4	0	0	816335	493629	283873	2.69127589714 %	4.47348835903 %	0.747044120538 %	0.000244211873337 %	0.000468072757229 %	0.0 %
_dl_lookup_symbol_x	829762	147760	54889	82	3872	150	15	3061	22	829665	140827	54717	0.397516105504 %	0.0098823518069 %	1.98471248316 %	0.300074292118 %	0.00180774728175 %	1.52134972292 %
TEncSbac::codePredMode	801762	464178	210990	76518	56287	0	2	4	0	725242	407887	210990	8.99196305851 %	9.54372993482 %	8.33673989289 %	0.000406248095712 %	0.000249450585086 %	0.00059244513958 %
TEncCu::xCopyYuv2Pic	801570	322710	239430	39000	49498	0	20	0	0	762550	273212	239430	6.48950290018 %	4.86545155133 %	8.80527982353 %	0.00146658747094 %	0.00249510335966 %	0.0 %
TEncCu::xEncodeCU	753144	346488	247324	701	8271	361	19	60	0	752424	338157	246963	0.692895684789 %	0.0930764900205 %	1.45365873374 %	0.00586507651326 %	0.00252275793208 %	0.0101042080659 %
TComYuv::copyFromPicYuv	707880	176970	239430	12866	11270	20969	4	7	4	695010	165693	218457	4.01190094994 %	1.81753969599 %	7.74231508165 %	0.00133418721315 %	0.000565067525569 %	0.00264169068204 %
TEncSearch::xTZ2PointSearch	690851	277628	243209	69382	10591	11	42	2	0	621427	267035	243198	6.60103921141 %	10.0429759818 %	2.03556966959 %	0.00363129782584 %	0.00607945852289 %	0.000383997296659 %
TComDataCU::setDepthSubParts	665900	319632	213088	53272	3737	1844	2	0	0	612626	315895	211244	4.91006323939 %	8.0 %	1.04764228863 %	0.000166858554004 %	0.000300345397207 %	0.0 %
TEncEntropy::encodeRefFrmIdxPU	642680	382770	166394	19191	297	8130	2	0	0	623487	382473	158264	2.31724957293 %	2.98608950022 %	1.53451427989 %	0.000167807196244 %	0.000311196863136 %	0.0 %
TEncSbac::codeQtRootCbf	625738	272060	272060	27018	26792	7	1	0	0	598719	245268	272053	4.60030191698 %	4.31778156353 %	4.92520032346 %	8.54804600216e-05 %	0.000159811294823 %	0.0 %
TEncEntropy::encodeMvdPU	617782	369926	187750	21844	0	2634	2	0	0	595936	369926	185116	2.08242234091 %	3.53587511452 %	0.472317259484 %	0.000170146445045 %	0.000323738794591 %	0.0 %
TEncEntropy::encodeMergeFlag	609444	355509	203148	0	0	0	0	0	0	609444	355509	203148	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncSearch::xSetIntraResultQT	603998	267375	201991	3790	16759	3672	15	0	0	600193	250616	198319	2.25655043396 %	0.627485521475 %	4.35289305148 %	0.00139747560008 %	0.00248345193196 %	0.0 %
TComCUMvField::create	602768	3848	150552	16	150	17882	12	0	17809	602740	3698	114861	2.38361895907 %	0.00265442093807 %	11.6787564767 %	2.35363882256 %	0.00199081570355 %	11.5343264249 %
TEncSbac::codeInterDir	584691	265727	197118	32761	25639	0	3	11	0	551927	240077	197118	5.574987399 %	5.60313054246 %	5.53943544815 %	0.00133646958195 %	0.000513091530398 %	0.0023766055591 %
do_lookup_x	559221	202670	95467	175	7625	153	45	1457	31	559001	193588	95283	0.927617168091 %	0.0312935315376 %	2.6088677353 %	0.178805119915 %	0.00804690810967 %	0.499099407319 %
TEncSbac::codeSplitFlag	551232	235592	147732	30898	24691	102	6	1	0	520328	210900	147630	5.95908645389 %	5.60526239406 %	6.46789660966 %	0.000749018785391 %	0.00108847091606 %	0.000260875916979 %
TEncSampleAdaptiveOffset::getDistortion	549582	172059	80821	118	965	0	59	0	0	549405	171094	80821	0.134959661641 %	0.0214708633107 %	0.381603922809 %	0.00735237307187 %	0.0107354316553 %	0.0 %
TEncEntropy::encodeIPCMInfo	542736	305289	135684	32731	29750	0	2	0	0	510003	275539	135684	6.35157348362 %	6.03074054421 %	6.74644479367 %	0.000203312158372 %	0.000368503287049 %	0.0 %
TComDataCU::getAllowedChromaDir	471282	214669	130114	46631	19621	4474	3	0	5	424648	195048	125635	8.66671159773 %	9.89450053259 %	6.98845360705 %	0.00098031406812 %	0.000636561549136 %	0.00145018750924 %
TEncEntropy::encodeMVPIdxPU	446884	296684	138922	10920	11019	0	1	2	0	435963	285663	138922	2.48603383608 %	2.44358715013 %	2.52957948238 %	0.000339947194869 %	0.000223771717045 %	0.000459130498662 %
TEncSbac::codeQtRootCbfZero	425799	232254	154836	70326	7101	38709	2	0	0	355471	225153	116127	14.2868214479 %	16.5162435797 %	11.834457103 %	0.000246036051663 %	0.000469705189538 %	0.0 %
malloc	387323	112479	62590	21	1415	288	15	0	10	387287	111064	62292	0.306547746056 %	0.00542183139137 %	0.972759312043 %	0.00444529794165 %	0.00387273670812 %	0.00571203354106 %
TEncEntropy::encodeQtRootCbfZero	387090	232254	116127	0	10024	0	0	0	0	387090	222230	116127	1.36293613208 %	0.0 %	2.87730961218 %	0.0 %	0.0 %	0.0 %
TComDataCU::getCtxSplitFlag	384008	130584	142196	13606	19255	4436	11	27	2	370391	111302	137758	5.67869693113 %	3.54315535093 %	8.68502089596 %	0.00609024525418 %	0.00286452365576 %	0.0106312779529 %
TEncBinCABAC::testAndWriteOut	376680	145568	85544	0	2	1333	0	0	2	376680	145566	84209	0.219647510991 %	0.0 %	0.577642009069 %	0.000329059941559 %	0.0 %	0.000865381286995 %
TComLoopFilter::xDeblockCU	376192	82277	21500	20	4098	13	12	19	0	376160	78160	21487	0.860680585621 %	0.00531643416128 %	3.96137872554 %	0.00645875046097 %	0.00318986049677 %	0.0183084883934 %
free	362510	112484	75011	167	1685	29	13	326	1	362330	110473	74981	0.341996890937 %	0.0460676946843 %	0.914157710872 %	0.0618176198398 %	0.00358610796944 %	0.174404650791 %
TComCUMvField::copyTo	359720	126960	169280	12710	14508	3807	4	0	0	347006	112452	165473	4.72970912861 %	3.53330368064 %	6.18248717256 %	0.000609793280078 %	0.00111197598132 %	0.0 %
TEncCu::xCopyYuv2Tmp	349180	164320	133510	7800	41960	0	4	0	0	341376	122360	133510	7.69076212114 %	2.23380491437 %	14.0885740187 %	0.00061822846633 %	0.00114554098173 %	0.0 %
TEncEntropy::encodeIntraDirModeChroma	342624	199864	114208	11568	22410	0	2	0	0	331054	177454	114208	5.17408359424 %	3.3762958812 %	7.13530655391 %	0.000304554923435 %	0.000583730269917 %	0.0 %
TEncSbac::xWriteUnaryMaxSymbol	339360	156544	91952	22481	1	0	4	0	0	316875	156543	91952	3.82440597697 %	6.62452852428 %	0.000402420964523 %	0.000680438746904 %	0.0011786892975 %	0.0 %
TEncSbac::codeRefFrmIdx	337335	158330	82531	16318	17803	0	4	0	0	321013	140527	82531	5.90128606908 %	4.83732787881 %	7.3914000191 %	0.000691806930522 %	0.00118576489247 %	0.0 %
TEncEntropy::encodeSplitFlag	333868	175720	105432	10	13672	141	7	1	0	333851	162047	105291	2.24756918474 %	0.00299519570609 %	4.91300079672 %	0.00130077070664 %	0.00209663699426 %	0.000355679490098 %
initROM	329111	79859	35725	19	2	2776	19	0	49	329073	79857	32900	0.628970417927 %	0.0057731282151 %	2.40344684385 %	0.0152913794848 %	0.0057731282151 %	0.0423934108527 %
std::basic_streambuf<char,	325109	222222	207134	14	23453	175	14	259	61	325081	198510	206898	3.13361123445 %	0.00430624805834 %	5.50312561138 %	0.044269780573 %	0.00430624805834 %	0.0745302266651 %
TEncCu::xComputeQP	322710	135330	52050	40910	36380	0	8	2	0	281792	98948	52050	15.1522280382 %	12.6770165164 %	19.4150923258 %	0.00196043835402 %	0.00247900591863 %	0.00106734977052 %
std::basic_streambuf<char,	312002	214325	199121	169	239	22653	25	2	615	311808	214084	175853	3.17886326794 %	0.0541663194467 %	5.53687785104 %	0.088497039071 %	0.00801276914892 %	0.14923351538 %
TEncSbac::codeSAOOffsetParam	304477	77245	68355	65	555	18	33	0	0	304379	76690	68337	0.141753522175 %	0.0213480821211 %	0.393543956044 %	0.00733207873319 %	0.0108382570769 %	0.0 %
TComLoopFilter::xSetEdgefilterPU	301230	94050	142674	48	160	2	21	2	0	301161	93888	142672	0.0390367949676 %	0.0159346678618 %	0.0684341258174 %	0.00427545849645 %	0.00697141718952 %	0.000844865750832 %
TComLoopFilter::xSetEdgefilterTU	294232	121464	131216	0	138	472	0	5	0	294232	121321	130744	0.111535310982 %	0.0 %	0.241412062688 %	0.000914223860511 %	0.0 %	0.00197878739908 %
_dl_relocate_object	290000	102611	40802	52	5948	2008	52	3933	1063	289896	92730	37731	1.84766031476 %	0.0179310344828 %	5.54761423302 %	1.16470894966 %	0.0179310344828 %	3.48364513677 %
TComLoopFilter::xSetEdgefilterTU	289216	110432	134320	35	1656	364	14	14	0	289167	108762	133956	0.384854523117 %	0.012101681788 %	0.825325227169 %	0.00524375992569 %	0.0048406727152 %	0.00572007583186 %
TComLoopFilter::xSetLoopfilterParam	286312	95932	87776	30	153	188	12	0	0	286270	95779	87588	0.0789328113697 %	0.0104780798569 %	0.185620658872 %	0.00255308284754 %	0.00419123194278 %	0.0 %
TEncSbac::codeMVPIdx	262720	118224	105088	21304	22329	0	2	9	0	241414	95886	105088	8.97739243507 %	8.10901339829 %	9.99901483127 %	0.00226322546664 %	0.000761266747868 %	0.00403023572401 %
TEncBinCABAC::writeOut	261363	76493	57426	20	111	284	8	0	1	261335	76382	57141	0.10498833744 %	0.00765219254447 %	0.294954412742 %	0.00227685551075 %	0.00306087701779 %	0.000746720032258 %
strcmp	227435	72190	2	17	1012	0	5	222	0	227413	70956	2	0.343426994229 %	0.00747466309055 %	1.40181737589 %	0.0757608626726 %	0.00219843032075 %	0.307513297872 %
TComSampleAdaptiveOffset::invertQuantOffsets	224204	92049	127227	28	20	1362	14	0	0	224162	92029	125865	0.317939929647 %	0.0124886264295 %	0.630255933162 %	0.00315685036529 %	0.00624431321475 %	0.0 %
TEncEntropy::encodeInterDirPU	219726	122070	61035	20908	10330	0	1	1	0	198817	111739	61035	7.7546167003 %	9.51548747076 %	5.64157177576 %	0.000496486119489 %	0.000455112276199 %	0.000546134731438 %
TEncSampleAdaptiveOffset::deriveModeNewRDO	201073	86833	86294	147	2039	1770	77	2	0	200849	84792	84524	1.05718866916 %	0.0731077767776 %	2.2001189878 %	0.0211117049706 %	0.0382945497406 %	0.00115522131152 %
TComDataCU::initCtu	196275	74238	79527	2769	15348	2098	45	779	508	193461	58111	76921	5.77505427951 %	1.41077569736 %	11.3458849543 %	0.380527939664 %	0.0229270156668 %	0.836991513023 %
malloc_consolidate	195058	68154	44737	254	10215	117	39	7	34	194765	57932	44586	3.43758219705 %	0.130217678844 %	9.15219105155 %	0.0259783275802 %	0.0199940530509 %	0.0363182184585 %
__memcmp_ssse3	194730	42612	4954	470	649	0	31	0	0	194229	41963	4954	0.461831809027 %	0.241359831562 %	1.36441996384 %	0.0127942681679 %	0.0159194782519 %	0.0 %
TComDataCU::isLastSubCUOfCtu	188398	97004	29952	435	3693	0	6	3	0	187957	93308	29952	1.30900511806 %	0.230894170851 %	2.90888181732 %	0.00285393557716 %	0.00318474718415 %	0.00236302340969 %
TComDataCU::getIntraSizeIdx	187630	31318	0	8948	231	0	3	0	0	178679	31087	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::encodeBinsEP	182862	70839	50940	18	0	1	11	0	0	182833	70839	50939	0.00623684927505 %	0.00984348853234 %	0.000821159641646 %	0.00361080747503 %	0.00601546521421 %	0.0 %
