BasketballPass__QP_32_nF_5_SR_4_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComDataCU::setSkipFlagSubParts	2833992	1416996	826581	57865	9373	13243	4	0	2	2776123	1407623	813336	1.58503015912 %	2.04181945468 %	1.0080331542 %	0.000118166784144 %	0.000141143658839 %	8.91433634772e-05 %
TEncEntropy::encodePUWise	2783534	899611	1212110	135773	73573	0	5	2	0	2647756	826036	1212110	4.2765085782 %	4.87772019311 %	3.48403032408 %	0.000142995615142 %	0.000179627768154 %	9.47094810347e-05 %
TComDataCU::isDiffMER	2666085	1406552	172619	43463	41623	0	1	0	0	2622621	1364929	172619	2.00426075601 %	1.63021809132 %	2.63575002327 %	2.35557054745e-05 %	3.75081814721e-05 %	0.0 %
TEncSearch::xGetBlkBits	2506724	1210780	1026120	177365	109095	46615	11	6	1	2329348	1101679	979504	7.02153037425 %	7.07556954814 %	6.96097277482 %	0.000379456719167 %	0.000438819750399 %	0.000312933077026 %
TEncSbac::codeCrossComponentPrediction	2484368	1296192	540080	77862	127	37	5	0	0	2406501	1296065	540043	1.80588986817 %	3.13407675513 %	0.00893113874197 %	0.000115723596504 %	0.000201258428703 %	0.0 %
TComLoopFilter::xSetEdgefilterMultiple	2475078	1224192	355568	80	1730	2381	32	0	47	2474966	1222462	353140	0.103358013316 %	0.00323222136838 %	0.260229401934 %	0.00194828991935 %	0.00129288854735 %	0.00297513546361 %
TEncSearch::xSetIntraResultChromaQT	2400399	1083294	788771	31038	21458	458	21	0	0	2369340	1061836	788313	1.23942530587 %	1.29303503293 %	1.17068584691 %	0.000491519647679 %	0.00087485455543 %	0.0 %
TComDataCU::setCbfSubParts	2388440	1070680	700060	16532	64218	0	2	3	0	2371906	1006459	700060	1.94148846648 %	0.692167272362 %	3.62661937947 %	0.000120216004116 %	8.37366649361e-05 %	0.000169420694173 %
TEncSearch::xSetResidualQTData	2377766	896328	660403	64881	58031	18418	6	0	2	2312879	838297	641983	3.59207288759 %	2.72865370268 %	4.91086770932 %	0.000203329675941 %	0.000252337698495 %	0.000128474347848 %
TEncSearch::xRestrictBipredMergeCand	2353954	445216	719720	71804	0	0	6	0	0	2282144	445216	719720	2.04052982617 %	3.05035697384 %	0.0 %	0.000170508313701 %	0.000254890282478 %	0.0 %
TEncCu::xCheckBestMode	2347700	1235199	527120	86364	125938	0	4	3	0	2261332	1109258	527120	5.16547490413 %	3.67866422456 %	7.14615231408 %	0.000170315514357 %	0.000170379520382 %	0.000170230247759 %
TComDataCU::isBipredRestriction	2311712	647584	880352	89821	0	0	2	0	0	2221889	647584	880352	2.33930297777 %	3.88547535333 %	0.0 %	5.20881080766e-05 %	8.65159673869e-05 %	0.0 %
TComTrQuant::setErrScaleCoeff	2261520	267840	253440	25	1430	62040	14	25	46733	2261481	266385	144667	2.28169469599 %	0.00110545120096 %	12.1757980356 %	1.68075319822 %	0.000619052672539 %	8.96984346225 %
TEncSampleAdaptiveOffset::deriveOffsets	2253455	620769	449171	140	10471	2901	70	4	0	2253245	610294	446270	0.406572194999 %	0.0062126823034 %	1.24978970783 %	0.00222663872335 %	0.0031063411517 %	0.000373852739406 %
TEncBinCABAC::encodeBin	2128164	784572	565608	25	3868	166	14	45	0	2128125	780659	565442	0.116693461026 %	0.00117472149703 %	0.298774978151 %	0.00169620946059 %	0.000657844038335 %	0.00333288894814 %
TComDataCU::setPartSizeSubParts	2043336	1021668	595973	67743	3569	8236	4	0	1	1975589	1018099	587736	2.17286259925 %	3.31531378099 %	0.72976636967 %	0.000136575564392 %	0.000195758308961 %	6.18184133562e-05 %
TEncBinCABACCounter::encodeBinEP	2033838	1016919	1016919	86133	0	0	10	0	0	1947695	1016919	1016919	2.11749903385 %	4.23499806769 %	0.0 %	0.000245840622508 %	0.000491681245016 %	0.0 %
TComPicYuv::extendPicBorder	2028300	578391	552243	135	8814	28568	30	791	2781	2028135	568786	520894	1.18764747855 %	0.00665582014495 %	3.30628656135 %	0.11402580744 %	0.00147907114332 %	0.315928938985 %
TComDataCU::getNumPartitions	2008890	945360	236340	58964	108835	0	2	1	0	1949924	836524	236340	5.25918403806 %	2.93515324383 %	9.21003638825 %	9.40264966668e-05 %	9.95574670589e-05 %	8.46238470001e-05 %
_int_malloc	1944669	335213	374197	846	3217	12807	242	37	10484	1943581	331959	350906	0.635625390201 %	0.0435035473903 %	2.25877842151 %	0.405526738277 %	0.0124442771495 %	1.4830633907 %
TComLoopFilter::xEdgeFilterChroma	1931075	788890	284621	120	8081	0	84	0	0	1930871	780809	284621	0.27294941799 %	0.00621415532799 %	0.752763595343 %	0.00279572626645 %	0.00434990872959 %	0.0 %
TComDataCU::getPartPosition	1850787	918520	406512	155906	45545	18487	13	1	2	1694868	872974	388023	6.92539467772 %	8.42376783498 %	4.83248706446 %	0.000503807049457 %	0.000702403896288 %	0.000226409626334 %
TComDataCU::setPredModeSubParts	1845672	922836	538321	48853	6041	0	3	0	0	1796816	916795	538321	1.66001931155 %	2.64689500626 %	0.413439486653 %	9.07213526917e-05 %	0.000162542423573 %	0.0 %
TComDataCU::setChromaQpAdjSubParts	1845672	922836	538321	45170	912	0	4	0	0	1800498	921924	538321	1.39354045825 %	2.44734709092 %	0.0624162906519 %	0.000120961803589 %	0.00021672323143 %	0.0 %
TEncEntropy::encodeSkipFlag	1817753	956637	426939	104927	120777	662	4	1	0	1712822	835859	426277	7.07100082497 %	5.7723464079 %	8.77718318329 %	0.000156185134361 %	0.00022005189924 %	7.22764777649e-05 %
TComDataCU::setCbfSubParts	1804875	938535	505365	60175	0	0	2	0	0	1744698	938535	505365	1.85223661226 %	3.33402590207 %	0.0 %	6.15616655509e-05 %	0.000110810997992 %	0.0 %
TEncEntropy::encodeMergeIndex	1788140	894070	568197	37166	1502	0	4	0	0	1750970	892568	568197	1.1896356364 %	2.07847260282 %	0.102717219222 %	0.000123061511989 %	0.000223696131175 %	0.0 %
TComDataCU::setTransformSkipSubParts	1729386	775242	506889	29906	33037	205	2	0	0	1699478	742205	506684	2.09688339797 %	1.72928426621 %	2.59271478499 %	6.64117121039e-05 %	0.000115647981422 %	0.0 %
TComLoopFilter::xDeblockCU	1713216	485609	285554	85	4669	16	48	19	0	1713083	480921	285538	0.191999690868 %	0.00496142926519 %	0.607523960563 %	0.00269685100381 %	0.00280174829093 %	0.00246381115277 %
TComYuv::copyToPicYuv	1665600	478860	603780	23400	20953	1017	6	1	0	1642194	457906	602763	1.65087474165 %	1.40489913545 %	2.0292987512 %	0.000254708467965 %	0.00036023054755 %	9.23668070642e-05 %
TComLoopFilter::xGetBoundaryStrengthSingle	1662513	694267	361532	85	17570	0	26	364	0	1662402	676333	361532	0.649483944448 %	0.00511274197555 %	1.66414251197 %	0.0143471389598 %	0.00156389754546 %	0.0344762592122 %
TEncEntropy::encodePartSize	1656249	871710	523026	169483	24038	1088	5	1	1	1486761	847671	521937	6.37856298867 %	10.2329420274 %	1.80148788014 %	0.00022943410079 %	0.000301886974724 %	0.000143396312994 %
TComDataCU::deriveLeftBottomIdxGeneral	1627954	906186	225840	134535	75508	0	5	4	0	1493414	830674	225840	7.61030877035 %	8.26405414404 %	6.67016481954 %	0.000326089319488 %	0.000307133985358 %	0.000353348774675 %
TEncCu::xCheckDQP	1614963	922836	384515	129546	46353	43056	6	0	0	1485411	876483	341459	7.49252133754 %	8.02160792538 %	6.83894378786 %	0.000205316745565 %	0.000371525539594 %	0.0 %
TComDataCU::deriveLeftRightTopIdxGeneral	1584436	861348	225840	134676	109399	8165	5	5	1	1449755	751944	217674	9.44144834752 %	8.49993309922 %	10.8135851389 %	0.000411734585406 %	0.000315569704299 %	0.000551882471109 %
TEncSearch::xSetIntraResultQT	1582608	718792	507784	104191	30043	45031	13	0	0	1478404	688749	462753	6.38139046784 %	6.58350014659 %	6.12061543679 %	0.000462767835784 %	0.000821428932496 %	0.0 %
TComDataCU::isSkipped	1464240	1464240	0	49442	241399	0	2	54	0	1414796	1222787	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncEntropy::encodeCoeff	1424426	612292	550611	79136	10867	0	10	1	0	1345280	601424	550611	3.47860670212 %	5.5556413601 %	0.934471748719 %	0.000425148869742 %	0.000702037171464 %	8.59916949221e-05 %
_int_free	1322276	377049	250090	667	9060	682	128	5396	402	1321481	362593	249006	0.533955058312 %	0.0504433265067 %	1.55340363141 %	0.303988632487 %	0.00968027855002 %	0.924515936658 %
TComOutputBitstream::write	1300823	330555	252935	43	17	822	16	3	54	1300764	330535	252059	0.0468075102173 %	0.00330559960886 %	0.143789953555 %	0.0038740909817 %	0.00122999055214 %	0.00976880494953 %
TEncSearch::xSetIntraResultChromaQT	1290014	506911	514262	43369	21430	1581	7	0	0	1246638	485481	512681	2.87211722807 %	3.36190149874 %	2.25338899481 %	0.000302874670029 %	0.000542629769909 %	0.0 %
TComTrQuant::xsetFlatScalingList	1248480	10080	493200	10	385	61770	5	75	46764	1248465	9620	384666	3.54871671919 %	0.000800973984365 %	12.3499841043 %	2.67411060876 %	0.000400486992182 %	9.30674773486 %
TEncSbac::codeIntraDirChroma	1133620	523549	410028	54932	25279	0	20	1	0	1078668	498269	410028	3.88018171466 %	4.84571549549 %	2.70775736763 %	0.00101586834733 %	0.00176425962845 %	0.000107114892505 %
TComCUMvField::copyTo	1121480	571320	380880	23400	12429	11952	6	2	2	1098074	558889	368926	2.30416457698 %	2.08652851589 %	2.56049149338 %	0.000482234481694 %	0.000535007311767 %	0.000420079815165 %
TComDataCU::setCUTransquantBypassSubParts	1097616	548808	320138	17684	0	0	1	0	0	1079931	548808	320138	0.899234298232 %	1.61112811767 %	0.0 %	5.08501638901e-05 %	9.11065436364e-05 %	0.0 %
TComCUMvField::compress	1095920	544880	383040	20	3583	9544	12	25	76	1095888	541272	373420	0.649606688276 %	0.00182495072633 %	1.41466936805 %	0.00558344533165 %	0.0010949704358 %	0.0108845590137 %
TComDataCU::setQPSubParts	1036368	518184	302274	81336	61292	4294	2	0	1	955030	456892	297979	7.91253461552 %	7.84817748136 %	7.99382783762 %	0.000161566027188 %	0.000192981643586 %	0.000121883143318 %
TEncSbac::codeMvd	1034888	404917	273772	76423	24110	0	11	13	0	958454	380794	273772	5.86685045376 %	7.38466384768 %	3.5524371251 %	0.00140057902271 %	0.00106291695333 %	0.00191545759545 %
TEncCu::xCheckRDCostIntra	1009542	437766	522639	88779	72812	22472	51	0	6	920712	364954	500161	9.3435508671 %	8.79398776871 %	9.92123114728 %	0.00289347886009 %	0.00505179576481 %	0.000624736439315 %
TEncEntropy::encodePredInfo	964099	418636	374300	75955	2	0	6	0	0	888138	418634	374300	4.32302145376 %	7.87834029493 %	0.000252227165875 %	0.000341484375667 %	0.000622342726214 %	0.0 %
TComCUMvField::copyFrom	939600	438480	375840	7800	13732	70	2	0	0	931798	424748	375770	1.23164112388 %	0.830140485313 %	1.69491109146 %	0.000114030286444 %	0.000212856534696 %	0.0 %
TComTURecurse::TComTURecurse	926370	360255	411720	73242	4617	8892	4	0	3	853124	355638	402825	5.10797276172 %	7.90634411736 %	1.74992713495 %	0.000412165961568 %	0.000431792912119 %	0.000388613620907 %
TEncEntropy::encodePredMode	910185	499815	215745	85404	215	0	6	0	0	824775	499600	215745	5.26644707503 %	9.38314738213 %	0.0300463972273 %	0.000369061568696 %	0.000659206644803 %	0.0 %
TEncSbac::codeMergeFlag	863498	558734	253970	62541	32495	5	2	18	0	800955	526221	253965	5.6700206777 %	7.24274983845 %	3.9989959444 %	0.00119317361511 %	0.000231616054698 %	0.00221482852305 %
TEncEntropy::encodeCrossComponentPrediction	856056	499366	285352	38232	165	57	4	0	0	817820	499201	285295	2.34365000908 %	4.46606296784 %	0.0282904177042 %	0.000243787383272 %	0.00046725915127 %	0.0 %
_dl_lookup_symbol_x	829762	147760	54889	82	3572	87	15	3061	16	829665	141127	54786	0.36235568974 %	0.0098823518069 %	1.80558502633 %	0.299493128221 %	0.00180774728175 %	1.51838893851 %
TEncCu::xCopyYuv2Pic	801570	322710	239430	39000	43811	0	20	0	0	762550	278899	239430	6.07247875281 %	4.86545155133 %	7.79361013271 %	0.00146658747094 %	0.00249510335966 %	0.0 %
TEncSbac::codePredMode	799900	463100	210500	76339	55864	0	2	1	0	723559	407235	210500	8.97203936206 %	9.54356794599 %	8.29334916865 %	0.000203596878181 %	0.000250031253907 %	0.000148456057007 %
TEncCu::xEncodeCU	765810	352452	250986	697	4886	107	19	59	0	765094	347507	250879	0.415556568277 %	0.0910147425602 %	0.827425518446 %	0.00569655752647 %	0.00248103315444 %	0.00977730935075 %
TComYuv::copyFromPicYuv	707880	176970	239430	12869	9565	15736	4	7	3	695007	167398	223691	3.3950617284 %	1.81796349664 %	6.07612872238 %	0.00124524139894 %	0.000565067525569 %	0.00240153698367 %
TComDataCU::setDepthSubParts	667550	320424	213616	53404	2039	1836	2	0	0	614144	318385	211780	4.7669338127 %	8.0 %	0.725601078571 %	0.00016644612555 %	0.000299603025991 %	0.0 %
TEncSearch::xTZ2PointSearch	653026	263754	228652	66214	9602	0	42	2	0	586770	254150	228652	6.61898742134 %	10.1395656528 %	1.95001685601 %	0.0038413454487 %	0.00643159690426 %	0.000406168893149 %
TEncEntropy::encodeRefFrmIdxPU	641336	381890	166020	19169	292	7966	2	0	0	622165	381598	158054	2.30625118773 %	2.988916886 %	1.50718183643 %	0.000168173784061 %	0.000311849015181 %	0.0 %
TEncSbac::codeQtRootCbf	626566	272420	272420	27088	5152	15696	1	0	0	599477	267268	256724	4.09217641023 %	4.32324767064 %	3.82644446076 %	8.53674985445e-05 %	0.000159600105974 %	0.0 %
TEncEntropy::encodeMvdPU	617014	369442	187595	21839	0	2635	2	0	0	595173	369442	184960	2.08457724579 %	3.53946587922 %	0.473038595282 %	0.000170350351049 %	0.000324141753672 %	0.0 %
TEncSearch::xSetIntraResultQT	610876	270302	204430	3800	8365	3318	15	0	0	607061	261937	201112	1.42620540748 %	0.622057504305 %	2.46096745111 %	0.00138171420992 %	0.00245549014857 %	0.0 %
TEncEntropy::encodeMergeFlag	609528	355558	203176	0	0	0	0	0	0	609528	355558	203176	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TComCUMvField::create	602768	3848	150552	16	143	17846	12	0	17810	602740	3705	114896	2.37793990237 %	0.00265442093807 %	11.6509067358 %	2.35377089365 %	0.00199081570355 %	11.5349740933 %
TEncSbac::codeInterDir	583842	265292	196827	32756	24464	0	3	13	0	551083	240815	196827	5.47056725824 %	5.61042199773 %	5.2938745215 %	0.00152969374575 %	0.000513837647857 %	0.00281312822022 %
do_lookup_x	559221	202670	95467	175	6371	111	45	1457	24	559001	194842	95332	0.776455109767 %	0.0312935315376 %	2.17416825151 %	0.17798865818 %	0.00804690810967 %	0.496751493441 %
TEncSbac::codeSplitFlag	552816	236360	148020	30898	18594	637	6	1	0	521912	217765	147383	5.34882777989 %	5.58920147029 %	5.00312191061 %	0.000746908864314 %	0.00108535208822 %	0.000260159217441 %
TEncSampleAdaptiveOffset::getDistortion	552702	173039	81281	118	662	0	59	0	0	552525	172377	81281	0.0966516402279 %	0.0213496603957 %	0.260301981755 %	0.00731082919673 %	0.0106748301978 %	0.0 %
TEncEntropy::encodeIPCMInfo	541712	304713	135428	32663	5035	0	2	0	0	509047	299678	135428	3.83947495195 %	6.02958767759 %	1.14395159733 %	0.000203696480023 %	0.000369199870042 %	0.0 %
TComDataCU::getAllowedChromaDir	470581	214338	129776	46541	11853	14776	3	0	0	424037	202485	115000	8.98127520115 %	9.89011456051 %	7.73842389441 %	0.000368235965607 %	0.000637509801713 %	0.0 %
TEncEntropy::encodeMVPIdxPU	446396	296320	138847	10918	10980	0	1	2	0	435477	285338	138847	2.4839971732 %	2.44581044633 %	2.52316926605 %	0.000340304663422 %	0.000224016344232 %	0.000459593673233 %
TEncSbac::codeQtRootCbfZero	425865	232290	154860	70292	1039	36723	2	0	0	355571	231251	118137	13.290529695 %	16.5057001632 %	9.75384218003 %	0.000245997921318 %	0.000469632395243 %	0.0 %
malloc	387323	112479	62590	19	1193	367	15	0	5	387289	111286	62218	0.280765017995 %	0.00490546649695 %	0.891077232406 %	0.00355623835332 %	0.00387273670812 %	0.00285601677053 %
TEncEntropy::encodeQtRootCbfZero	387150	232290	116145	0	621	0	0	0	0	387150	231669	116145	0.0844226024185 %	0.0 %	0.178225493995 %	0.0 %	0.0 %	0.0 %
TComDataCU::getCtxSplitFlag	382760	130152	141740	13616	15672	1768	11	35	2	369133	114445	139970	4.74389446607 %	3.55732051416 %	6.41431156489 %	0.00733213982391 %	0.00287386351761 %	0.0136083444897 %
TComLoopFilter::xDeblockCU	376192	82277	21500	20	2049	0	12	20	0	376160	80208	21500	0.431069506572 %	0.00531643416128 %	1.97442593253 %	0.00666709725003 %	0.00318986049677 %	0.0192720930457 %
TEncBinCABAC::testAndWriteOut	375550	145132	85286	0	0	161	0	0	1	375550	145132	85124	0.0265690597523 %	0.0 %	0.0698730133931 %	0.000165025215853 %	0.0 %	0.000433993872007 %
free	362510	112484	75011	167	1370	14	13	323	1	362330	110791	74996	0.281997436387 %	0.0460676946843 %	0.738153017414 %	0.061272170253 %	0.00358610796944 %	0.172804608123 %
TComCUMvField::copyTo	359720	126960	169280	12673	16162	773	4	0	0	347043	110798	168507	4.51368985914 %	3.52301790281 %	5.71664866325 %	0.000609793280078 %	0.00111197598132 %	0.0 %
TEncCu::xCopyYuv2Tmp	349180	164320	133510	7800	17736	0	4	0	0	341376	146584	133510	3.94677052905 %	2.23380491437 %	5.95507504281 %	0.00061822846633 %	0.00114554098173 %	0.0 %
TEncEntropy::encodeIntraDirModeChroma	342192	199612	114064	11573	11175	9792	2	0	2	330617	188437	104270	4.96136417694 %	3.38201945107 %	6.68428569607 %	0.000609878817079 %	0.000584467199701 %	0.000637600581492 %
TEncSbac::xWriteUnaryMaxSymbol	340320	157015	92015	22510	0	0	4	0	0	317806	157015	92015	3.81946211928 %	6.61436295252 %	0.0 %	0.000678713837278 %	0.00117536436295 %	0.0 %
TEncEntropy::encodeSplitFlag	335692	176680	106008	10	12734	0	7	1	0	335675	163945	106008	2.0608687215 %	0.00297892115391 %	4.50461285941 %	0.00129370290113 %	0.00208524480774 %	0.000353746887027 %
TEncSbac::codeRefFrmIdx	333383	157060	81561	16269	22396	0	4	0	0	317110	134664	81561	6.75956811491 %	4.87997288404 %	9.38559472972 %	0.00069929580912 %	0.00119982122664 %	0.0 %
initROM	329111	79859	35725	19	2	2738	19	0	49	329073	79857	32938	0.620425235274 %	0.0057731282151 %	2.37057032115 %	0.0152913794848 %	0.0057731282151 %	0.0423934108527 %
std::basic_streambuf<char,	325109	222222	207134	14	23277	149	14	257	60	325081	198688	206925	3.1068372953 %	0.00430624805834 %	5.4560784058 %	0.0438721478134 %	0.00430624805834 %	0.0738315057901 %
TEncCu::xComputeQP	322710	135330	52050	40910	30883	0	8	1	0	281792	104446	52050	14.074575075 %	12.6770165164 %	16.4814814815 %	0.00176439451861 %	0.00247900591863 %	0.00053367488526 %
std::basic_streambuf<char,	311998	214324	199119	170	95	22326	25	2	616	311803	214227	176177	3.11410576463 %	0.0544875287662 %	5.42299664041 %	0.0886357401911 %	0.00801287187738 %	0.14947646955 %
TComLoopFilter::xSetEdgefilterPU	306206	95694	144814	48	64	0	21	2	0	306137	95628	144814	0.0204860310876 %	0.0156757215731 %	0.0266103414439 %	0.00420695281262 %	0.00685812818821 %	0.000831573170123 %
TEncSbac::codeSAOOffsetParam	305297	77413	68527	66	265	3	33	0	0	305198	77148	68524	0.0740187528948 %	0.0216182930065 %	0.183637111142 %	0.00731323007643 %	0.0108091465032 %	0.0 %
TComLoopFilter::xSetEdgefilterTU	296160	122320	132040	0	144	164	0	4	0	296160	122172	131876	0.0559471045557 %	0.0 %	0.121088221418 %	0.000726585773451 %	0.0 %	0.00157257430414 %
TComLoopFilter::xSetEdgefilterTU	294824	112648	136880	35	1489	151	14	23	0	294775	111136	136729	0.30770530833 %	0.011871489431 %	0.657240870764 %	0.00679707248251 %	0.00474859577239 %	0.00921740245584 %
TComLoopFilter::xSetLoopfilterParam	291928	97804	89504	30	53	81	12	0	0	291886	97751	89423	0.034221135307 %	0.0102765065359 %	0.0715399235484 %	0.00250398551027 %	0.00411060261434 %	0.0 %
_dl_relocate_object	290000	102611	40802	52	5688	1836	52	3933	1063	289896	92990	37903	1.74798633174 %	0.0179310344828 %	5.24638631086 %	1.16470894966 %	0.0179310344828 %	3.48364513677 %
TEncSbac::codeMVPIdx	262900	118305	105160	21294	18653	0	2	12	0	241604	99640	105160	8.21337884099 %	8.09965766451 %	8.34716846039 %	0.00287849660235 %	0.00076074553062 %	0.00536996845144 %
TEncBinCABAC::writeOut	260487	76237	57254	20	16	63	8	0	1	260459	76221	57190	0.0251283066567 %	0.00767792634565 %	0.0591800196268 %	0.00228439151425 %	0.00307117053826 %	0.000749114172491 %
strcmp	227435	72190	2	17	744	0	5	222	0	227413	71224	2	0.253982451515 %	0.00747466309055 %	1.03058510638 %	0.0757608626726 %	0.00219843032075 %	0.307513297872 %
TComSampleAdaptiveOffset::invertQuantOffsets	224562	92214	127450	28	0	1067	14	0	0	224520	92214	126383	0.246496152859 %	0.01246871688 %	0.485741860296 %	0.00315154898633 %	0.00623435843999 %	0.0 %
TEncEntropy::encodeInterDirPU	219366	121870	60935	20858	9938	0	1	1	0	198507	111931	60935	7.65743924848 %	9.50831031245 %	5.43639397172 %	0.000497300899369 %	0.000455859157755 %	0.000547030989306 %
TEncSampleAdaptiveOffset::deriveModeNewRDO	201144	86863	86327	147	1416	653	77	2	0	200920	85445	85674	0.591984698157 %	0.0730819711252 %	1.19464172296 %	0.0211041476329 %	0.0382810324941 %	0.00115480108551 %
TComDataCU::initCtu	196275	74238	79527	2769	12425	2225	45	782	514	193461	61031	76788	4.97628842418 %	1.41077569736 %	9.52752576984 %	0.383099074391 %	0.0229270156668 %	0.842844600527 %
malloc_consolidate	195087	68170	44737	249	8561	105	40	9	33	194798	59600	44599	2.89453690656 %	0.127635362684 %	7.67534342423 %	0.0266238952707 %	0.0205036727204 %	0.0371987564987 %
__memcmp_ssse3	194730	42612	4954	470	226	0	31	0	0	194229	42386	4954	0.287251956285 %	0.241359831562 %	0.475129294034 %	0.0127942681679 %	0.0159194782519 %	0.0 %
TComDataCU::isLastSubCUOfCtu	191948	98842	30528	435	1620	0	6	5	0	191507	97217	30528	0.639553339682 %	0.2266238773 %	1.25222230811 %	0.00342339987178 %	0.00312584658345 %	0.003864883667 %
TComDataCU::getIntraSizeIdx	187305	31269	0	8934	228	0	3	0	0	178368	31041	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::encodeBinsEP	182281	70620	50805	18	0	0	11	0	0	182252	70620	50805	0.00592678445602 %	0.00987486353487 %	0.0 %	0.00362192383423 %	0.00603463882687 %	0.0 %
TEncSbac::codeSaoMaxUvlc	173698	81050	49044	19	0	0	10	0	0	173669	81050	49044	0.00625427924369 %	0.0109385254868 %	0.0 %	0.00329172591773 %	0.00575711867724 %	0.0 %
ContextModel::init	172498	28280	11312	26	0	1015	4	0	74	172468	28280	10223	0.490829364892 %	0.0150726385233 %	2.56364922207 %	0.0367768400207 %	0.00231886746513 %	0.186906445747 %
__memchr_sse2_bsf	151792	34035	332	32	371	0	19	255	0	151741	33409	332	0.216481609807 %	0.0210814799199 %	1.07952396194 %	0.14718600766 %	0.0125171287024 %	0.741990863328 %
SAOOffset::reset	148506	8406	100872	15	0	4453	5	0	3151	148486	8406	93268	1.73323402539 %	0.0101006019959 %	4.07492816486 %	1.22428079322 %	0.00336686733196 %	2.88347151302 %
df::program_options_lite::Options::addOption	146684	45001	44151	168	648	0	30	0	0	146486	44353	44151	0.346003154735 %	0.114531918955 %	0.726848528356 %	0.0127207042182 %	0.0204521283848 %	0.0 %
operator	142326	39535	39535	50	266	34	6	2	5	142270	39267	39496	0.15808777033 %	0.0351306156289 %	0.379410648792 %	0.0058718314694 %	0.00421567387547 %	0.00885291513848 %
TEncSbac::xWriteEpExGolomb	136965	38379	31401	7365	0	0	5	0	0	129595	38379	31401	3.56235942828 %	5.377286168 %	0.0 %	0.00241843817263 %	0.00365056766327 %	0.0 %
TEncCu::finishCU	128118	65692	31338	435	1754	6	6	4	0	127677	63934	31332	0.974914278608 %	0.339530745094 %	1.81387199835 %	0.00444152290938 %	0.00468318269096 %	0.00412243635989 %
write	123158	32426	13116	31	80	0	10	0	0	123117	32346	13116	0.0657972732662 %	0.0251709186573 %	0.175662026261 %	0.00592768227623 %	0.00811965117979 %	0.0 %
0x0006ce60	119412	119412	0	7	0	0	2	0	0	119403	119412	0	0 %	0 %	0 %	0 %	0 %	0 %
check_match.isra.0	117907	46876	21806	77	503	164	10	87	58	117820	46286	21584	0.398737331783 %	0.0653057070403 %	0.971142366268 %	0.0830702774547 %	0.00848126065458 %	0.21111790571 %
std::basic_filebuf<char,	116330	41446	27408	15	120	1	13	12	0	116302	41314	27407	0.073440470019 %	0.0128943522737 %	0.17573416214 %	0.0135000864006 %	0.0111751053039 %	0.0174281813693 %
TComOutputBitstream::addSubstream	114844	51054	51004	10	215	0	4	3	0	114830	50836	51004	0.103733483324 %	0.00870746403817 %	0.210664524094 %	0.00322726392564 %	0.00348298561527 %	0.00293950498736 %
TEncSbac::TEncSbac	112788	1404	48750	58	0	5021	29	0	5004	112701	1404	38725	3.11706005818 %	0.0514239103451 %	10.0111656099 %	3.08882915393 %	0.0257119551725 %	9.97727000837 %
std::ostream::write	111504	55752	31512	34	16	0	20	8	0	111450	55728	31512	0.0251549545198 %	0.0304921796527 %	0.01833516685 %	0.0140867745311 %	0.0179365762663 %	0.00916758342501 %
TEncCu::xCompressCU	107794	48576	38939	7980	26377	2766	160	4	0	99654	22195	36173	19.0073166111 %	7.40300944394 %	33.3005770439 %	0.0839695047335 %	0.148431267046 %	0.00457064503228 %
SAOOffset::operator=	105905	71800	66415	4	2656	3230	2	0	1104	105899	69144	62081	2.41274782894 %	0.00377696992588 %	4.25858264298 %	0.45305587416 %	0.00188848496294 %	0.798755561987 %
__dynamic_cast	99060	40005	36195	46	164	2	19	55	0	98995	39786	36193	0.120963140477 %	0.0464365031294 %	0.217847769029 %	0.0422229829967 %	0.0191802947708 %	0.0721784776903 %
std::istream::read	98400	43200	36000	10	15	5	8	2	0	98382	43183	35995	0.0168918918919 %	0.010162601626 %	0.0252525252525 %	0.00563063063063 %	0.00813008130081 %	0.00252525252525 %
std::basic_filebuf<char,	96004	40802	26402	19	22	0	15	1	0	95970	40779	26402	0.0251213175825 %	0.0197908420482 %	0.0327361466579 %	0.00980344100779 %	0.0156243489855 %	0.00148800666627 %
std::istream::sentry::sentry	91775	38494	19182	26	24	0	8	3	0	91741	38467	19182	0.0334557814936 %	0.028330155271 %	0.0416117622581 %	0.00736027192859 %	0.00871697085263 %	0.00520147028227 %
TComPicYuv::create	87100	6578	15482	42	17	1594	24	0	1556	87034	6561	12332	1.51429094907 %	0.0482204362801 %	7.30281051677 %	1.44741663613 %	0.0275545350172 %	7.05349048051 %
operator	86981	31630	31630	98	69	2	9	5	0	86874	31556	31628	0.112485939258 %	0.112668283878 %	0.112235219728 %	0.00931836183199 %	0.0103470872949 %	0.00790388871325 %
