BasketballPass__QP_42_nF_2_SR_16_MSizeL1_8192_AssL1_8_MSizeLL_4194304_AssLL_8_Word_64	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComDataCU::getMvField	717740	422200	126660	10495	77977	2922	1	0	0	707244	344223	123738	7.21569556292 %	1.46222866219 %	14.7394599716 %	7.89515237644e-05 %	0.000139326218408 %	0.0 %
TEncSbac::xWriteCoefRemainExGolomb	689779	282740	181104	13485	0	0	12	0	0	676282	282740	181104	1.1689260703 %	1.95497398442 %	0.0 %	0.00104020117491 %	0.00173968763908 %	0.0 %
TComPicYuv::extendPicBorder	676068	192783	184071	45	2923	3744	45	866	1054	675978	188994	179273	0.637464123648 %	0.00665613518167 %	1.76912013671 %	0.186623510573 %	0.00665613518167 %	0.509481125316 %
TComTrQuant::invRdpcmNxN	672435	348670	149430	69369	16544	305	6	0	0	603060	332126	149125	7.36569175633 %	10.316090031 %	3.38265408552 %	0.000512586125148 %	0.000892279551183 %	0.0 %
TComYuv::copyToPicYuv	666240	191544	241512	9360	8791	950	4	0	0	656876	182753	240562	1.73756658807 %	1.40489913545 %	2.24936266903 %	0.00036386923995 %	0.000600384245917 %	0.0 %
TEncCu::xCheckBestMode	649125	342152	148253	24140	42845	0	4	0	0	624981	299307	148253	5.87830070292 %	3.71885230117 %	8.73665643703 %	0.000351021912543 %	0.000616214134412 %	0.0 %
TComDataCU::isDiffMER	624507	329420	40417	10478	11494	0	1	0	0	614028	317926	40417	2.20969805218 %	1.67780345136 %	3.10785562288 %	0.00010056881723 %	0.000160126307631 %	0.0 %
TEncSearch::xAddSymbolBitsInter	615590	255677	307181	50694	45637	118	8	0	0	564888	210040	307063	8.18440864595 %	8.23502655989 %	8.12904853444 %	0.000678858973837 %	0.00129956626976 %	0.0 %
TComLoopFilter::xDeblockCU	602340	164738	92598	17	2429	10	17	18	0	602306	162291	92588	0.285689027029 %	0.00282232626092 %	0.947788105823 %	0.00407130128095 %	0.00282232626092 %	0.00699474616843 %
TComDataCU::setCbfSubParts	597110	267670	175015	4118	30653	0	2	1	0	592990	237016	175015	3.3440245433 %	0.689655172414 %	6.92433671798 %	0.000288518409879 %	0.000334946659744 %	0.000225894258897 %
TEncSearch::xGetBlkBits	583649	280716	238096	42142	17048	6321	5	4	1	541502	263664	231774	5.9422510184 %	7.22043557001 %	4.50432912115 %	0.00090706156499 %	0.000856679271274 %	0.000963740237311 %
TEncSbac::codeSkipFlag	573614	219323	253065	17013	4295	7590	2	0	0	556599	215028	245475	2.76270982273 %	2.96593179385 %	2.51594028637 %	0.000191204223319 %	0.000348666524876 %	0.0 %
TEncSearch::xRestrictBipredMergeCand	571568	105632	173140	16924	0	0	2	0	0	554642	105632	173140	1.99026271844 %	2.96097752148 %	0.0 %	0.000235200037632 %	0.000349914620833 %	0.0 %
TEncEntropy::encodePUWise	565820	182350	246770	27901	12954	0	5	0	0	537914	169396	246770	4.10627776549 %	4.93107348627 %	3.0187360179 %	0.000502542866907 %	0.000883673252978 %	0.0 %
do_lookup_x	559642	202833	95529	169	7390	94	55	879	17	559418	194564	95418	0.891953883665 %	0.0301978764996 %	2.50836232496 %	0.110838644109 %	0.00982771128686 %	0.300306339279 %
TComDataCU::isBipredRestriction	551278	154721	208813	18126	0	0	2	0	0	533150	154721	208813	1.98139071197 %	3.28799625597 %	0.0 %	0.000218624154471 %	0.000362793363784 %	0.0 %
TComDataCU::setPartSizeSubParts	536952	268476	156611	20197	127	0	4	0	0	516751	268349	156611	2.11259626689 %	3.76141629047 %	0.0298762370997 %	0.00041578355971 %	0.000744945544481 %	0.0 %
TEncSearch::xCopyAMVPInfo	528408	234848	117424	10459	19173	25408	1	0	0	517948	215675	92016	6.24971612845 %	1.97934172079 %	12.6552777399 %	0.00011354862152 %	0.000189247702533 %	0.0 %
TComPattern::initPattern	528408	205492	234848	21034	0	0	2	0	0	507372	205492	234848	2.1712560955 %	3.98063617508 %	0.0 %	0.000206452039127 %	0.000378495405066 %	0.0 %
TComTrQuant::xsetFlatScalingList	499392	4032	197280	4	314	12498	4	28	12241	499384	3690	172541	1.82901767365 %	0.000800973984365 %	6.36425051661 %	1.75152418139 %	0.000800973984365 %	6.09451994913 %
TEncSearch::setWpScalingDistParam	489102	205712	105000	19379	26559	20487	4	0	0	469719	179153	84513	8.3050559255 %	3.96215922241 %	15.141352764 %	0.000500116277034 %	0.00081782532069 %	0.0 %
TComDataCU::setChromaQpAdjSubParts	487536	243768	142198	15130	104	0	4	0	0	472402	243664	142198	1.74401432395 %	3.10336057235 %	0.0269453786085 %	0.000457926827872 %	0.000820452233271 %	0.0 %
TComDataCU::setPredModeSubParts	487536	243768	142198	13554	1511	0	3	0	0	473979	242257	142198	1.72466691547 %	2.78010239244 %	0.39148526036 %	0.000343445120904 %	0.000615339174953 %	0.0 %
TEncBinCABAC::encodeBin	480798	178680	125948	9	4032	155	9	18	0	480780	174630	125793	0.534232378353 %	0.00187188798622 %	1.3744632798 %	0.0034376249322 %	0.00187188798622 %	0.0059088461993 %
TComDataCU::getNumPartitions	460105	216520	54130	12636	33997	0	2	1	0	447467	182522	54130	6.38148216571 %	2.74632964215 %	12.5612414558 %	0.000410534310405 %	0.000434683387488 %	0.000369480879364 %
TComCUMvField::copyTo	448592	228528	152352	9360	2746	4228	6	0	1	439226	225782	148123	1.969204506 %	2.08652851589 %	1.83102289435 %	0.000843910342965 %	0.00133751827942 %	0.000262549884478 %
TComDataCU::setTransformSkipSubParts	440046	197262	128979	7588	15174	16	1	1	0	432457	182087	128963	2.97251551964 %	1.72436518 %	4.65606714055 %	0.00026099881637 %	0.000227248969426 %	0.000306521865737 %
TComCUMvField::compress	438368	217952	153216	8	833	1924	7	135	360	438353	216984	150932	0.341553680133 %	0.00182495072633 %	0.742790326752 %	0.0620108308957 %	0.00159683188554 %	0.133362789896 %
TComDataCU::getPartPosition	430901	214223	95247	36598	10801	2129	9	1	1	394294	203421	93117	6.68961912339 %	8.49336622565 %	4.17811096391 %	0.00148574160792 %	0.00208864681214 %	0.000646266197047 %
TEncCu::xCheckDQP	426594	243768	101570	36210	33344	10348	6	0	0	390378	210424	91222	10.3509117383 %	8.4881643905 %	12.6519525798 %	0.000777270536783 %	0.00140648954275 %	0.0 %
TEncEntropy::encodeIPCMInfo	425840	239535	106460	25658	8967	0	2	0	0	400180	230568	106460	4.48606243562 %	6.02526770618 %	2.59165594879 %	0.000259122739964 %	0.000469659966184 %	0.0 %
TEncEntropy::encodeMergeIndex	415960	207980	131173	8374	441	0	2	0	0	407584	207539	131173	1.16737494918 %	2.01317434369 %	0.130029809555 %	0.000264861020801 %	0.000480815463025 %	0.0 %
TComTrQuant::xITransformSkip	400663	135633	71714	12677	0	20	18	0	0	387968	135633	71694	2.08828802158 %	3.16400566062 %	0.00964566644321 %	0.00296047762372 %	0.00449255359242 %	0.0 %
TEncEntropy::encodeSkipFlag	394100	210914	87974	24190	32237	0	4	0	0	369906	178677	87974	8.14256523922 %	6.13803603146 %	10.7856454592 %	0.000577210572189 %	0.00101497081959 %	0.0 %
TEncSearch::xPatternSearchFast	386983	167344	167344	39505	10415	10459	3	0	0	347475	156929	156885	8.36655484286 %	10.2084587695 %	6.23685342767 %	0.000415701891859 %	0.000775227852386 %	0.0 %
TComLoopFilter::xGetBoundaryStrengthSingle	385154	159296	96252	25	3672	0	25	107	0	385104	155517	96252	0.577023327538 %	0.00649091012945 %	1.43691204783 %	0.0206024017406 %	0.00649091012945 %	0.0418708031368 %
TEncEntropy::encodeCoeff	384386	165469	152601	20148	718	0	5	0	0	364233	164751	152601	2.97043515893 %	5.24160609387 %	0.225736473103 %	0.000711788354004 %	0.00130077578268 %	0.0 %
TComDataCU::deriveLeftBottomIdxGeneral	379721	211876	52915	31216	17923	0	4	2	0	348501	193951	52915	7.62421801301 %	8.2207726199 %	6.7687345869 %	0.000930936894891 %	0.00105340499999 %	0.000755312680567 %
TComCUMvField::copyFrom	375840	175392	150336	3120	1214	94	2	0	0	372718	174178	150242	0.631157635468 %	0.830140485313 %	0.401562039493 %	0.00028507571611 %	0.000532141336739 %	0.0 %
TComDataCU::deriveLeftRightTopIdxGeneral	369138	201293	52915	31687	25260	0	4	2	0	337447	176031	52915	9.13569670777 %	8.58405257654 %	9.93674471299 %	0.000962547285135 %	0.00108360558924 %	0.000786757301108 %
TComDataCU::getAllowedChromaDir	358635	163587	103349	36842	6122	0	3	0	0	321790	157465	103349	6.86796542679 %	10.2728400742 %	2.29343363203 %	0.000479561872273 %	0.000836505081768 %	0.0 %
initROM	329111	79859	35725	19	2	1339	19	0	24	329073	79857	34362	0.305827589696 %	0.0057731282151 %	1.16019518272 %	0.00966954879187 %	0.0057731282151 %	0.0207641196013 %
TEncCu::xCopyYuv2Pic	320628	129084	95772	15600	20525	0	10	0	0	305018	108559	95772	6.62255904848 %	4.86545155133 %	9.1280641833 %	0.00183323433868 %	0.00311887919957 %	0.0 %
TEncEntropy::encodePredInfo	320487	138936	123174	23674	20	0	6	0	0	296807	138916	123174	4.06696223976 %	7.3868830873 %	0.00763038418984 %	0.00102987142055 %	0.00187215082047 %	0.0 %
TComTURecurse::TComTURecurse	304146	118279	135176	23224	4740	0	4	0	0	280918	113539	135176	5.01505556841 %	7.63580648767 %	1.87015446529 %	0.000717358828266 %	0.00131515785182 %	0.0 %
TComDataCU::isSkipped	297450	297450	0	8637	59368	0	2	71	0	288811	238011	0	0 %	0 %	0 %	0 %	0 %	0 %
TComOutputBitstream::write	294039	75024	57395	22	0	482	16	0	1	294001	75024	56912	0.118182798775 %	0.00748200068698 %	0.363996103278 %	0.00398632456186 %	0.00544145504508 %	0.000755178637507 %
TComPatternParam::setPatternParamPel	293560	176136	117424	10577	0	0	1	0	0	282982	176136	117424	1.80150565472 %	3.60301130944 %	0.0 %	0.00017032293228 %	0.000340645864559 %	0.0 %
_dl_relocate_object	290000	102611	40802	52	4633	1326	52	2261	546	289896	95717	38930	1.38689887013 %	0.0179310344828 %	4.15513237991 %	0.659647957029 %	0.0179310344828 %	1.95728420715 %
TComDataCU::setQPSubParts	289680	144840	84490	20518	10417	3621	2	0	1	269160	134423	80868	6.65806053833 %	7.08298812483 %	6.12130990276 %	0.000578023544826 %	0.000690417011875 %	0.000436052849605 %
TComYuv::copyFromPicYuv	283152	70788	95772	5148	4484	4164	4	8	2	278000	66296	91606	3.0677411321 %	1.81810476352 %	5.19212295869 %	0.00311310349735 %	0.00141266881392 %	0.00600384245917 %
TEncEntropy::encodeIntraDirModeChroma	273312	159432	91104	6484	18110	15610	1	0	0	266827	141322	75494	7.67474534598 %	2.37238028334 %	13.4591435961 %	0.000190895068799 %	0.000365882215197 %	0.0 %
TEncSampleAdaptiveOffset::getDistortion	264996	82930	38958	59	270	0	59	0	0	264878	82660	38958	0.0850384094457 %	0.0222644870111 %	0.22151483329 %	0.0152500491103 %	0.0222644870111 %	0.0 %
malloc	261618	75984	42315	12	742	233	8	3	4	261598	75239	42078	0.259793586494 %	0.00458684035502 %	0.824182791063 %	0.00394823079778 %	0.00305789357001 %	0.00591720978199 %
TEncCu::xEncodeCU	253068	116344	84398	279	4078	266	7	44	0	252782	112222	84132	1.01870826998 %	0.110247048224 %	2.16397166512 %	0.0112381833807 %	0.00276605497337 %	0.0219186816909 %
TComDataCU::setCUTransquantBypassSubParts	248928	124464	72604	3612	182	0	1	0	0	245315	124282	72604	0.850680275159 %	1.45102198226 %	0.0923539082956 %	0.000224217257554 %	0.000401722586451 %	0.0 %
TComCUMvField::create	248288	1664	62016	13	12	3542	9	0	3536	248266	1652	54938	1.14338650118 %	0.00523585513597 %	5.58103015075 %	1.13633449585 %	0.00362482278644 %	5.5527638191 %
free	244807	75961	50657	154	987	9	9	171	0	244644	74803	50648	0.309618361715 %	0.0629066979294 %	0.786618016396 %	0.0484620044424 %	0.00367636546341 %	0.135051888357 %
strcmp	226907	72044	2	17	840	0	6	154	0	226884	71050	2	0.286667134968 %	0.00749205621686 %	1.1659217722 %	0.0535201185471 %	0.00264425513536 %	0.213752324904 %
TEncSbac::codeSplitFlag	208560	89120	55920	12360	10632	0	6	0	0	196194	78488	55920	6.50226244344 %	5.92635212888 %	7.33039161611 %	0.00169683257919 %	0.00287686996548 %	0.0 %
TEncSearch::xSetResidualQTData	204514	84907	41322	7613	9964	1714	9	0	0	196892	74943	39608	5.83262533145 %	3.72248354636 %	9.25143984346 %	0.00272114602577 %	0.00440067672629 %	0.0 %
__memcmp_ssse3	194730	42612	4954	470	223	0	28	0	0	194232	42389	4954	0.286013801301 %	0.241359831562 %	0.468822268007 %	0.0115561131839 %	0.0143788835824 %	0.0 %
TEncEntropy::encodePredMode	189537	103545	36879	20064	0	0	3	0	0	169470	103545	36879	6.08071863038 %	10.5857959132 %	0.0 %	0.000909198359806 %	0.00158280441286 %	0.0 %
malloc_consolidate	189466	66365	43489	197	8110	119	25	2	18	189244	58253	43352	2.81504744087 %	0.103976439044 %	7.4908514938 %	0.0150340772417 %	0.0131949795742 %	0.0182059824858 %
TEncSbac::codeMergeFlag	181730	117590	53450	12800	97	0	1	6	0	168929	117487	53450	3.65592312271 %	7.04341605679 %	0.0567118802619 %	0.00198429571676 %	0.000550266879437 %	0.00350795135641 %
TEncSbac::codeMvd	179871	70055	44922	16093	6615	0	7	1	0	163771	63439	44922	7.70159539831 %	8.94696754897 %	5.75332457796 %	0.00271326242674 %	0.00389167792473 %	0.000869739165224 %
TComYuv::copyPartToPartComponentMxN	171832	69720	54632	600	367	39	4	0	0	171228	69353	54593	0.339653728763 %	0.349178267145 %	0.326492537313 %	0.00135051184399 %	0.0023278551143 %	0.0 %
TComLoopFilter::xDeblockCU	160032	34681	8908	25	1795	0	25	17	0	159982	32869	8908	0.893817435333 %	0.0156218756249 %	4.1180114249 %	0.0206265562 %	0.0156218756249 %	0.0390006653055 %
TComDataCU::setDepthSubParts	158025	75852	50568	12642	715	419	2	0	0	145381	75137	50149	4.84311554079 %	8.0 %	0.897009966777 %	0.000703123626712 %	0.00126562252808 %	0.0 %
TEncSearch::xSetIntraResultQT	154830	69031	51199	1110	4969	819	5	0	0	153715	64062	50380	2.50781647641 %	0.716915326487 %	4.81410629627 %	0.0018177852105 %	0.00322934831751 %	0.0 %
__memchr_sse2_bsf	151792	34035	332	32	188	0	14	128	0	151746	33719	332	0.118178546296 %	0.0210814799199 %	0.547036401199 %	0.0762788798823 %	0.00922314746495 %	0.37245031571 %
TComDataCU::getIntraSizeIdx	150093	25347	0	7242	109	0	3	0	0	142848	25238	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::codeSAOOffsetParam	148449	37713	33253	28	216	21	20	0	0	148401	37497	33232	0.120775699018 %	0.0188616966096 %	0.333962742722 %	0.00911514709569 %	0.0134726404354 %	0.0 %
df::program_options_lite::Options::addOption	146684	45001	44151	168	2342	0	28	0	0	146488	42659	44151	1.06429891959 %	0.114531918955 %	2.6269741565 %	0.0118726572703 %	0.0190886531592 %	0.0 %
TEncSbac::codeQtRootCbf	145889	63430	63430	6333	4498	4026	1	0	0	139555	58932	59404	5.44713271176 %	4.34097156057 %	6.71921803563 %	0.000366637457883 %	0.00068545263865 %	0.0 %
TComDataCU::getCtxSplitFlag	145540	49408	53960	5417	6604	236	6	15	0	140117	42789	53724	4.92430938339 %	3.72200082452 %	6.61713489668 %	0.00843685217028 %	0.00412257798543 %	0.0145112607383 %
TComCUMvField::copyTo	143888	50784	67712	5114	2514	926	3	0	0	138771	48270	66786	3.26010732362 %	3.55415323029 %	2.9030515798 %	0.00114336240015 %	0.00208495496497 %	0.0 %
TEncCu::xCopyYuv2Tmp	139672	65728	53404	3120	15128	0	2	0	0	136550	50600	53404	7.05089565849 %	2.23380491437 %	12.6985192895 %	0.000772785582912 %	0.00143192622716 %	0.0 %
std::basic_streambuf<char,	130044	88891	82854	14	4688	50	14	130	9	130016	84073	82795	1.57461007525 %	0.0107655870321 %	2.75874115695 %	0.0506976728774 %	0.0107655870321 %	0.080933942764 %
std::basic_streambuf<char,	130000	87022	80233	155	82	4525	15	2	262	129830	86938	75446	1.60199155607 %	0.119230769231 %	2.75447669726 %	0.0938588080941 %	0.0115384615385 %	0.157842814864 %
TEncCu::xComputeQP	129084	54132	20820	16364	16592	0	8	0	0	112712	37540	20820	16.1520515987 %	12.6770165164 %	22.1368342406 %	0.00392087670803 %	0.00619751479657 %	0.0 %
TEncEntropy::encodeMergeFlag	128280	74830	42760	0	0	0	0	0	0	128280	74830	42760	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncEntropy::encodeSplitFlag	126160	66400	39840	4	5394	0	0	0	0	126156	61006	39840	2.32271944923 %	0.00317057704502 %	5.07718373494 %	0.0 %	0.0 %	0.0 %
TEncSbac::codePredMode	122398	70862	32210	12812	6926	0	2	1	0	109584	63935	32210	8.75415798111 %	10.4674912989 %	6.71957466625 %	0.00133055395396 %	0.00163401362767 %	0.000970195591431 %
TEncEntropy::encodeMvdPU	119232	71516	35845	4598	0	2289	2	0	0	114632	71516	33556	3.03937014824 %	3.85634728932 %	2.13205912762 %	0.000882639799111 %	0.00167740203972 %	0.0 %
check_match.isra.0	117958	46898	21814	68	527	174	11	63	39	117879	46308	21601	0.411956929341 %	0.0576476372946 %	1.02020025614 %	0.0605346333101 %	0.00932535309178 %	0.148445686343 %
TEncSbac::codeInterDir	116568	52573	40059	6897	5159	0	3	6	0	109668	47408	40059	5.76290630975 %	5.91671813877 %	5.56934968477 %	0.00430210325048 %	0.00257360510603 %	0.00647724328526 %
TEncSbac::codeCrossComponentPrediction	115322	60168	25070	2847	101	42	3	0	0	112472	60067	25028	1.49082568807 %	2.46873970275 %	0.167765550576 %	0.00149581172716 %	0.00260141169942 %	0.0 %
operator	113778	31605	31605	20	128	13	8	2	1	113750	31475	31591	0.0909666192058 %	0.0175780906678 %	0.223065970574 %	0.00621511062897 %	0.00703123626712 %	0.0047460844803 %
TEncSbac::TEncSbac	112788	1404	48750	58	0	2513	29	0	2503	112701	1404	43734	1.57786206135 %	0.0514239103451 %	5.01056745225 %	1.55392716427 %	0.0257119551725 %	4.9906288631 %
TComSampleAdaptiveOffset::invertQuantOffsets	110932	45471	62869	14	7	249	14	0	0	110904	45464	62620	0.123134736765 %	0.0126203439945 %	0.236293151191 %	0.00638476412857 %	0.0126203439945 %	0.0 %
TEncSampleAdaptiveOffset::deriveModeNewRDO	100054	43192	42914	73	1361	407	73	0	0	99908	41831	42507	0.988934250107 %	0.0729606012753 %	2.05328316261 %	0.0392135797164 %	0.0729606012753 %	0.0 %
__dynamic_cast	97188	39249	35511	34	829	55	12	20	0	97142	38400	35456	0.53388233652 %	0.0349837428489 %	1.18245050829 %	0.0186102775258 %	0.0123472033584 %	0.0267522739433 %
TEncEntropy::encodeRefFrmIdxPU	95200	52360	19040	2299	43	0	1	0	0	92900	52317	19040	1.40576230492 %	2.41491596639 %	0.0602240896359 %	0.000600240096038 %	0.00105042016807 %	0.0 %
TComLoopFilter::xSetEdgefilterTU	93706	36662	42994	13	546	163	13	20	0	93680	36096	42831	0.416469583877 %	0.0138731778115 %	0.89007733253 %	0.0190353133905 %	0.0138731778115 %	0.0251079642463 %
TEncSearch::xSetResidualQTData	93322	36542	19096	246	4132	175	1	0	0	93075	32410	18921	3.05652524168 %	0.26360343756 %	7.74111218951 %	0.000671321160043 %	0.00107155868927 %	0.0 %
TComLoopFilter::xSetEdgefilterPU	93236	29520	43116	16	507	0	16	2	0	93204	29011	43116	0.315303366451 %	0.0171607533571 %	0.698000991244 %	0.0108517411016 %	0.0171607533571 %	0.00275345558676 %
TEncSbac::codeQtRootCbfZero	92939	50694	33796	16763	274	6321	2	0	0	76174	50420	27475	13.1647025007 %	18.0365616157 %	7.80565747426 %	0.00112721144796 %	0.00215194912792 %	0.0 %
TComLoopFilter::xSetLoopfilterParam	91384	30698	27968	12	54	38	12	0	0	91360	30644	27930	0.0693102299234 %	0.0131314015583 %	0.156819963863 %	0.00799733422193 %	0.0131314015583 %	0.0 %
0x0006ce60	89474	89474	0	4	0	0	4	0	0	89466	89474	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncEntropy::encodeMVPIdxPU	85912	57236	26325	2299	0	0	1	0	0	83612	57236	26325	1.35655827182 %	2.67599404041 %	0.0 %	0.000590064494049 %	0.00116398174877 %	0.0 %
TEncEntropy::encodeQtRootCbfZero	84490	50694	25347	0	2864	0	0	0	0	84490	47830	25347	1.78407908753 %	0.0 %	3.76638918478 %	0.0 %	0.0 %	0.0 %
TEncSbac::codeSaoMaxUvlc	82019	38247	23397	9	0	0	6	0	0	82004	38247	23397	0.00626466104703 %	0.0109730672161 %	0.0 %	0.00417644069802 %	0.00731537814409 %	0.0 %
TEncBinCABAC::testAndWriteOut	80052	30920	18212	0	0	173	0	0	0	80052	30920	18039	0.133917513005 %	0.0 %	0.352112676056 %	0.0 %	0.0 %	0.0 %
TComDataCU::initCtu	78006	29292	31710	1107	5205	804	40	211	120	76859	23876	30786	5.11912983425 %	1.41912160603 %	9.85049670503 %	0.26689111418 %	0.0512781068123 %	0.542605160487 %
TComDataCU::xAddMVPCandOrder	75046	26564	22144	2133	856	0	11	1	0	72902	25707	22144	2.41527546584 %	2.84225674919 %	1.75741151351 %	0.0096966562697 %	0.014657676625 %	0.00205305083354 %
TComLoopFilter::xSetEdgefilterTU	71176	29352	31760	0	38	231	0	2	0	71176	29312	31529	0.203344218674 %	0.0 %	0.44017541563 %	0.00151185292695 %	0.0 %	0.00327267967011 %
operator	69535	25286	25286	81	132	2	6	2	0	69448	25152	25284	0.179007052045 %	0.116488099518 %	0.264968757415 %	0.00666072751796 %	0.00862874811246 %	0.00395475757336 %
SAOOffset::reset	62964	3564	42768	8	0	1230	6	0	730	62950	3564	40808	1.1327038501 %	0.012705673083 %	2.65475265475 %	0.673400673401 %	0.00952925481227 %	1.57558490892 %
TEncSbac::xWriteUnaryMaxSymbol	62922	29052	16863	4638	0	0	3	0	0	58281	29052	16863	4.26141845145 %	7.37103080004 %	0.0 %	0.00275641555721 %	0.00476780776199 %	0.0 %
_dl_addr	61676	20724	1946	12	816	1	12	611	0	61652	19297	1945	0.982856329879 %	0.0194565146897 %	3.60388178209 %	0.738624238257 %	0.0194565146897 %	2.69519188355 %
ContextModel::init	61534	10100	4040	10	0	206	8	0	104	61516	10100	3730	0.285434891773 %	0.0162511782104 %	1.45685997171 %	0.148003277215 %	0.0130009425683 %	0.735502121641 %
TComDataCU::isLastSubCUOfCtu	60886	31324	9648	173	2963	0	6	0	0	60707	28361	9648	3.07879597086 %	0.284137568571 %	7.23176803671 %	0.00589055351568 %	0.00985448214696 %	0.0 %
std::basic_string<char,	60712	22892	11396	9	482	16	3	0	11	60700	22410	11369	0.533684210526 %	0.0148240874951 %	1.45240317312 %	0.0147368421053 %	0.00494136249835 %	0.032081194587 %
TEncBinCABAC::writeOut	56353	16492	12383	8	142	88	8	0	1	56337	16350	12294	0.279250950392 %	0.0141962273526 %	0.796536796537 %	0.0105599098888 %	0.0141962273526 %	0.0034632034632 %
TAppEncCfg::parseCfg	54581	25430	35026	1250	581	1224	1075	1	279	52256	24848	33523	2.65566730704 %	2.29017423646 %	2.98564245071 %	1.17788189887 %	1.96954984335 %	0.463146751356 %
SAOOffset::operator=	53513	36280	33559	2	1398	1192	2	0	368	53509	34882	31999	2.10130358648 %	0.00373740960141 %	3.70852961812 %	0.299954601466 %	0.00373740960141 %	0.526926216011 %
std::string::_Rep::_S_create	53319	10922	12742	84	52	42	10	1	38	53225	10869	12662	0.231219879714 %	0.157542339504 %	0.39722785666 %	0.0636504163257 %	0.0187550404171 %	0.164807302231 %
TEncSearch::xTZ2PointSearch	52273	21041	18773	6175	867	0	33	1	0	46065	20173	18773	7.64711631392 %	11.8129818453 %	2.17762596072 %	0.0369216067415 %	0.0631301054081 %	0.00251167930879 %
std::string::find_first_not_of	50868	18095	16770	12	1	0	3	0	0	50853	18094	16770	0.0151633560006 %	0.0235904694503 %	0.00286820593719 %	0.00349923600014 %	0.00589761736259 %	0.0 %
char*	50058	14633	16209	33	63	73	8	0	70	50017	14570	16066	0.208899876391 %	0.0659235287067 %	0.440957136372 %	0.0964153275649 %	0.0159814615047 %	0.226963231956 %
std::_Rb_tree<std::string,	48478	16951	15541	19	1	0	14	0	0	48445	16950	15541	0.0247005063604 %	0.0391930360163 %	0.00307768065985 %	0.0172903544523 %	0.0288790791699 %	0.0 %
TEncSbac::codeMVPIdx	48180	21681	19272	4595	3599	0	2	2	0	43583	18080	19272	9.19300371355 %	9.53715234537 %	8.78812297023 %	0.00448767572055 %	0.00415110004151 %	0.00488364710766 %
TComPicYuv::create	47181	3564	8387	33	5	410	30	0	391	47118	3559	7586	0.757627003991 %	0.0699434094233 %	3.47251276044 %	0.711966447947 %	0.0635849176575 %	3.27169274538 %
std::istream::sentry::sentry	47135	19774	9102	26	154	0	8	3	0	47101	19617	9102	0.236807830446 %	0.0551607086029 %	0.533314863555 %	0.0144715896383 %	0.016972525724 %	0.0103892505887 %
std::basic_filebuf<char,	46718	16644	11007	15	52	1	14	10	0	46689	16582	11006	0.0914359477739 %	0.0321075388501 %	0.191674803805 %	0.032271510979 %	0.0299670362601 %	0.0361650573216 %
std::string::_M_mutate	44995	15586	9609	31	21	2	16	0	1	44948	15565	9606	0.0769340361875 %	0.0688965440605 %	0.0912879539591 %	0.0242199743553 %	0.0355595066118 %	0.00396904147648 %
std::ostream::write	44850	22425	12675	23	14	0	8	6	0	44819	22405	12675	0.0462789243277 %	0.0512820512821 %	0.039886039886 %	0.0175109443402 %	0.0178372352285 %	0.017094017094 %
__cxxabiv1::__vmi_class_type_info::__do_dyncast	44284	19682	11072	124	418	84	23	7	0	44137	19257	10988	0.834243983049 %	0.280010839129 %	1.63230799246 %	0.0399797435966 %	0.0519374943546 %	0.0227612668271 %
__cxxabiv1::__si_class_type_info::__do_dyncast	43890	20064	10032	43	0	0	9	0	0	43838	20064	10032	0.0581191036142 %	0.0979722032354 %	0.0 %	0.0121644635472 %	0.0205058099795 %	0.0 %
TEncEntropy::encodeInterDirPU	42840	23800	11900	4588	2298	0	2	0	0	38250	21502	11900	8.7675070028 %	10.7096171802 %	6.43697478992 %	0.00254647313471 %	0.0046685340803 %	0.0 %
_IO_file_xsputn@@GLIBC_2.1	42713	10469	5489	47	15	13	26	8	3	42640	10446	5473	0.127831466994 %	0.110036756959 %	0.175460584033 %	0.063063523717 %	0.0608713974668 %	0.0689309437273 %
TEncCu::xCompressCU	41209	18663	14783	2870	9722	407	100	4	0	38239	8937	14376	17.4120956399 %	6.96449804654 %	30.2846379238 %	0.13930748108 %	0.242665437162 %	0.011959576631 %
vfprintf	41170	13278	11068	321	99	39	214	40	14	40635	13139	11015	0.700592221747 %	0.779693951907 %	0.566828226403 %	0.409060382197 %	0.519795967938 %	0.221802349462 %
TEncCu::finishCU	40674	20830	9972	174	1237	0	4	2	0	40496	19591	9972	1.97408920477 %	0.427791709692 %	4.01597298877 %	0.00839442610107 %	0.00983429217682 %	0.00649308486462 %
std::istream::read	39360	17280	14400	8	4	2	7	2	1	39345	17274	14397	0.0197072072072 %	0.020325203252 %	0.0189393939394 %	0.0140765765766 %	0.0177845528455 %	0.0094696969697 %
