BasketballDrill__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComLoopFilter::xEdgeFilterLuma	12805914	4715484	2023388	45	174759	60392	45	16926	0	12805824	4523799	1962996	1.20336953293 %	0.000351400142153 %	3.48947123495 %	0.0868313421288 %	0.000351400142153 %	0.25116963195 %
TComTU::useDST	12669504	7702993	1486686	126778	118065	0	15	0	0	12542711	7584928	1486686	1.12009218277 %	1.00065480069 %	1.2847565187 %	6.86210459009e-05 %	0.000118394532256 %	0.0 %
xITrMxN	12305250	3316428	3702787	1624698	61486	524142	319	0	149	10680233	3254942	3178496	11.4379673642 %	13.2032912781 %	8.34321216831 %	0.00242180055179 %	0.00259238942728 %	0.00212274449493 %
TEncSbac::codeTransformSkipFlags	12173926	6860860	2025363	581501	422260	226334	84	21	81	11592341	6438579	1798948	5.84086560831 %	4.77661027346 %	7.29887152281 %	0.000883184634639 %	0.000689999265644 %	0.00114784425284 %
TEncSearch::estIntraPredChromaQT	11958559	5217994	4915702	518421	1150530	283072	983	38	33	11439155	4067426	4632597	8.83577977893 %	4.33514606568 %	14.1468818484 %	0.00477090274397 %	0.00822005393794 %	0.000700632819457 %
TEncSbac::load	11950692	3983564	4979455	44165	37135	1140	31	0	1	11906496	3946429	4978314	0.394191160048 %	0.369560189485 %	0.427032454132 %	0.000153009669111 %	0.000259399204665 %	1.11569550394e-05 %
TComPrediction::predIntraGetPredValDC	11394903	3215972	618978	203536	71500	183870	74	4	756	11191293	3144468	434352	3.01320045571 %	1.78620212914 %	6.65901771861 %	0.00547608699834 %	0.000649413163061 %	0.0198177290447 %
TComYuv::copyToPicComponent	11122436	4589988	2945553	166088	284927	49966	135	355	18	10956213	4304706	2895569	2.68507673688 %	1.49326999949 %	4.44417992019 %	0.00272269603505 %	0.00121376288432 %	0.00494987685688 %
TEncEntropy::xEncodeTransform	10843100	4469117	2173587	56892	343852	64916	156	291	6	10786052	4124974	2108665	2.66307457181 %	0.524683900361 %	6.15363863872 %	0.00259067298249 %	0.00143870295395 %	0.00447107081694 %
TComDataCU::setIntraDirSubParts	10543775	5482763	2952257	553255	856769	267635	33	6	0	9990487	4625988	2684622	8.83964972486 %	5.24721933084 %	13.3301877174 %	0.000205492498338 %	0.000312980882084 %	7.11320186556e-05 %
TComDataCU::initSubCU	9557600	3634176	4056208	131133	276545	113746	351	288	461	9426116	3357343	3942001	3.0231011346 %	1.37202854273 %	5.07505216905 %	0.00637755693651 %	0.00367247007617 %	0.00973943563806 %
TComPrediction::xDCPredFiltering	9313549	3193162	1024281	215359	5821	0	79	0	0	9098111	3187341	1024281	1.6346177723 %	2.31231939618 %	0.138022019503 %	0.0005838448504 %	0.000848226599763 %	0.0 %
TEncEntropy::encodeQtCbf	9130478	5217416	3260885	227287	152270	21372	24	0	0	8903167	5065146	3239513	2.27686996356 %	2.48932202673 %	2.04807543398 %	0.000136295651164 %	0.000262855898673 %	0.0 %
TComDataCU::getCtxQtCbf	8872494	4341404	0	900730	9138	0	22	0	0	7971742	4332266	0	6.88568959742 %	10.1519369864 %	0.210484903041 %	0.000166491371433 %	0.000247957338714 %	0.0 %
TComDataCU::CUIsFromSameSliceAndTile	8808120	5580739	753042	131828	490325	0	14	1001	0	8676278	5089413	753042	4.10881698408 %	1.49666444145 %	7.74142648759 %	0.00670325344222 %	0.000158944246899 %	0.0158041460543 %
TEncSbac::store	8496996	2832332	3540415	11600	102327	44599	3	0	11	8485393	2730005	3495805	1.0660977799 %	0.136518835598 %	2.30553637231 %	9.4150921102e-05 %	3.53065954132e-05 %	0.00017261002202 %
TComYuv::copyToPartComponent	8228220	2937480	2052960	56160	87475	8150	106	65	0	8171954	2849940	2044810	1.14826313711 %	0.682529149682 %	1.916163705 %	0.00129362582894 %	0.00128824946343 %	0.00130249036157 %
TComTrQuant::xITransformSkip	8150498	2759118	1458844	228896	11591	101894	100	0	0	7921502	2747527	1356950	2.76817809169 %	2.80836827394 %	2.6905173636 %	0.000808508092357 %	0.00122691889502 %	0.0 %

RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	2112122482	794386024	536860485	32112110	63049066	24360397	4228	38918	11815	37894559519	3366345694	5349905127	3.47106491673 %	1.52037158231 %	6.56598626994 %	0.00159614029585 %	0.000200177784955 %	0.00381093957107 %
Filter	12805914	4715484	2023388	45	174759	60392	45	16926	0	12805824	4523799	1962996	1.20336953293 %	0.000351400142153 %	3.48947123495 %	0.0868313421288 %	0.000351400142153 %	0.25116963195 %
InvQuant	302378936	114383142	17430512	1473087	1186189	1627736	195	0	0	300905654	113196953	15802776	0.987352639989 %	0.487165878512 %	2.13477505145 %	4.4910946085e-05 %	6.44886190088e-05 %	0.0 %
Quant	3917156981	1497300839	843771644	26676753	78011574	82618123	2879	1071	85558	7712595908	2742032291	1430207935	2.99296232389 %	0.681023332212 %	6.86137222006 %	0.00143024477634 %	7.34971821136e-05 %	0.00370039802821 %
InvTransf	977515920	506341528	99580605	4801913	7234098	6030734	4478	291	548	5719645353	2915050192	440545889	1.14098211583 %	0.491236296182 %	2.18919746904 %	0.000335788317701 %	0.00045809995606 %	0.000138466636933 %
Transf	2455230372	1036062869	454475865	39369028	50199936	22346677	8743	5415	230139	44543010246	12004077144	3784475313	2.83634541184 %	1.60347592833 %	4.8671404067 %	0.00619136582596 %	0.00035609693085 %	0.0158032793531 %
Pre/Pos	316358140	123525661	88750227	5575839	8816608	4388191	1364	9493	3725	1519491913	476386600	368781537	3.55267292782 %	1.76250846588 %	6.22058356435 %	0.00275843007216 %	0.000431156916019 %	0.00622680235826 %
Inter/Intra	3113480730	1137981585	726839090	19389237	16966399	16063896	3024	26599	6319	37893824766	13085484938	7584379325	1.05296019135 %	0.622751148359 %	1.77123170302 %	0.000721973160643 %	9.71260226814e-05 %	0.00176520994438 %
Inter	42363035	15308124	8568664	90019	1675948	376558	170	185	15107	64285129	24460155	10503869	3.23449686754 %	0.212494218131 %	8.59623999677 %	0.0233424536778 %	0.000401293250118 %	0.0640454654118 %
Intra	3303999528	1146471478	604741375	29058105	60116618	30241078	3148	70184	473689	28400082024	7865323587	3814293138	2.36223113887 %	0.879482722493 %	5.159720924 %	0.0108209301365 %	9.52784639744e-05 %	0.0310569328605 %
